,alpha,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
alphaTemp,0.639550106,0.100245615,0.428048873,0.578236056,0.643598541,0.708864757,0.819586263
alphaTemp,0.601918275,0.085750481,0.42238624,0.547810534,0.605051476,0.662080004,0.760047309
alphaTemp,0.439287358,0.242954731,0.035406175,0.254085148,0.415125313,0.624706724,0.921374084
alphaTemp,0.206230627,0.127229585,0.00811162,0.100936359,0.19720106,0.304003054,0.459827179
alphaTemp,0.482799243,0.090390195,0.296410731,0.430795444,0.485626203,0.538571974,0.648876735
alphaTemp,0.453355204,0.106185869,0.224040647,0.391804981,0.457565755,0.520817793,0.638305548
alphaTemp,0.408795919,0.122190684,0.086228592,0.345942086,0.42342485,0.48965968,0.60520727
alphaTemp,0.312430668,0.208609091,0.016009206,0.153760141,0.277968772,0.431372749,0.798805402
alphaTemp,0.359099673,0.203888674,0.038892427,0.215825772,0.343092451,0.463085487,0.883174764
alphaTemp,0.368568489,0.268651972,0.015206339,0.136606109,0.306835583,0.568654682,0.924570957
alphaTemp,0.900447388,0.066183246,0.75551109,0.857539503,0.907276591,0.953502434,0.997181776
alphaTemp,0.376608269,0.278542816,0.010777333,0.134383608,0.319782802,0.587518747,0.943986931
alphaTemp,0.764218721,0.053035011,0.654719223,0.730607266,0.766323293,0.797882212,0.870220328
alphaTemp,0.842604788,0.05044099,0.74158503,0.809537373,0.843855803,0.876730584,0.936153976
alphaTemp,0.332021412,0.232144003,0.020928443,0.153948122,0.283064011,0.457678651,0.894293557
alphaTemp,0.558262008,0.096361656,0.381645152,0.496105169,0.552792029,0.620423265,0.754695658
alphaTemp,0.746335786,0.071818457,0.604146052,0.698221936,0.746482038,0.795601271,0.890118962
alphaTemp,0.367538619,0.214674538,0.031010764,0.215465137,0.348422633,0.48014546,0.895886447
alphaTemp,0.427180433,0.214754031,0.048297118,0.280583617,0.408099975,0.559521271,0.910551402
alphaTemp,0.427893665,0.265289156,0.02012501,0.208195322,0.400047776,0.633634558,0.948206531
alphaTemp,0.905797126,0.059481181,0.777022325,0.867035653,0.913003649,0.953517874,0.993179035
alphaTemp,0.949118326,0.037538593,0.860844361,0.926134097,0.956839094,0.979024778,0.997919019
alphaTemp,0.609320742,0.071195867,0.466768765,0.56304539,0.610738244,0.65659729,0.749343883
alphaTemp,0.487441967,0.212331095,0.075095315,0.343393688,0.478889196,0.628026716,0.925075749
alphaTemp,0.826981172,0.080252386,0.674821738,0.773714882,0.825989462,0.883375942,0.981719852
alphaTemp,0.340434582,0.270099463,0.012877242,0.116455425,0.261886327,0.521734155,0.948016028
alphaTemp,0.377322178,0.268974263,0.018363982,0.153033155,0.317257896,0.580121295,0.938361294
alphaTemp,0.506531121,0.218259869,0.089541959,0.359371583,0.498812062,0.654250931,0.936793494
alphaTemp,0.403312909,0.270489736,0.02117577,0.176768333,0.356874604,0.61450131,0.940585885
alphaTemp,0.335859041,0.227967551,0.014331244,0.160887611,0.290757605,0.470892221,0.873568051
alphaTemp,0.303464705,0.248450228,0.011322341,0.104792738,0.233930003,0.443975594,0.914545815
alphaTemp,0.575643824,0.174103064,0.246483322,0.462707069,0.564170957,0.681303724,0.92776105
alphaTemp,0.328012645,0.235285578,0.017801934,0.138824668,0.276592686,0.477964666,0.878175177
alphaTemp,0.177286597,0.120779828,0.007014351,0.077532059,0.159869701,0.256754251,0.441222926
alphaTemp,0.361720167,0.267859392,0.015461181,0.141654133,0.294513799,0.545705901,0.956827512
alphaTemp,0.428970463,0.136428512,0.123087072,0.352781238,0.437032536,0.517050084,0.678807829
alphaTemp,0.45583345,0.101550643,0.229691553,0.396807041,0.46090577,0.524175345,0.635195293
alphaTemp,0.934360345,0.051942634,0.809498884,0.904436649,0.94541497,0.976465778,0.998213697
alphaTemp,0.817152884,0.069306602,0.677135219,0.771177502,0.818707923,0.867246754,0.942931508
alphaTemp,0.15637095,0.106617802,0.007567777,0.069786622,0.140059765,0.225631535,0.398987222
alphaTemp,0.151118828,0.10754917,0.006694895,0.060064856,0.133501702,0.220882749,0.392434844
alphaTemp,0.311836189,0.222366869,0.019591299,0.1455715,0.271013674,0.420428008,0.880167156
alphaTemp,0.38312139,0.146463156,0.043587044,0.297932764,0.410912513,0.491583938,0.602876061
alphaTemp,0.582652583,0.064580159,0.457660711,0.538056652,0.582741578,0.624049761,0.711189263
alphaTemp,0.390455138,0.262150758,0.018694636,0.169846163,0.341482257,0.580845281,0.932598068
alphaTemp,0.358567346,0.108990847,0.110887746,0.30068074,0.369164138,0.425906295,0.546909993
alphaTemp,0.790665204,0.054554761,0.681229752,0.756035614,0.790341388,0.827486745,0.900529543
alphaTemp,0.338518943,0.214019797,0.031080606,0.186145491,0.301139795,0.432791681,0.857514695
alphaTemp,0.767849497,0.115319326,0.534807684,0.69260432,0.769198444,0.851447714,0.975230008
alphaTemp,0.191674152,0.124972357,0.009573905,0.089932296,0.176015367,0.275001191,0.461932488
alphaTemp,0.344486449,0.244406435,0.016098157,0.149960254,0.293022521,0.498165291,0.904317859
alphaTemp,0.453735943,0.258610011,0.025252458,0.243579282,0.429684261,0.655101125,0.946009547
alphaTemp,0.593912617,0.071719832,0.449629724,0.549716703,0.595004581,0.640538317,0.734125797
alphaTemp,0.673175294,0.076697679,0.538085658,0.61993479,0.666443108,0.724655672,0.833782371
alphaTemp,0.91759777,0.051508758,0.802202053,0.884770063,0.923787277,0.957714054,0.993135984
alphaTemp,0.424558598,0.212301221,0.055753017,0.275752839,0.408137497,0.548318106,0.884341616
alphaTemp,0.382246788,0.274154231,0.016163227,0.142316,0.329772497,0.588775098,0.947194666
alphaTemp,0.520506816,0.123751965,0.308836355,0.446966151,0.508864062,0.571951378,0.861298823
alphaTemp,0.398116717,0.251758751,0.028037398,0.199414505,0.356299064,0.563301003,0.933600081
alphaTemp,0.393091039,0.272522335,0.014630617,0.158082262,0.347026134,0.603461408,0.934681609
alphaTemp,0.470121864,0.244017739,0.046946067,0.289715865,0.44630112,0.6425654,0.959489794
alphaTemp,0.370421271,0.077413468,0.191348838,0.327149803,0.379147967,0.42352009,0.496563123
alphaTemp,0.716381078,0.111424777,0.521117043,0.636063726,0.706749201,0.788425646,0.96245331
alphaTemp,0.676785119,0.060681798,0.553589907,0.635929534,0.679957783,0.718427285,0.790845583
alphaTemp,0.451891643,0.265485942,0.031460641,0.235664064,0.419772077,0.662767263,0.967572926
alphaTemp,0.422559249,0.271515893,0.029193845,0.19810801,0.372561268,0.629580606,0.964305675
alphaTemp,0.510435641,0.083793564,0.346436504,0.455166518,0.509825243,0.56607915,0.674687333
alphaTemp,0.407122968,0.234276356,0.035371897,0.229017709,0.376297443,0.557584817,0.937991647
alphaTemp,0.337076875,0.149245976,0.025956533,0.241719812,0.360800948,0.452018749,0.570527962
alphaTemp,0.680703068,0.087631249,0.502390175,0.624834187,0.67994609,0.738705626,0.842755315
alphaTemp,0.369100946,0.189944751,0.043177972,0.23995194,0.359909901,0.466975275,0.859612398
