"","beta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"betaTemp",0.873751588543168,0.0304351265573717,0.817343471162424,0.852320251341065,0.873250052164583,0.893273482676008,0.937101202323244
"betaTemp",0.642306111405843,0.036941131252225,0.575805789820699,0.616619776170521,0.641122817090668,0.66590420767452,0.721111920808065
"betaTemp",0.970593923876698,0.0207831903052426,0.922231931506523,0.958195935990452,0.974505839279,0.986988620212931,0.998220920194092
"betaTemp",0.0851446289039357,0.0675423093479504,0.00314020464678992,0.0302266357293734,0.0687883105829747,0.126918159021346,0.24358421648191
"betaTemp",0.353522154679854,0.0351840801024602,0.288147360334264,0.328940476597483,0.352039392997825,0.374783624264172,0.428438990876381
"betaTemp",0.58958523688195,0.131112395221127,0.358409533765346,0.507908526358738,0.571683879804026,0.647935394836085,0.918082202242858
"betaTemp",0.35509810136823,0.282725044211485,0.0115597552594719,0.103357628922822,0.285050811003294,0.572296158391868,0.934675565951282
"betaTemp",0.34444872286452,0.230468128928924,0.0283631283983136,0.169069048551512,0.288484219006789,0.476615423836842,0.899245918188074
"betaTemp",0.44535357493024,0.269188451871443,0.0300711696637412,0.212876992949712,0.427565598687059,0.656537816149102,0.952272511220944
"betaTemp",0.444150823188177,0.271836145733526,0.0217650585958456,0.218611824477766,0.414844026399899,0.661315624201741,0.957949172900237
"betaTemp",0.217937766250577,0.106222696736211,0.056697446354222,0.142147815222231,0.201453904764451,0.276975051351674,0.476221615753527
"betaTemp",0.57804486251156,0.0633530538545228,0.460200939024863,0.534252884967471,0.577352913148,0.6189151168823,0.711753709664085
"betaTemp",0.553017053367672,0.0398162196429068,0.478067455432912,0.524267034837011,0.552523427786234,0.58101321819681,0.631693396985015
"betaTemp",0.321236307725441,0.15057833469941,0.0724085852075572,0.216365462810827,0.30305926228347,0.403443814435554,0.686023111401227
"betaTemp",0.740410805166851,0.0279362870941613,0.689084142834414,0.721025990617662,0.740094713474428,0.75847766097965,0.796320106600105
"betaTemp",0.342518918680801,0.263197327323621,0.0108464796252451,0.120576301120057,0.276146442723323,0.527864239157828,0.921655520928317
"betaTemp",0.648667610742189,0.0312820133813858,0.592944675089422,0.626375189820219,0.646440956698101,0.667923084636821,0.71782601459974
"betaTemp",0.976685629269882,0.0181093260631048,0.932729489545752,0.966555565072216,0.980859331781772,0.991017561769404,0.99914247302395
"betaTemp",0.4249954224951,0.0471582635449333,0.338767823039793,0.39253849468464,0.423365074180433,0.455245499616053,0.521878916359723
"betaTemp",0.4451441346983,0.214938153847658,0.077029777269962,0.278316270792133,0.431387812689893,0.593461308539849,0.882017638781214
"betaTemp",0.964040705318375,0.0235426129275294,0.908078248933361,0.95002225590776,0.967384451660255,0.982443162086633,0.99814081829785
"betaTemp",0.312558467789801,0.0627316140438915,0.204511892827711,0.268646565205202,0.308711854675451,0.34972615210851,0.4535688207618
"betaTemp",0.823890167018295,0.0435530579264305,0.744782465584262,0.792291857056182,0.822190213546869,0.85293183978309,0.914364357612553
"betaTemp",0.413697260394528,0.264630597069635,0.0247775222169455,0.19805573549918,0.372202331534985,0.612303646749095,0.948066044679012
"betaTemp",0.936691611766383,0.0392443063097517,0.849822866175085,0.911808797164722,0.939794238438651,0.968036792394387,0.996381633080081
"betaTemp",0.471806377291947,0.229670151384229,0.0939563749230631,0.303197741534004,0.43620823121558,0.628097322512064,0.956987397618652
"betaTemp",0.886780218201583,0.0248107811588878,0.841578760425706,0.869444352042173,0.886709913450492,0.902677320920625,0.935518112968473
"betaTemp",0.598901078936561,0.212527835293392,0.173523658413484,0.441505145416729,0.602050813385801,0.763692814662626,0.959324266977789
"betaTemp",0.287128819364336,0.129498069044896,0.0715386877646035,0.195444025222551,0.272852351814037,0.362020721833301,0.594160656927354
"betaTemp",0.8990987564191,0.0339163456109278,0.832497016231207,0.875945596180595,0.899675995681588,0.921751072684734,0.964309030828378
"betaTemp",0.261539454975549,0.05391755281401,0.158133335054278,0.224301867199111,0.260959311390667,0.297305406931182,0.368112742962848
"betaTemp",0.816632268735432,0.0424561196616487,0.736510712755177,0.787042666541895,0.816172870972421,0.843615456216596,0.9048123167424
"betaTemp",0.808158850297528,0.0230486729221481,0.763807800622832,0.793510649905875,0.80808562191584,0.823333495248729,0.853409590706589
"betaTemp",0.507150390789754,0.0643534471705207,0.380601250632581,0.464963011659069,0.505368420980338,0.547586028387643,0.63872453569572
"betaTemp",0.945201863537247,0.0321063536959936,0.874923194972743,0.924260439328636,0.94821881720926,0.970133298654637,0.99582186735806
"betaTemp",0.135678503857715,0.079940593627687,0.0126363539460532,0.071129599618773,0.130125228813075,0.189813928553332,0.306240000342625
"betaTemp",0.406281896250268,0.273168625873369,0.0212290613786261,0.169641246904861,0.364418125645544,0.618752981048066,0.936640543969474
"betaTemp",0.847128533763428,0.0295279249570605,0.788827687636535,0.827282208330459,0.847448080008712,0.866947245609705,0.903227963317641
