"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.00291693822142751,-0.000130329620560179,-0.000824830342141799,5.85518623403177e-05,0.0340433211341258,-0.00978760252889707
"beta",-0.000130329620560179,0.00092629692856323,0.00056294530854403,3.68614939886547e-05,-0.0133076966536401,0.000562656431397117
"gamma",-0.000824830342141799,0.00056294530854403,0.00583797515721741,-0.000106854696227174,-0.0105006068387356,0.00196562138714958
"delta",5.85518623403177e-05,3.68614939886547e-05,-0.000106854696227174,0.00033603026970745,0.00124282360715558,-0.000217092706706162
"lambda",0.0340433211341258,-0.0133076966536401,-0.0105006068387356,0.00124282360715558,0.846153044644764,-0.137431746020664
"luce",-0.00978760252889707,0.000562656431397117,0.00196562138714958,-0.000217092706706162,-0.137431746020664,0.04622267555936
"alpha",0.00295781137397119,-0.00030348391608743,-0.00107311210199693,0.000507952969711921,0.0393900962010365,-0.0103397203179624
"beta",-0.00030348391608743,0.00136464717819411,0.000663968908346591,0.000234341014062229,-0.0247331943512196,0.00172627484065323
"gamma",-0.00107311210199693,0.000663968908346591,0.00581943236109819,-0.00104361060915089,-0.0152559992687491,0.00258006983338791
"delta",0.000507952969711921,0.000234341014062229,-0.00104361060915089,0.00240160407507162,-0.00202804094121703,-0.00180733376826911
"lambda",0.0393900962010365,-0.0247331943512196,-0.0152559992687491,-0.00202804094121703,1.0032395132773,-0.165626976393601
"luce",-0.0103397203179624,0.00172627484065323,0.00258006983338791,-0.00180733376826911,-0.165626976393601,0.047064032992425
"alpha",0.00692587025160512,4.82566819664083e-05,-0.00267699568915057,-2.93828756394764e-05,0.0438412607134922,-0.0168128032931237
"beta",4.82566819664083e-05,0.000431940999263931,0.000182223968062519,6.42728754643416e-05,-0.00347347751880536,-0.000173338782334114
"gamma",-0.00267699568915057,0.000182223968062519,0.00998826322051195,-0.000235289158896971,-0.00211473512527686,0.00163824514786392
"delta",-2.93828756394764e-05,6.42728754643416e-05,-0.000235289158896971,0.00043359280437615,0.000305916502322506,-0.000180098408836199
"lambda",0.0438412607134922,-0.00347347751880536,-0.00211473512527686,0.000305916502322506,0.852809855571517,-0.191955093211112
"luce",-0.0168128032931237,-0.000173338782334114,0.00163824514786392,-0.000180098408836199,-0.191955093211112,0.0739304472632781
"alpha",0.00930198453594439,0.000454507221687666,0.00463808629540647,-0.000703684359739759,0.000600535465965282,-0.00440022581618247
"beta",0.000454507221687666,0.00456196355205423,0.000734633717965734,-0.00093678368732395,-0.0181467469047559,-0.00144076799845099
"gamma",0.00463808629540647,0.000734633717965734,0.0513771602446486,-0.00544301828453123,-0.0198091786731393,-0.00153971310999511
"delta",-0.000703684359739759,-0.00093678368732395,-0.00544301828453123,0.0321455702745113,-0.0142908778483074,-0.0038235639387316
"lambda",0.000600535465965282,-0.0181467469047559,-0.0198091786731393,-0.0142908778483074,0.689173851216968,-0.0338779254010096
"luce",-0.00440022581618247,-0.00144076799845099,-0.00153971310999511,-0.0038235639387316,-0.0338779254010096,0.0307739873678161
"alpha",0.00160470663966338,0.000292704377253038,-0.000677599976993168,5.97990371316005e-05,0.0101638679025271,-0.00457853608010158
"beta",0.000292704377253038,0.00123791949265633,0.000693817240793386,1.28377122334397e-05,-0.016751967925933,-0.00131424510102187
"gamma",-0.000677599976993168,0.000693817240793386,0.00724011652493946,-4.18766672567031e-05,-0.0102846249789949,-0.000236632641406613
"delta",5.97990371316005e-05,1.28377122334397e-05,-4.18766672567031e-05,0.0011514785746055,-0.000388610298748303,-0.000186461308301087
"lambda",0.0101638679025271,-0.016751967925933,-0.0102846249789949,-0.000388610298748303,0.566738933687933,-0.06005266078447
"luce",-0.00457853608010158,-0.00131424510102187,-0.000236632641406613,-0.000186461308301087,-0.06005266078447,0.0302482117319235
"alpha",0.00290540986022254,-0.00183429478502218,-0.000139871824548326,0.00395407133975247,-0.00980281980969258,-0.0080463930214808
"beta",-0.00183429478502218,0.017190460180621,0.000733882280063998,-0.010537313499848,0.0145666189354701,0.00602781144033896
"gamma",-0.000139871824548326,0.000733882280063998,0.00569723489834364,-0.000468162750631163,-0.00159414802176833,-0.000640958164620996
"delta",0.00395407133975247,-0.010537313499848,-0.000468162750631163,0.0145165213928417,-0.0354827057662639,-0.0111438306558681
"lambda",-0.00980281980969258,0.0145666189354701,-0.00159414802176833,-0.0354827057662639,0.405853863419936,0.029956938210794
"luce",-0.0080463930214808,0.00602781144033896,-0.000640958164620996,-0.0111438306558681,0.029956938210794,0.0302624258154534
"alpha",0.00681141059561087,-0.00513467314654943,-0.0013334443244271,0.00905764813054802,-0.00416756123879442,-0.018165035534462
"beta",-0.00513467314654943,0.0799334506243859,0.00613272584617378,-0.0368081627553288,0.0253589683866312,0.0184694584573371
"gamma",-0.0013334443244271,0.00613272584617378,0.0217896366456961,-0.0094886699719155,-0.00192699479133759,0.00100397226326986
"delta",0.00905764813054802,-0.0368081627553288,-0.0094886699719155,0.0614918476545708,-0.0644285589081883,-0.0330872629306495
"lambda",-0.00416756123879442,0.0253589683866312,-0.00192699479133759,-0.0644285589081883,1.31976427044741,0.00944919379210577
"luce",-0.018165035534462,0.0184694584573371,0.00100397226326986,-0.0330872629306495,0.00944919379210577,0.0858588974153575
"alpha",0.0453679246343329,-0.00229180109290998,-0.0155191547966653,0.00402485184898814,0.0117109632836811,-0.0212553713453679
"beta",-0.00229180109290998,0.0531155584519991,0.00298266470877591,-0.0139872631186065,-0.0175000681414073,-0.00129200620275777
"gamma",-0.0155191547966653,0.00298266470877591,0.0123304054980444,-0.00159636980973146,-0.00348289023338514,0.00385985934952719
"delta",0.00402485184898814,-0.0139872631186065,-0.00159636980973146,0.0106778392384105,-0.0347349490925313,-0.00702759343986632
"lambda",0.0117109632836811,-0.0175000681414073,-0.00348289023338514,-0.0347349490925313,1.27731349831876,-0.0230113451121637
"luce",-0.0212553713453679,-0.00129200620275777,0.00385985934952719,-0.00702759343986632,-0.0230113451121637,0.0832756339057862
"alpha",0.0622863973503255,0.00224172921909611,-0.0121902822200835,0.00136351909077262,0.0101151702948578,-0.0110904972394122
"beta",0.00224172921909611,0.0724624226209444,-0.000675245840065135,-0.00941066505040507,-0.0146033011397145,-0.000760419071125668
"gamma",-0.0121902822200835,-0.000675245840065135,0.00971714820184572,0.000163768621440857,-0.00688113619043572,-0.00105007714670818
"delta",0.00136351909077262,-0.00941066505040507,0.000163768621440857,0.010398833200747,-0.028173296439066,-0.00587121087152128
"lambda",0.0101151702948578,-0.0146033011397145,-0.00688113619043572,-0.028173296439066,1.34704743468403,0.0116208179701442
"luce",-0.0110904972394122,-0.000760419071125668,-0.00105007714670818,-0.00587121087152128,0.0116208179701442,0.0805018660305329
"alpha",0.0124235112164269,-0.000987355457852445,-0.00576622511728561,0.00018272908333472,0.000256701328687584,-0.0106883708562955
"beta",-0.000987355457852445,0.0738948901272585,0.00139831012192021,-0.00614282712015469,0.00283385348097264,-0.00451621480384391
"gamma",-0.00576622511728561,0.00139831012192021,0.0256285797205397,0.000156352189569276,0.0040888726150633,-0.00195645157078251
"delta",0.00018272908333472,-0.00614282712015469,0.000156352189569276,0.00345116311912234,-0.0134240951726106,-0.00114435626691684
"lambda",0.000256701328687584,0.00283385348097264,0.0040888726150633,-0.0134240951726106,1.32788551465629,-0.0167622484378716
"luce",-0.0106883708562955,-0.00451621480384391,-0.00195645157078251,-0.00114435626691684,-0.0167622484378716,0.0793358011335723
"alpha",0.000556142653480676,-0.000153217615765173,-0.000100848000894755,0.000389750885033127,0.00210271188264563,-0.00149152782998975
"beta",-0.000153217615765173,0.0112832613019129,0.000101122483696081,-0.00496116866331518,-0.0496242918993912,-0.00185694208372335
"gamma",-0.000100848000894755,0.000101122483696081,0.00051536362108547,-0.000167383722427461,-0.00196300365763762,0.000489012477804952
"delta",0.000389750885033127,-0.00496116866331518,-0.000167383722427461,0.00801334837203351,-0.00694670676878539,-0.00264940482337104
"lambda",0.00210271188264563,-0.0496242918993912,-0.00196300365763762,-0.00694670676878539,1.01341185038148,-0.0228098225331339
"luce",-0.00149152782998975,-0.00185694208372335,0.000489012477804952,-0.00264940482337104,-0.0228098225331339,0.0319754456408715
"alpha",0.0660973221316974,-9.29962825320538e-05,-0.00945396617854866,0.000780604366563081,0.00896664249027877,-0.00797079713641629
"beta",-9.29962825320538e-05,0.00401360943269407,0.000462383954672723,-0.00033940110072058,-0.0285853224262471,-0.00516218938447773
"gamma",-0.00945396617854866,0.000462383954672723,0.00743711173870205,-0.000240495397292995,0.00560583699061462,-0.00151141060809153
"delta",0.000780604366563081,-0.00033940110072058,-0.000240495397292995,0.000719764824739039,-0.00552712154496589,-0.00144403898234295
"lambda",0.00896664249027877,-0.0285853224262471,0.00560583699061462,-0.00552712154496589,0.88546350443586,-0.0998111040824917
"luce",-0.00797079713641629,-0.00516218938447773,-0.00151141060809153,-0.00144403898234295,-0.0998111040824917,0.06892098476792
"alpha",0.000996520572040764,-0.000336254701576342,-0.000340266583369041,0.000171378662083999,0.0126581371571739,-0.00373315321866698
"beta",-0.000336254701576342,0.00158533134665219,0.000393925605828076,4.03459449017091e-05,-0.0176030113851436,0.000678018369651673
"gamma",-0.000340266583369041,0.000393925605828076,0.000767657689925172,-0.000142715903465225,-0.0045302433928647,0.000351566746865363
"delta",0.000171378662083999,4.03459449017091e-05,-0.000142715903465225,0.00149205391620796,-0.00338748778896466,-0.000638105596064253
"lambda",0.0126581371571739,-0.0176030113851436,-0.0045302433928647,-0.00338748778896466,0.336487005279508,-0.0491014101828201
"luce",-0.00373315321866698,0.000678018369651673,0.000351566746865363,-0.000638105596064253,-0.0491014101828201,0.0251880839694318
"alpha",0.000903994314154775,-0.000366741511498105,5.77528357173419e-05,0.000991868211349657,0.000385133846520334,-0.00358839667022038
"beta",-0.000366741511498105,0.0226738348808475,1.42119346559275e-05,-0.00838195399724063,-0.0422521736357325,3.15233652655593e-05
"gamma",5.77528357173419e-05,1.42119346559275e-05,0.000734457737301695,-6.45217326883452e-05,-0.0010370763086337,5.25842153513153e-05
"delta",0.000991868211349657,-0.00838195399724063,-6.45217326883452e-05,0.0111967051107862,-0.0375722973634052,-0.00413678545401108
"lambda",0.000385133846520334,-0.0422521736357325,-0.0010370763086337,-0.0375722973634052,1.14824047169927,-0.0101204596858691
"luce",-0.00358839667022038,3.15233652655593e-05,5.25842153513153e-05,-0.00413678545401108,-0.0101204596858691,0.0329143117540769
"alpha",0.00748374300674203,4.78800977499029e-05,-0.00398689920944678,8.41569799398189e-05,0.0171620693910671,-0.00576264838439969
"beta",4.78800977499029e-05,0.000780436136607402,0.00203220512057885,0.00022555927246267,-0.00676728039946555,-0.000663639328304059
"gamma",-0.00398689920944678,0.00203220512057885,0.0751010327023564,9.28731435091247e-06,-0.0273238192833805,0.000429264503490379
"delta",8.41569799398189e-05,0.00022555927246267,9.28731435091247e-06,0.00141165676482275,-0.0031328675982473,-0.00107022638791645
"lambda",0.0171620693910671,-0.00676728039946555,-0.0273238192833805,-0.0031328675982473,0.823776185610859,-0.170517170095576
"luce",-0.00576264838439969,-0.000663639328304059,0.000429264503490379,-0.00107022638791645,-0.170517170095576,0.0604889823373585
"alpha",0.00279171936395205,-0.00147108168211188,-0.00023319228333526,0.00233834420673271,-0.00224829005398218,-0.00937545004854801
"beta",-0.00147108168211188,0.0692728331102973,0.00140923519371663,-0.0200239068896889,0.0243948273565112,0.00899757623209742
"gamma",-0.00023319228333526,0.00140923519371663,0.0107579280216118,-0.0016355075007517,0.00455649266014042,-0.000757266650926972
"delta",0.00233834420673271,-0.0200239068896889,-0.0016355075007517,0.0224015110781367,-0.052100970578611,-0.0138234965227999
"lambda",-0.00224829005398218,0.0243948273565112,0.00455649266014042,-0.052100970578611,1.25572650728279,0.00700779354166537
"luce",-0.00937545004854801,0.00899757623209742,-0.000757266650926972,-0.0138234965227999,0.00700779354166537,0.0622458805625736
"alpha",0.00160603358820347,-0.000163654495813617,-0.000555656587633577,0.000362796955688789,0.0227901628169014,-0.00587293696589969
"beta",-0.000163654495813617,0.000978564361193197,0.000264555320395358,0.000280510856413185,-0.0162257720829523,0.000315129802883525
"gamma",-0.000555656587633577,0.000264555320395358,0.00135513414059458,-0.00032663262535158,-0.00638706849783843,0.000779658072643972
"delta",0.000362796955688789,0.000280510856413185,-0.00032663262535158,0.00191429391695218,-0.00446585725640753,-0.000527067104890627
"lambda",0.0227901628169014,-0.0162257720829523,-0.00638706849783843,-0.00446585725640753,0.657757872243238,-0.102093905258309
"luce",-0.00587293696589969,0.000315129802883525,0.000779658072643972,-0.000527067104890627,-0.102093905258309,0.0386164044923686
"alpha",0.0122299343784789,2.6247725797481e-05,0.000799177786257682,-0.000298013983573534,0.0250588939217797,-0.0101912056245673
"beta",2.6247725797481e-05,0.000327947690459845,0.000520732445708706,7.74503035296469e-05,-0.00251766060907523,0.000243121135981511
"gamma",0.000799177786257682,0.000520732445708706,0.048396355768533,-0.000180777402773562,-0.00102175881639633,0.00191486249241413
"delta",-0.000298013983573534,7.74503035296469e-05,-0.000180777402773562,0.000540467421759627,-0.00103903652464292,-3.32819680783514e-05
"lambda",0.0250588939217797,-0.00251766060907523,-0.00102175881639633,-0.00103903652464292,0.580485423860443,-0.14998356260276
"luce",-0.0101912056245673,0.000243121135981511,0.00191486249241413,-3.32819680783514e-05,-0.14998356260276,0.0657027793438073
"alpha",0.0176487059226622,-0.00136472541041399,-0.00777140618288969,0.000350357466362878,0.0559321329656424,-0.012435951859538
"beta",-0.00136472541041399,0.00222390182057339,0.00115683368011522,7.19016619877935e-05,-0.0222461519437272,-0.00100265846243954
"gamma",-0.00777140618288969,0.00115683368011522,0.00538569839418193,-4.56614653145784e-05,-0.0103498762911572,-0.00153254892754483
"delta",0.000350357466362878,7.19016619877935e-05,-4.56614653145784e-05,0.00195893644742789,-0.00386413913361044,-0.000737952245272926
"lambda",0.0559321329656424,-0.0222461519437272,-0.0103498762911572,-0.00386413913361044,0.928166287605607,-0.19099300444078
"luce",-0.012435951859538,-0.00100265846243954,-0.00153254892754483,-0.000737952245272926,-0.19099300444078,0.073833292432516
"alpha",0.0105105858088134,0.00381052747727837,0.00382929867360686,-5.67193794981488e-05,-0.00465012342727723,-0.0119083443705706
"beta",0.00381052747727837,0.0461984099794394,0.0343598687519567,-0.00971891925484486,-0.0520593451873576,-0.0110666734288709
"gamma",0.00382929867360686,0.0343598687519567,0.113637574039633,-0.00746305492158574,-0.0212620376865014,-0.020838109442396
"delta",-5.67193794981488e-05,-0.00971891925484486,-0.00746305492158574,0.00330476261057484,-0.00587887625833731,-0.00113914228981
"lambda",-0.00465012342727723,-0.0520593451873576,-0.0212620376865014,-0.00587887625833731,1.05738970833048,0.00251271324803605
"luce",-0.0119083443705706,-0.0110666734288709,-0.020838109442396,-0.00113914228981,0.00251271324803605,0.073745901896985
"alpha",0.000842251502162983,-4.120485027814e-05,-3.54346679555289e-05,5.31003194213098e-05,0.00676120662505435,-0.00364987788636563
"beta",-4.120485027814e-05,0.000554254623455474,0.000160786056973842,-5.4111719976154e-06,-0.0038483084419426,0.000297554068028569
"gamma",-3.54346679555289e-05,0.000160786056973842,0.00100906351039158,-5.6650556928327e-05,-0.000242034086609085,0.000157610545435342
"delta",5.31003194213098e-05,-5.4111719976154e-06,-5.6650556928327e-05,0.000202242932817271,-0.000314893752152604,-0.00028951090989447
"lambda",0.00676120662505435,-0.0038483084419426,-0.000242034086609085,-0.000314893752152604,0.0937635493642201,-0.0350564603365524
"luce",-0.00364987788636563,0.000297554068028569,0.000157610545435342,-0.00028951090989447,-0.0350564603365524,0.0366742130652207
"alpha",0.000768863481929043,0.000114829783391785,1.41833083078059e-05,0.000531625442489855,0.00804845420220394,-0.00333941009606704
"beta",0.000114829783391785,0.00393525540055176,2.47696510667595e-05,-0.001017442069132,-0.0393257034855118,-0.00273311445431436
"gamma",1.41833083078059e-05,2.47696510667595e-05,0.00026880098482949,-6.4586893114886e-05,-0.000680928284622451,0.000161982802738718
"delta",0.000531625442489855,-0.001017442069132,-6.4586893114886e-05,0.00367617936546409,0.00630500943839375,-0.000481793145858843
"lambda",0.00804845420220394,-0.0393257034855118,-0.000680928284622451,0.00630500943839375,0.799984500363977,-0.0433224132704285
"luce",-0.00333941009606704,-0.00273311445431436,0.000161982802738718,-0.000481793145858843,-0.0433224132704285,0.0341232850305084
"alpha",0.00377520310024802,-0.000442211024570254,-0.000778800258940014,0.000264101596042673,0.0420740260709367,-0.0131513214775927
"beta",-0.000442211024570254,0.00189686885474301,0.000490876647851241,-0.000317189424564402,-0.0233425831726787,0.00156333958050576
"gamma",-0.000778800258940014,0.000490876647851241,0.00506370948684329,-0.000157681182983783,-0.00614057508743255,0.00158820092014453
"delta",0.000264101596042673,-0.000317189424564402,-0.000157681182983783,0.000333750014991084,0.0032829717759305,-0.000902131188467135
"lambda",0.0420740260709367,-0.0233425831726787,-0.00614057508743255,0.0032829717759305,0.822636674952998,-0.169396285228155
"luce",-0.0131513214775927,0.00156333958050576,0.00158820092014453,-0.000902131188467135,-0.169396285228155,0.0598753878990496
"alpha",0.0483822034121235,-0.000278771792592442,-0.0138094073746944,0.000659701254399751,0.00276014719965138,-0.00872117443036952
"beta",-0.000278771792592442,0.0700293529054314,0.000347898206590701,-0.00864807067159265,-0.00695760546842984,0.00170634174531778
"gamma",-0.0138094073746944,0.000347898206590701,0.0115017765933587,0.000176242761811471,-3.37065025108154e-05,-0.00346423372109575
"delta",0.000659701254399751,-0.00864807067159265,0.000176242761811471,0.00517216934626177,-0.0162124450955415,-0.00246927952153595
"lambda",0.00276014719965138,-0.00695760546842984,-3.37065025108154e-05,-0.0162124450955415,1.31651716032571,-0.00241199053702643
"luce",-0.00872117443036952,0.00170634174531778,-0.00346423372109575,-0.00246927952153595,-0.00241199053702643,0.0828261395715937
"alpha",0.00352000924303352,-0.000171767205569843,-0.00104710659450414,0.000310340216597498,0.0198695798341439,-0.00930437073683262
