"","beta","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"betaTemp",0.852132124591799,0.0503312060429618,0.752198395949131,0.818677174261451,0.852097585844829,0.886550511522225,0.951167574346192
"betaTemp",0.626471251193662,0.0490680852620957,0.533697875975222,0.593811278084257,0.625283515508882,0.656785822898412,0.726692103638798
"betaTemp",0.93299516977242,0.045397105134032,0.837106083917167,0.900953773963204,0.938465413307198,0.97083555625679,0.997739324930268
"betaTemp",0.101223718224136,0.0776529562513351,0.00497213083947143,0.0409390878081651,0.0841937140114405,0.14290318180881,0.292777642589586
"betaTemp",0.337970063467271,0.053977888951057,0.2314532387068,0.302070448676731,0.337728547165079,0.373838395353508,0.445760648172805
"betaTemp",0.424191592131741,0.193920700359897,0.0600451718445462,0.293416620618339,0.421795501783486,0.546402338763982,0.869923271958373
"betaTemp",0.333312039971421,0.275629101412103,0.00718074950963563,0.0949884189699053,0.252426797510783,0.533581963415365,0.932098517788033
"betaTemp",0.394307153030753,0.200599011355158,0.0428669223137966,0.260932544717999,0.381075140875598,0.500657854580373,0.873679115253068
"betaTemp",0.390197669071604,0.279831040770088,0.0159899550564873,0.146988398631394,0.333931398924623,0.595531896528064,0.955132534348755
"betaTemp",0.427481686989417,0.277808578528644,0.0193596288721797,0.184417867072006,0.395348071280113,0.651561085866543,0.959140304709611
"betaTemp",0.289927678706773,0.235025189752214,0.0132573393384588,0.108964579177286,0.220253048833589,0.412644521319404,0.874408982071261
"betaTemp",0.762312482922201,0.12036461013248,0.530567008816443,0.67586711803194,0.76129049047519,0.855016608415388,0.977570438887717
"betaTemp",0.537818842299112,0.0726267198612805,0.391606701456064,0.488424072209463,0.538994993349073,0.588115355171963,0.671106963682821
"betaTemp",0.383864658035766,0.248351547547537,0.0196391286152765,0.182791701500653,0.34555374832116,0.549528315447121,0.924112796038444
"betaTemp",0.748745630511401,0.053141248634026,0.648852509503103,0.714332218896931,0.747169739216538,0.780794699367317,0.86077463621732
"betaTemp",0.308822267869868,0.236205831050102,0.016968903415039,0.129748496484525,0.244241356787481,0.430799897853372,0.913397651496407
"betaTemp",0.669527729869737,0.0547918555738543,0.569420479270759,0.632571886801645,0.668065530410591,0.704398143654509,0.783794092466887
"betaTemp",0.954859347519074,0.0326366997101447,0.878465371603312,0.934085785701484,0.960924528282081,0.981088703868718,0.998461497020909
"betaTemp",0.406729787855663,0.0773090258732012,0.25038193796267,0.356437412075535,0.407642687435471,0.457309246094687,0.558532914743736
"betaTemp",0.439882952716924,0.274701650111318,0.0198089468237229,0.211661869519422,0.412681470167008,0.659983413453025,0.955538508574913
"betaTemp",0.92020080396067,0.0502222651122618,0.810614101228057,0.886540913625785,0.925211019682772,0.960498094799661,0.995097381251404
"betaTemp",0.356914669149811,0.139568070147775,0.0531439922908519,0.268509480313611,0.364751889173545,0.451531887658143,0.60162876268971
"betaTemp",0.758789988551318,0.0772322719488265,0.615343702390473,0.70568806347749,0.75510683891848,0.810773804923392,0.916004048115688
"betaTemp",0.383342401111721,0.282683560762583,0.0129781423238859,0.13072096202949,0.322572357463216,0.613374723092918,0.952193317410871
"betaTemp",0.896471642709962,0.0657688732902576,0.754082973790093,0.853436499694847,0.904412783751758,0.949115005086184,0.995057589469835
"betaTemp",0.365786677277084,0.197344621088515,0.0540666941355293,0.2289821888133,0.333467183573865,0.467654825933788,0.855117710858522
"betaTemp",0.919736187493585,0.0483149543385329,0.814887298610664,0.887693841770183,0.921913645070084,0.958790849205746,0.994131942035197
"betaTemp",0.463929670280169,0.252934301127324,0.0305005627872809,0.266536305260221,0.446315341207262,0.653336612480521,0.955171503885049
"betaTemp",0.327258470577088,0.171039106445496,0.0494097225767038,0.215267683444214,0.303628535369973,0.412294803223884,0.755843335350839
"betaTemp",0.921706645393879,0.0509872412988954,0.808813865502731,0.888816147511642,0.927350734402434,0.962047903398439,0.996028507543855
"betaTemp",0.285397274198383,0.0967376904737993,0.0825646635896631,0.224080106356138,0.288463166608938,0.351233497659729,0.473467820323036
"betaTemp",0.730870733374486,0.067359287423821,0.609212580106081,0.684140409616465,0.727715679532695,0.775647359497125,0.872961914295414
"betaTemp",0.831176901759879,0.0481721439152092,0.742354673442729,0.797001555376224,0.830462677239526,0.864494398007487,0.927254133170247
"betaTemp",0.419741443722392,0.108485278435648,0.219552194055415,0.348904557422026,0.4156357800421,0.488822110382907,0.641173562386754
"betaTemp",0.947998878796709,0.0385704204859992,0.858021005919226,0.924919834202448,0.955632159264812,0.978892467829639,0.998213980416961
"betaTemp",0.182658552644418,0.12005558687287,0.00557674404081156,0.0918899345097259,0.169679750270558,0.254857833654928,0.441657757973683
"betaTemp",0.392575226400571,0.271807540075206,0.0178559017684391,0.163351064673131,0.340984937552656,0.591483635688112,0.95660699854523
"betaTemp",0.816619238932734,0.0539221627358476,0.705273557852513,0.781878927886335,0.818930091040729,0.854313832351695,0.917028336010644
"betaTemp",0.402940622508378,0.241818813083709,0.0226494901089789,0.215339658920202,0.37631026130423,0.56536170870008,0.908599697699271
"betaTemp",0.769434702902384,0.0383037876781051,0.69839973686336,0.74367039491728,0.76708959010592,0.79239655850263,0.850808610398248
"betaTemp",0.83936410491799,0.0620659656120583,0.71266580280348,0.797934261878613,0.840690792063926,0.882369345457965,0.958736484167726
"betaTemp",0.262254079435703,0.239253376349945,0.00917993324582875,0.0859887438389131,0.18072310731111,0.359754490439602,0.897516709592402
"betaTemp",0.274982664260731,0.131818208808659,0.0374235593391344,0.175287612794688,0.276012174146201,0.369713921155937,0.527818575716454
"betaTemp",0.419074834231972,0.0577003102869778,0.3026727086736,0.381149712331599,0.420170447387051,0.454356953244561,0.53424332642402
"betaTemp",0.858497434246092,0.0883815626682689,0.672711519605279,0.796275015895251,0.86730146582551,0.930486134650627,0.990568303888544
"betaTemp",0.203251346648316,0.060127228104931,0.0779738544225421,0.164007131609495,0.203307167820724,0.245760496341968,0.317465370675399
"betaTemp",0.926850188183963,0.0511669922676167,0.815883984543793,0.890900935876501,0.935222967665011,0.968972719190925,0.997925952981725
"betaTemp",0.183883402962616,0.0895081399916888,0.0258116158365191,0.117291991759361,0.179625298176397,0.247202258554749,0.36421467030647
"betaTemp",0.892343155545217,0.0583666681920487,0.766056579007345,0.853144496582256,0.89688247351491,0.936764469182935,0.988382115034866
"betaTemp",0.906935883943923,0.0396404074369705,0.823232341565076,0.884482222988514,0.91045649560186,0.934520052409251,0.971823976772722
"betaTemp",0.196347938460135,0.11802169994734,0.0263135340562814,0.117815345576104,0.183368906529976,0.25593825299156,0.43254750484085
"betaTemp",0.42028124563047,0.247596056972717,0.0314056182559969,0.234204119344476,0.385762720143442,0.582011188593124,0.947356963891714
"betaTemp",0.672970862669818,0.0506433260323106,0.567718944124536,0.63883734575059,0.674561097259802,0.708226994018506,0.76774206729385
"betaTemp",0.251055927184391,0.23871234840224,0.00993521539032987,0.0836286492500078,0.169523476807626,0.325089430654088,0.909686665964016
"betaTemp",0.491649662695216,0.208244575332833,0.100734234001762,0.352486535446787,0.470442816764038,0.61408707905084,0.945712032972586
"betaTemp",0.345766873549525,0.250203837361135,0.0144662762173048,0.1474187184111,0.288530511571754,0.492222428381111,0.926625319202081
"betaTemp",0.734636789157917,0.0827000519568453,0.571261828615059,0.678575164811507,0.734583054013862,0.790417977108857,0.898720015875856
"betaTemp",0.339447611159073,0.0703046680970011,0.186844759421599,0.294564056905585,0.341839676696557,0.388405625356887,0.469499835904852
"betaTemp",0.696796262216528,0.0737951279026146,0.560169023616692,0.643956398669081,0.695835314294361,0.748310629657728,0.840711625341239
"betaTemp",0.878722029055456,0.0542029909551891,0.776940592528285,0.83939385446234,0.87717611114879,0.918002946240899,0.980045185327956
"betaTemp",0.866291791539517,0.0536990549928804,0.7542298000682,0.82983147162579,0.86974128877951,0.902667892509697,0.967708936698497
"betaTemp",0.614343386829419,0.0468713113269423,0.528813470092815,0.581954654813627,0.611965433290938,0.64388672892923,0.716671850162343
"betaTemp",0.848243686369576,0.0799523439968514,0.689932588458287,0.793193251224488,0.848613574742099,0.908797734000624,0.987542298345698
"betaTemp",0.841961150814972,0.0743697218864921,0.692669212728485,0.791390124103423,0.844466519729554,0.898933967640633,0.971587460969563
"betaTemp",0.637116031600861,0.114558139239802,0.421017481616895,0.558130131446534,0.632098221993008,0.70908003957977,0.875248454196616
"betaTemp",0.220693927291408,0.221869413218241,0.00685932111836996,0.0620006082496205,0.137040240757921,0.294039657369505,0.827027808802058
"betaTemp",0.387301034046257,0.270882163628077,0.0135451373181482,0.155171699167975,0.34425164877975,0.583165221117354,0.939039659621595
"betaTemp",0.507635719279446,0.034593157850276,0.441457240519157,0.484124094625842,0.507212963761952,0.530072728032458,0.575019966652864
"betaTemp",0.463994623096545,0.10749152841404,0.242484106929567,0.391814111023916,0.46584483700187,0.540854898872139,0.657922370636766
"betaTemp",0.934297640898424,0.0466122908894405,0.831381288018495,0.901643148735379,0.942259095109725,0.973780110642803,0.997832641188602
"betaTemp",0.336197750064043,0.236782139269059,0.016269087210267,0.154874365852417,0.287945217016471,0.471716711520791,0.915116717885134
"betaTemp",0.322986106620464,0.246821975010821,0.0148916686743086,0.127840056805725,0.260412577369213,0.4566965044936,0.913325090508989
"betaTemp",0.394714964665145,0.271345002461217,0.0176800940998506,0.16507139677512,0.348740492269416,0.592710043664466,0.95023014123274
"betaTemp",0.288682650160588,0.231465725150775,0.0131831104471024,0.125872378812435,0.22779096156837,0.378873649532695,0.927066562931796
"betaTemp",0.457493075332845,0.269994038324199,0.0295965091218604,0.227683124061085,0.442135977369094,0.667003101366309,0.957562262151267
"betaTemp",0.282789645542452,0.209091720892279,0.0159065426224516,0.116223567844735,0.244603745228488,0.397116707772518,0.815024714634065
"betaTemp",0.351626080003428,0.229317071257281,0.0219516032670121,0.176502678807098,0.318581579298244,0.474783370310479,0.913208061080845
"betaTemp",0.255984397342832,0.0729468836987184,0.111217839900884,0.209894627360812,0.254454321916812,0.301181874785701,0.40417485507031
"betaTemp",0.159010926763779,0.0744647777204915,0.0178362168716136,0.109667944942437,0.1551330522657,0.210241140217352,0.310422217496954
"betaTemp",0.397393188675873,0.268504244411951,0.0226366858316301,0.174705784457663,0.343483015079051,0.598592430575261,0.949023049565433
"betaTemp",0.480518870277425,0.228569843627092,0.0520966263559621,0.31174713628306,0.474638959522203,0.639148945394889,0.934426580675529
