"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0256601414339664,0.00206912621573275,0.00515724427251193,7.51183167537963e-05,0.0541988035490174,-0.00241062286372201
"beta",0.00206912621573275,0.00253323030173907,0.00381220480574131,0.000604870010405402,-0.0106593229339442,-0.00105919141259246
"gamma",0.00515724427251193,0.00381220480574131,0.0494297785183654,-0.000691456412928448,0.0208922751265684,0.0030569876574455
"delta",7.51183167537963e-05,0.000604870010405402,-0.000691456412928448,0.00228442388295817,-0.000487104119727333,0.000206784891426518
"lambda",0.0541988035490174,-0.0106593229339442,0.0208922751265684,-0.000487104119727333,0.913765572013083,-0.052943202498631
"luce",-0.00241062286372201,-0.00105919141259246,0.0030569876574455,0.000206784891426518,-0.052943202498631,0.0681202133663414
"alpha",0.00875935848426376,0.00117557813882875,-0.00145184219269063,0.0017699367386422,0.0397689597846718,-0.0101624269962116
"beta",0.00117557813882875,0.0024076769912883,0.00242818710368345,0.000845458397397362,-0.0257028761460536,-0.00140783014368134
"gamma",-0.00145184219269063,0.00242818710368345,0.0223125503846161,-0.00376345602244092,-0.00641777147758503,-0.00174182330780322
"delta",0.0017699367386422,0.000845458397397362,-0.00376345602244092,0.00564739862518916,-0.00925833685945327,-0.00294629427014784
"lambda",0.0397689597846718,-0.0257028761460536,-0.00641777147758503,-0.00925833685945327,1.00969178912529,-0.119068908335416
"luce",-0.0101624269962116,-0.00140783014368134,-0.00174182330780322,-0.00294629427014784,-0.119068908335416,0.0674324190763383
"alpha",0.0521998672306525,0.000457881806064209,-0.017386014188339,-0.000477726518932555,0.0354924907166289,0.00107583523571421
"beta",0.000457881806064209,0.00206089715455035,0.00119364836914447,0.00124743488297331,-0.0101297621061595,-0.00187833640868862
"gamma",-0.017386014188339,0.00119364836914447,0.0469325659033504,6.18523391785061e-05,0.0191645593107684,-0.0040585266150445
"delta",-0.000477726518932555,0.00124743488297331,6.18523391785061e-05,0.00347287808053923,0.00579158991340304,-0.0004025364272826
"lambda",0.0354924907166289,-0.0101297621061595,0.0191645593107684,0.00579158991340304,1.0647609167663,-0.0941527975018468
"luce",0.00107583523571421,-0.00187833640868862,-0.0040585266150445,-0.0004025364272826,-0.0941527975018468,0.0786562561440772
"alpha",0.0520218749250047,-5.82460973699259e-05,-0.0253800553806398,0.0037862283254457,0.0039648076167095,0.00702753309036144
"beta",-5.82460973699259e-05,0.00602998161457176,0.000684728920032443,0.000338742331497555,-0.0161285030153386,-0.00243613283181353
"gamma",-0.0253800553806398,0.000684728920032443,0.0833632341186957,-0.00825289850008761,-0.00808298256687996,-0.0198382566843373
"delta",0.0037862283254457,0.000338742331497555,-0.00825289850008761,0.0456169574357352,-0.0137430806295152,-0.00131028634259962
"lambda",0.0039648076167095,-0.0161285030153386,-0.00808298256687996,-0.0137430806295152,0.587082835004598,-0.0494282147316713
