"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0438532744306426,0.00282905028971941,0.000617622915905285,0.00126502632607307,0.0259323389857688,0.00259324485577285
"beta",0.00282905028971941,0.00771611062203418,0.00541501228502963,0.0025276537370871,-0.0293496515587354,-0.00266486716129142
"gamma",0.000617622915905285,0.00541501228502963,0.0711875664145535,-0.000171136699749404,-0.000327720729892149,0.00557330918281644
"delta",0.00126502632607307,0.0025276537370871,-0.000171136699749404,0.00672545337866217,-0.000691400587952952,-0.000483327863909623
"lambda",0.0259323389857688,-0.0293496515587354,-0.000327720729892149,-0.000691400587952952,1.14094650026871,-0.0323107170743121
"luce",0.00259324485577285,-0.00266486716129142,0.00557330918281644,-0.000483327863909623,-0.0323107170743121,0.0768093175325776
"alpha",0.0188660976306297,0.00496421805820284,0.00480463017917457,0.00192003497134319,0.0500157456241212,-0.00154792120752673
"beta",0.00496421805820284,0.00414080166213871,0.00374332618643758,0.000614256784048013,-0.021004227128968,-0.000605849260622049
"gamma",0.00480463017917457,0.00374332618643758,0.0233505320797299,-0.000936847540696024,0.00310437282988816,0.00219527709701206
"delta",0.00192003497134319,0.000614256784048013,-0.000936847540696024,0.00473243993538963,0.00555356505896458,0.000309663469143701
"lambda",0.0500157456241212,-0.021004227128968,0.00310437282988816,0.00555356505896458,1.08592206330863,-0.039121750340378
"luce",-0.00154792120752673,-0.000605849260622049,0.00219527709701206,0.000309663469143701,-0.039121750340378,0.0715414959521385
"alpha",0.0617760175744984,0.000578261897760982,-0.0141680801839567,-2.53524068354841e-05,0.0219676501992549,-0.00271225292199024
"beta",0.000578261897760982,0.00394308990163831,0.00246211989590466,0.00115188016509084,-0.00515843802657171,-0.00117314334601358
"gamma",-0.0141680801839567,0.00246211989590466,0.077999015837084,-0.00118561871011574,0.0122449448048492,0.000764918949709399
"delta",-2.53524068354841e-05,0.00115188016509084,-0.00118561871011574,0.00722717482437559,0.00198963756725684,0.000123242202742296
"lambda",0.0219676501992549,-0.00515843802657171,0.0122449448048492,0.00198963756725684,1.05068167477194,-0.022199122679581
"luce",-0.00271225292199024,-0.00117314334601358,0.000764918949709399,0.000123242202742296,-0.022199122679581,0.0803660349163657
"alpha",0.050047963523889,0.00202444032504951,-0.0264340458064931,0.00359552900538727,0.0133515296316616,-0.0035874856928068
"beta",0.00202444032504951,0.0144283127911091,0.000585498496826842,0.0038842068124346,-0.035520137095046,-0.00624069279890706
"gamma",-0.0264340458064931,0.000585498496826842,0.0934959093111707,-0.00450709159324921,-0.0224125713407663,-0.00759368460408356
"delta",0.00359552900538727,0.0038842068124346,-0.00450709159324921,0.0448837898887578,-0.000164401505193343,-0.00343292766896538
"lambda",0.0133515296316616,-0.035520137095046,-0.0224125713407663,-0.000164401505193343,0.976940416529812,-0.0649130244282424
"luce",-0.0035874856928068,-0.00624069279890706,-0.00759368460408356,-0.00343292766896538,-0.0649130244282424,0.0676834441988789
"alpha",0.0538094906051101,0.00018963834903589,-0.0355765561131586,0.00146822594488715,0.00842908341206883,0.00341422235313659
"beta",0.00018963834903589,0.0095215072379808,0.00239927555144778,0.000589551837082337,-0.0375563895930626,-0.00672191723132523
"gamma",-0.0355765561131586,0.00239927555144778,0.100650264960291,-0.00203240268825883,-0.0404726864063025,-0.00863562296408757
"delta",0.00146822594488715,0.000589551837082337,-0.00203240268825883,0.00890047432136649,0.00341519621682076,0.000607462403822367
"lambda",0.00842908341206883,-0.0375563895930626,-0.0404726864063025,0.00341519621682076,0.842318383373027,-0.0154013389012634
"luce",0.00341422235313659,-0.00672191723132523,-0.00863562296408757,0.000607462403822367,-0.0154013389012634,0.0601419956630334
"alpha",0.0331399793402581,0.00578590954730219,-0.00226621857958417,0.00861855470080841,0.00200563478474788,-0.0131693237700573
"beta",0.00578590954730219,0.036977514194089,0.0112087274431736,-0.0128241236303992,-0.0442056518513656,-0.00576216961889268
"gamma",-0.00226621857958417,0.0112087274431736,0.062568723815223,-0.00372267544037802,-0.0292417473058192,-0.00967139968768939
"delta",0.00861855470080841,-0.0128241236303992,-0.00372267544037802,0.04432926813722,-0.0490687170411659,-0.0121469276266159
"lambda",0.00200563478474788,-0.0442056518513656,-0.0292417473058192,-0.0490687170411659,1.33452634984204,-0.0209109187121267
"luce",-0.0131693237700573,-0.00576216961889268,-0.00967139968768939,-0.0121469276266159,-0.0209109187121267,0.0772515307068732
"alpha",0.0491744108424651,-0.00148900373959971,-0.0228145738958175,0.0043705329788084,-0.0113137717604175,-0.00574486024454702
"beta",-0.00148900373959971,0.0736445041040542,0.00323995840090615,-0.0283315244242328,0.00899523565964299,0.00408692535639093
"gamma",-0.0228145738958175,0.00323995840090615,0.0872643967648786,-0.00515974319730636,-0.00903096998530665,-0.00944593235661119
"delta",0.0043705329788084,-0.0283315244242328,-0.00515974319730636,0.0436462849210343,-0.0632407159825499,-0.0114150149824119
"lambda",-0.0113137717604175,0.00899523565964299,-0.00903096998530665,-0.0632407159825499,1.36907265866789,0.0199848086851088
"luce",-0.00574486024454702,0.00408692535639093,-0.00944593235661119,-0.0114150149824119,0.0199848086851088,0.078758210151356
"alpha",0.0665438719165016,-0.00195534657889436,-0.035413834389821,0.00314158642294083,-0.00831031760717707,-0.00136727352695127
"beta",-0.00195534657889436,0.0544130398998259,0.00869569237291869,-0.0139077475401163,0.00195268645861607,-0.00429419988399006
"gamma",-0.035413834389821,0.00869569237291869,0.0770395668761849,-0.00332344265610553,0.0175835971234011,-0.0080134206726194
"delta",0.00314158642294083,-0.0139077475401163,-0.00332344265610553,0.0197505280969109,-0.0489794171925299,-0.00611243753130048
"lambda",-0.00831031760717707,0.00195268645861607,0.0175835971234011,-0.0489794171925299,1.35373331377694,0.00610248006926194
"luce",-0.00136727352695127,-0.00429419988399006,-0.0080134206726194,-0.00611243753130048,0.00610248006926194,0.0821377038581434
"alpha",0.0554735159115521,-0.00153093713404842,-0.0361022948137962,0.00179288101730935,-0.0042496563584305,-0.000155379098947171
"beta",-0.00153093713404842,0.0782561505406286,0.0043629315236475,-0.0345977499434002,0.00328011456892899,0.00484328311491528
"gamma",-0.0361022948137962,0.0043629315236475,0.115555809038464,-0.00467622252371926,0.000515124952811003,-0.0110523477113362
"delta",0.00179288101730935,-0.0345977499434002,-0.00467622252371926,0.0565492288044897,-0.0466723401185574,-0.0130591469507743
"lambda",-0.0042496563584305,0.00328011456892899,0.000515124952811003,-0.0466723401185574,1.31576601868752,-0.000847334835655694
"luce",-0.000155379098947171,0.00484328311491528,-0.0110523477113362,-0.0130591469507743,-0.000847334835655694,0.0826910520394447
"alpha",0.0650859444980949,0.000991229022999321,-0.0364645452990047,0.00150735791970699,0.00195834614967655,-0.0011681254769098
"beta",0.000991229022999321,0.0685192687836074,0.00131792618700598,-0.0266619433800072,0.0142641118383084,0.00153379308362562
"gamma",-0.0364645452990047,0.00131792618700598,0.0703917772802551,-0.00312659769885125,-0.00156088136686287,-0.0057697343957359
"delta",0.00150735791970699,-0.0266619433800072,-0.00312659769885125,0.0487511641690459,-0.0697504434137268,-0.0137482498163765
"lambda",0.00195834614967655,0.0142641118383084,-0.00156088136686287,-0.0697504434137268,1.35659844419263,0.0137527709153563
"luce",-0.0011681254769098,0.00153379308362562,-0.0057697343957359,-0.0137482498163765,0.0137527709153563,0.0822163940477768
"alpha",0.00446411998091698,-0.000596754547975795,-7.37425443535719e-05,0.00236451949084787,-0.0019908205451516,-0.00261712262180684
"beta",-0.000596754547975795,0.0478907954783708,0.00366235778370868,-0.0141992761979164,-0.0288379745037345,0.00973455251683575
"gamma",-7.37425443535719e-05,0.00366235778370868,0.00896254638590862,-0.000319701056732154,-0.00504305981319026,-0.00186507232091148
"delta",0.00236451949084787,-0.0141992761979164,-0.000319701056732154,0.0226561925894084,-0.0400724547642033,-0.00551398943190437
"lambda",-0.0019908205451516,-0.0288379745037345,-0.00504305981319026,-0.0400724547642033,1.30925351145826,0.00248343992165432
"luce",-0.00261712262180684,0.00973455251683575,-0.00186507232091148,-0.00551398943190437,0.00248343992165432,0.0735787309430991
"alpha",0.0440559862740551,0.00065435273931193,-0.0241780273017325,0.00121749750573172,-0.00643450957325899,-0.00242864216517045
"beta",0.00065435273931193,0.0163373027853351,0.0092513617456669,-0.00283432711819788,-0.0589947571929741,-0.00878533319461837
"gamma",-0.0241780273017325,0.0092513617456669,0.100189186685446,-0.00191923357704516,-0.0106216127539979,-0.00271424141445555
"delta",0.00121749750573172,-0.00283432711819788,-0.00191923357704516,0.00379620500598929,-0.0137025046708638,-0.00311017606331914
"lambda",-0.00643450957325899,-0.0589947571929741,-0.0106216127539979,-0.0137025046708638,1.26185742630531,-0.0121238563381896
"luce",-0.00242864216517045,-0.00878533319461837,-0.00271424141445555,-0.00311017606331914,-0.0121238563381896,0.0832484658717688
"alpha",0.0126548685146884,0.00614443238822979,-0.00567906389241971,0.00756321542497301,0.0327071799849125,-0.00736734595080693
"beta",0.00614443238822979,0.0158090161100864,0.00274563954949468,0.00341399145159275,-0.0439185547652645,-0.00602184623169171
"gamma",-0.00567906389241971,0.00274563954949468,0.0112579519396978,-0.00208269868739025,-0.0165124271160537,-0.00313055912714277
"delta",0.00756321542497301,0.00341399145159275,-0.00208269868739025,0.0224177481538994,-0.0306463732137167,-0.00617744537427594
"lambda",0.0327071799849125,-0.0439185547652645,-0.0165124271160537,-0.0306463732137167,1.17941888918184,-0.0285038430926072
"luce",-0.00736734595080693,-0.00602184623169171,-0.00313055912714277,-0.00617744537427594,-0.0285038430926072,0.0689563408637283
"alpha",0.00887675523336901,0.00263466777147808,0.00141067227274334,0.0109949699589353,0.00959621084736078,-0.00997116393680683
"beta",0.00263466777147808,0.0366885675300778,-0.00189709331752945,-0.00960565017730168,-0.0355025124503793,-0.00456616809520063
"gamma",0.00141067227274334,-0.00189709331752945,0.0104431352713853,0.000814906790487991,-0.00168989728628476,9.35382343131175e-05
"delta",0.0109949699589353,-0.00960565017730168,0.000814906790487991,0.0664553957317857,-0.0148100381869186,-0.00222749543008015
"lambda",0.00959621084736078,-0.0355025124503793,-0.00168989728628476,-0.0148100381869186,1.30906778445358,0.00902142166981625
"luce",-0.00997116393680683,-0.00456616809520063,9.35382343131175e-05,-0.00222749543008015,0.00902142166981625,0.0793203520797682
