"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"lambdaTemp",3.33900210075763,1.06815097260112,1.25277895817722,2.49879994151045,3.46112165754976,4.26331081208518,4.93396638234076
"lambdaTemp",3.35336678912576,1.0420758433572,1.30723278109503,2.57577017411453,3.48638617489193,4.21526994439783,4.90485720860298
"lambdaTemp",3.44773444479774,1.02502764585739,1.34692476741869,2.67384039539021,3.59944571683119,4.30026503132125,4.9116300056525
"lambdaTemp",2.26055625166848,0.988402962626991,1.05393570794333,1.44640944623715,2.0081369925444,2.88933986423926,4.5666322300563
"lambdaTemp",3.73390969637781,0.917779049321255,1.60700607920407,3.15381917335533,3.91301628133427,4.48286891405942,4.94435162232725
"lambdaTemp",2.82351106514656,1.15521701417614,1.06800250004416,1.80937242263163,2.71676509062093,3.78918931664505,4.89399068797088
"lambdaTemp",2.80451921738126,1.17007378342902,1.07609030802835,1.78070445085523,2.69648427265749,3.79744637541463,4.90875271366204
"lambdaTemp",2.82221661607227,1.16350045714514,1.07876424470128,1.77252355955086,2.77230991881727,3.78483596683014,4.88820911718202
"lambdaTemp",2.77625548443514,1.14706844551122,1.05559865794679,1.76799137854334,2.66577180481977,3.72272607335202,4.86126739204272
"lambdaTemp",2.68867530718327,1.164731060886,1.0730960641019,1.65461413260991,2.51306709309083,3.63606726577201,4.86051577985847
"lambdaTemp",2.88564041529976,1.14422616272233,1.08882572952242,1.88808622104078,2.81555708010437,3.8485654852757,4.88431945339627
"lambdaTemp",3.12599059780311,1.12332427477791,1.16066325816413,2.18669181117691,3.16268724414867,4.10051445324264,4.91102567339959
"lambdaTemp",3.17739659532868,1.08601053824622,1.21499658156846,2.33058511434737,3.21503135188063,4.10627802776951,4.89827221265745
"lambdaTemp",2.98705262994361,1.14414500149832,1.11080492981412,2.00195419534875,2.98468543723101,3.97862418979259,4.87514555283083
"lambdaTemp",3.42006925421403,1.02865040371221,1.35142014856911,2.63443712138791,3.52268434893263,4.29542428286636,4.94320376681666
