"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0177226873747797,0.000534680391927299,0.00253334171371954,0.000695607791827905,0.0364064162103213,-0.00130799643565012
"beta",0.000534680391927299,0.00156308098192209,0.00425094729226807,0.00068583329207388,-0.0103516117311597,-8.38206937578049e-07
"gamma",0.00253334171371954,0.00425094729226807,0.043639011306535,0.000493650331773129,-4.97397334153052e-05,0.000501295775106959
"delta",0.000695607791827905,0.00068583329207388,0.000493650331773129,0.00182425907569086,-0.00291736706524814,-0.000695699814663232
"lambda",0.0364064162103213,-0.0103516117311597,-4.97397334153052e-05,-0.00291736706524814,0.774461374662222,-0.0857033509574009
"luce",-0.00130799643565012,-8.38206937578049e-07,0.000501295775106959,-0.000695699814663232,-0.0857033509574009,0.0595290548718351
"alpha",0.00509839537668878,0.000400971215408311,-0.000608652443104756,0.00107078637479855,0.0428821253570172,-0.0103995361912908
"beta",0.000400971215408311,0.00134870535480065,0.000915937104510731,0.000410910226049886,-0.0187116337647578,0.000607920559125357
"gamma",-0.000608652443104756,0.000915937104510731,0.0108797927644487,-0.00237510465046193,-0.00540336050440485,0.000304482460985256
"delta",0.00107078637479855,0.000410910226049886,-0.00237510465046193,0.00316136147424921,-6.9781891006472e-06,-0.00276121775531962
"lambda",0.0428821253570172,-0.0187116337647578,-0.00540336050440485,-6.9781891006472e-06,0.969880620947968,-0.160925304480305
"luce",-0.0103995361912908,0.000607920559125357,0.000304482460985256,-0.00276121775531962,-0.160925304480305,0.0600153502345991
"alpha",0.0619668585156946,-0.000985924077457561,-0.0259198260565252,-0.00299436850630371,0.0130790001817371,-0.00684193801056564
"beta",-0.000985924077457561,0.00130045698338397,0.0012690969307343,0.000836622259746389,-0.00746805218157325,-0.000825906052810167
"gamma",-0.0259198260565252,0.0012690969307343,0.0622250068630023,-0.0016477418127898,0.0148736658204328,-0.00575206905873962
"delta",-0.00299436850630371,0.000836622259746389,-0.0016477418127898,0.00221910587442539,-0.00237510360074068,-0.000230558841569391
"lambda",0.0130790001817371,-0.00746805218157325,0.0148736658204328,-0.00237510360074068,0.990920326260446,-0.172426021409903
"luce",-0.00684193801056564,-0.000825906052810167,-0.00575206905873962,-0.000230558841569391,-0.172426021409903,0.0761795726929294
"alpha",0.0482282144928104,-0.00014513253917037,-0.0293704324500184,0.00662570089304129,0.00670740227059246,0.00252496938278352
"beta",-0.00014513253917037,0.00670185664820899,0.00406964652136733,0.000192197533394921,-0.0218390903503813,-0.00386745813712238
"gamma",-0.0293704324500184,0.00406964652136733,0.107033721409432,-0.0205438573872308,-0.0283286963146577,-0.0219994926748031
"delta",0.00662570089304129,0.000192197533394921,-0.0205438573872308,0.0437718878934036,-0.0184646329815532,-0.00186873391879652
"lambda",0.00670740227059246,-0.0218390903503813,-0.0283286963146577,-0.0184646329815532,0.677565791896048,-0.0439544912314139
"luce",0.00252496938278352,-0.00386745813712238,-0.0219994926748031,-0.00186873391879652,-0.0439544912314139,0.0498702498182279
"alpha",0.0161158001838138,0.00228135896248714,-0.00382380055421441,0.000481894273139892,0.00590500801244136,-0.00477413493705887
"beta",0.00228135896248714,0.00263922296313746,0.00443514233461763,7.36309355617998e-05,-0.018754586333054,-0.00299748555357429
"gamma",-0.00382380055421441,0.00443514233461763,0.0529074141845369,-0.00126042629206591,-0.0392190848356296,-0.00975220309012084
"delta",0.000481894273139892,7.36309355617998e-05,-0.00126042629206591,0.00382011668724062,-0.000954469450202827,-0.000746280357925469
"lambda",0.00590500801244136,-0.018754586333054,-0.0392190848356296,-0.000954469450202827,0.601224118099007,-0.0640393650398504
"luce",-0.00477413493705887,-0.00299748555357429,-0.00975220309012084,-0.000746280357925469,-0.0640393650398504,0.0407646101871669
"alpha",0.00880805722489171,0.00048381988231874,0.000262183120384163,0.0119594884542836,-0.0304242754156087,-0.0184088349599131
"beta",0.00048381988231874,0.0306655960178133,0.00432824938872745,-0.00631088841511679,-0.0423948125487185,0.0040251689794955
"gamma",0.000262183120384163,0.00432824938872745,0.0183650138474933,-0.000786001805857524,-0.0107184434172063,-0.00771970204999853
"delta",0.0119594884542836,-0.00631088841511679,-0.000786001805857524,0.0315604010058144,-0.0819078009669433,-0.0252238224126002
"lambda",-0.0304242754156087,-0.0423948125487185,-0.0107184434172063,-0.0819078009669433,1.01053334330942,0.0453553353451751
"luce",-0.0184088349599131,0.0040251689794955,-0.00771970204999853,-0.0252238224126002,0.0453553353451751,0.0665760716800741
"alpha",0.0330559256816408,-0.0191703322783687,-0.0306745352383508,0.0368887850869996,0.0248002307036563,-0.0227510930388368
"beta",-0.0191703322783687,0.0732308441247397,0.0248855273915865,-0.0484459475524096,-6.69117068611214e-05,0.0148283877400735
"gamma",-0.0306745352383508,0.0248855273915865,0.0529796682915969,-0.0441313334506287,-0.0124693193360106,0.0132801179183832
"delta",0.0368887850869996,-0.0484459475524096,-0.0441313334506287,0.0946649654894345,-0.0398351830192337,-0.0339102082567686
"lambda",0.0248002307036563,-6.69117068611214e-05,-0.0124693193360106,-0.0398351830192337,1.27575177634435,-0.0443134950818314
"luce",-0.0227510930388368,0.0148283877400735,0.0132801179183832,-0.0339102082567686,-0.0443134950818314,0.0773666997778775
"alpha",0.0555426592227538,-0.00868979995464204,-0.0406304673204829,0.0044571590364671,0.00759571651063877,-0.000624269789725459
"beta",-0.00868979995464204,0.043623327949655,0.0182327935945047,-0.0120595785817405,-0.0383633239121682,-0.00216159477994682
"gamma",-0.0406304673204829,0.0182327935945047,0.0862757791596916,-0.00819340219854534,-0.00820480052377181,-0.00845605324267195
"delta",0.0044571590364671,-0.0120595785817405,-0.00819340219854534,0.0121017674030065,-0.0344542748390987,-0.00667138793711848
"lambda",0.00759571651063877,-0.0383633239121682,-0.00820480052377181,-0.0344542748390987,1.33704697998797,-0.00553051337367245
"luce",-0.000624269789725459,-0.00216159477994682,-0.00845605324267195,-0.00667138793711848,-0.00553051337367245,0.0776549810145395
"alpha",0.0780395523367552,-0.00485832934320127,-0.0401305219047459,0.00189502734041646,0.00249402393677786,0.00671779373538325
"beta",-0.00485832934320127,0.0740538874783953,0.00607628861565433,-0.0153057193274499,-0.0289158852279237,-0.00291194358926708
"gamma",-0.0401305219047459,0.00607628861565433,0.0772172079066644,-0.0017805159450394,-0.00119638495626749,-0.0168210543364138
"delta",0.00189502734041646,-0.0153057193274499,-0.0017805159450394,0.0118956753813261,-0.0130771187671973,-0.00369155398013753
"lambda",0.00249402393677786,-0.0289158852279237,-0.00119638495626749,-0.0130771187671973,1.31289764312494,-0.0165052547416886
"luce",0.00671779373538325,-0.00291194358926708,-0.0168210543364138,-0.00369155398013753,-0.0165052547416886,0.0847276387908619
"alpha",0.0750475399560686,-0.00411277164046788,-0.0326407838076026,0.00125879780302141,-0.00481899144786373,0.0036595231428863
"beta",-0.00411277164046788,0.0744910071223072,0.0030440289973583,-0.00799301901976293,-0.0271458906797074,-0.0047357427514867
"gamma",-0.0326407838076026,0.0030440289973583,0.0462716247909795,-0.000599340004484971,0.00239556713576014,-0.0124165841405288
"delta",0.00125879780302141,-0.00799301901976293,-0.000599340004484971,0.00467343507304789,-0.0103445151139651,-0.00197400152036674
"lambda",-0.00481899144786373,-0.0271458906797074,0.00239556713576014,-0.0103445151139651,1.37580347379748,-0.0106336092088172
"luce",0.0036595231428863,-0.0047357427514867,-0.0124165841405288,-0.00197400152036674,-0.0106336092088172,0.088982131840784
"alpha",0.00238888956283612,-0.00216421070863494,-0.000339219049020382,0.00395666261047492,2.45821577388048e-05,-0.00502398425182877
"beta",-0.00216421070863494,0.0517168627410729,0.00131443356852013,-0.0253433583860484,-0.00485977324048194,0.00395207884621619
"gamma",-0.000339219049020382,0.00131443356852013,0.00259742711456849,-0.00262247211479895,-0.00489319470747767,-0.00218311980542543
"delta",0.00395666261047492,-0.0253433583860484,-0.00262247211479895,0.0489510932080829,-0.0575633279289234,-0.00991468717344583
"lambda",2.45821577388048e-05,-0.00485977324048194,-0.00489319470747767,-0.0575633279289234,1.34339179519459,0.00105011245371161
"luce",-0.00502398425182877,0.00395207884621619,-0.00218311980542543,-0.00991468717344583,0.00105011245371161,0.0503931880520356
"alpha",0.0664243305539933,-0.0036838476867161,-0.0417902419039998,0.00116522086137346,0.0125424307721347,0.00212524183390163
"beta",-0.0036838476867161,0.00744628059573086,0.00856991733984607,-0.000755072464349774,-0.0541732826094385,-0.00745961021586857
"gamma",-0.0417902419039998,0.00856991733984607,0.0905928685179172,-0.00253675715058298,-0.00900815631117551,-0.0106442801158447
"delta",0.00116522086137346,-0.000755072464349774,-0.00253675715058298,0.00100864581201441,-0.00606192277758842,-0.00144362560341414
"lambda",0.0125424307721347,-0.0541732826094385,-0.00900815631117551,-0.00606192277758842,1.21093398680883,-0.0813853210318446
"luce",0.00212524183390163,-0.00745961021586857,-0.0106442801158447,-0.00144362560341414,-0.0813853210318446,0.0753174985343543
"alpha",0.00202893279651581,-0.000335788994001044,-0.00056767263809174,0.000571586992078197,0.0235667458171875,-0.00615809127068128
"beta",-0.000335788994001044,0.00340272408478833,0.0012927596542161,0.00220258910824469,-0.0346208035213301,0.000967415237203331
"gamma",-0.00056767263809174,0.0012927596542161,0.0018592293628879,8.13283111648874e-05,-0.0105333105924248,-0.000401796488210826
"delta",0.000571586992078197,0.00220258910824469,8.13283111648874e-05,0.00653430111634482,-0.0287178005740967,-0.000767957670049166
"lambda",0.0235667458171875,-0.0346208035213301,-0.0105333105924248,-0.0287178005740967,0.6803331371103,-0.0856710931378559
"luce",-0.00615809127068128,0.000967415237203331,-0.000401796488210826,-0.000767957670049166,-0.0856710931378559,0.0420478498182973
"alpha",0.00241179363864117,-0.00224760595801952,0.000442451122181629,0.00385652251158244,0.000952809657748845,-0.00897614727352512
