"","lambda","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"lambdaTemp",3.53187977024983,0.880034871276259,1.78177541833662,2.87516968264453,3.59120806681263,4.23115863368418,4.92640351501277
"lambdaTemp",3.33307913540538,0.984825172783458,1.46674346543947,2.57005674415802,3.36770004141007,4.15990693921437,4.91379077251543
"lambdaTemp",2.99525577922038,0.995449811020348,1.3207826153442,2.21254231744918,2.91969674475619,3.76027512875464,4.84728849477928
"lambdaTemp",1.90407504314748,0.823143846418138,1.02434721179952,1.25301274317764,1.67377170626612,2.31331715663982,4.05863072473806
"lambdaTemp",3.83072462870244,0.775386431464342,2.14625162415151,3.30783521860056,3.92590082115854,4.47463366634014,4.93764349800363
"lambdaTemp",1.9948762071608,1.00525287530522,1.01710668126262,1.21924862466443,1.59534886692013,2.49196945497451,4.61920896583361
"lambdaTemp",2.8352516836788,1.12949182216798,1.07968217436397,1.86455614236861,2.79900148709079,3.74009877415947,4.88884892979438
"lambdaTemp",2.8043515110734,1.15630747640408,1.08235178185549,1.79229793167585,2.6786096819659,3.80522416337606,4.89204640814684
"lambdaTemp",2.94632819766078,1.14581745628391,1.08857560025063,1.96201064804336,2.92238194155874,3.90985658444856,4.87036771164885
"lambdaTemp",2.92892300379913,1.17294649229941,1.07524098583603,1.88727005550039,2.90778461063265,3.9380597887805,4.9088546630172
"lambdaTemp",2.78293177509152,1.15904779676879,1.0808711542439,1.73737844188,2.64928305815338,3.76276616700978,4.84122003366364
"lambdaTemp",3.04916609363188,1.10042445756573,1.17018448004214,2.14925052643469,3.04237668867771,3.9798589440067,4.89871375678753
"lambdaTemp",2.19435321647402,0.824823094433164,1.09041817270254,1.55674603832685,2.03210942927037,2.65216878088036,4.26374653601794
"lambdaTemp",2.78261222702805,1.19093953595846,1.06320662177514,1.68861695316723,2.70860566071991,3.77733680786568,4.89801873046112
"lambdaTemp",2.99236554758209,0.965313931411767,1.36673237774738,2.20091118436425,2.95227701330439,3.73481061702153,4.82448310290915
"lambdaTemp",2.92209610831869,1.14518113855175,1.10224015407554,1.92198793427684,2.85634455747653,3.91800043414844,4.89782587796029
"lambdaTemp",3.65618412517212,0.820996026723566,1.93222660177371,3.06483670509321,3.72887885850894,4.31029407456267,4.90646221801994
"lambdaTemp",2.69386699626857,0.986437783917878,1.18172782586915,1.88198552416712,2.58088263710696,3.42366713309792,4.70663589843177
"lambdaTemp",2.83632731068989,1.01038100749383,1.16036589428207,2.03225093471603,2.75988330655818,3.60314763773194,4.74845335561523
"lambdaTemp",3.07135471906109,1.15987646216026,1.11544590088532,2.03885563108249,3.14799327769406,4.07493943559961,4.90941277416678
"lambdaTemp",2.18848307581726,0.544519651903176,1.33780254077939,1.80566323230314,2.11006037726543,2.48918352789026,3.54547253433948
"lambdaTemp",2.90858432161944,1.10888352049438,1.13143186565372,1.95581706683664,2.84773662140948,3.8041471111887,4.87065252985237
"lambdaTemp",2.71270662328848,1.01844265767501,1.11925234587298,1.88963330291376,2.60894989036354,3.4590297496778,4.75351047367071
"lambdaTemp",2.95484045720194,1.16026281181487,1.11034063363936,1.95464818857353,2.88590019622096,3.94940613003252,4.90830172261937
"lambdaTemp",3.4894167365664,0.901734464405048,1.75020520412462,2.80895888356512,3.52796796032213,4.23802308476789,4.90395136988205
"lambdaTemp",3.28050509086083,1.10699376569702,1.22441050301266,2.38443946217444,3.36337618631765,4.27044363632584,4.93647362111166
"lambdaTemp",3.7022575167714,0.912648191343165,1.76104863598974,3.07657850076569,3.83467861309959,4.48157707306365,4.94959168163136
"lambdaTemp",2.9009743106747,1.14649751678875,1.08143721699067,1.89320355970878,2.8878952809156,3.88229203956282,4.83884136186156
"lambdaTemp",3.08979784504296,1.14802077403741,1.12615610569017,2.1147797324065,3.08939643402138,4.09621089942259,4.92944425688825
"lambdaTemp",3.31926170072806,0.984083937897386,1.46214105239204,2.55411756320933,3.34540936611205,4.13792153538026,4.90344767413969
"lambdaTemp",2.8393315727813,1.00432440286517,1.17838054520142,2.03406968688461,2.75114329658559,3.61401488734202,4.75013519420495
"lambdaTemp",3.19188566742769,1.04136093520639,1.26128920203623,2.35471590379695,3.20636016526499,4.07281628393561,4.91277251082056
"lambdaTemp",3.92859510326374,0.788530103767087,2.10213721311974,3.42550306898869,4.08438802910903,4.57212917074571,4.94982884854434
"lambdaTemp",3.67130809198022,0.956807428513245,1.51544229846548,3.02431706474803,3.84433680783139,4.47302038374731,4.94458682625044
"lambdaTemp",1.47804036570588,0.389524828221077,1.02046281964406,1.17497876469088,1.38771523596904,1.68563204713766,2.45132163369051
"lambdaTemp",2.98895121706436,1.0827149169366,1.14366743668342,2.10506441470168,2.97073567899245,3.87631063602962,4.84830711156257
"lambdaTemp",2.84948765453333,1.16689179049764,1.05562812845829,1.81774968867405,2.80689798523915,3.84793702639562,4.84969353086894
"lambdaTemp",3.73976191839271,0.834304320533089,1.96445013068176,3.16497039534745,3.83883720818881,4.43270425739981,4.93123572354036
"lambdaTemp",2.78307517852601,1.13959341217268,1.07346727901395,1.79573834375656,2.68920083118278,3.70835090953535,4.87572390368637
"lambdaTemp",3.35753195738171,0.896118316257134,1.66481459568115,2.68617415171274,3.37401360087852,4.08431240964767,4.86935213721771
"lambdaTemp",2.02487953506554,0.776060628049125,1.05354464446005,1.4171615104125,1.85154808730498,2.45297296926016,3.98181664034705
"lambdaTemp",2.81756861714247,1.10012815422697,1.09561079609837,1.86875154869975,2.76852419472452,3.72981363625504,4.85415681685217
"lambdaTemp",1.70575724166725,0.676699643909682,1.01664078172674,1.19770736590424,1.49818612041086,1.99774500945454,3.57271121756625
"lambdaTemp",3.30312230625154,0.941111286335266,1.56795520899948,2.56870875976863,3.29567178211979,4.05493847277495,4.91399996544021
"lambdaTemp",3.2262403229798,1.08555961366338,1.23720148690442,2.36899082119321,3.27425788707048,4.15230027322398,4.90941879722236
"lambdaTemp",4.33079588102588,0.542115240066811,2.96348395352212,4.02212877694994,4.46495582187216,4.76575939388589,4.97906837714112
"lambdaTemp",3.08215579852852,0.907713208031718,1.50196587774063,2.36307169534145,2.99839139298149,3.77877564590735,4.79733111970878
"lambdaTemp",3.34167631241003,0.999309421167849,1.40878014897729,2.59170402175426,3.40397604571421,4.14976319631524,4.91188268884459
"lambdaTemp",3.00429792056315,0.9969876643797,1.3335472001067,2.18163458517119,2.9601395522446,3.76702990515622,4.88170390060223
"lambdaTemp",3.53843390473966,0.895698683130533,1.71848754525092,2.86226783490863,3.6016616865447,4.28119301335479,4.91700360247303
"lambdaTemp",3.02642298569352,1.12363884069296,1.1340439402454,2.05728331455511,3.00331552007574,3.97457506404248,4.89730918925546
"lambdaTemp",3.10945961608153,1.12569679223334,1.14368315864525,2.18732112031703,3.15389709133754,4.07074424328055,4.93051147502589
