"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.0021628489301612,-0.000244809412052881,-0.0142548936973934
"delta",-0.000244809412052881,0.00073804433935534,0.00166945028000016
"lambdaluce",-0.0142548936973934,0.00166945028000016,0.444772285641242
"beta",0.00658707457382011,-0.00118054336922597,-0.0929066769616134
"delta",-0.00118054336922597,0.00415602359897062,0.0122889530223653
"lambdaluce",-0.0929066769616134,0.0122889530223653,1.60718761178204
"beta",0.000888950931915207,-8.44016736285634e-05,-0.00147700865247448
"delta",-8.44016736285634e-05,0.00070221917903588,-0.00192631597217836
"lambdaluce",-0.00147700865247448,-0.00192631597217836,0.479248404260507
"beta",0.0711161804302133,-0.0285279581780952,0.0496651554616866
"delta",-0.0285279581780952,0.0400683218877212,-0.0947892613692191
"lambdaluce",0.0496651554616866,-0.0947892613692191,1.88885630329653
"beta",0.00718655137357177,-0.000796521110513677,-0.0965497760318217
"delta",-0.000796521110513677,0.00253594723606162,0.00938213669722367
"lambdaluce",-0.0965497760318217,0.00938213669722367,1.59857566959377
"beta",0.0602764483737185,-0.0245116483019818,0.0282884909462313
"delta",-0.0245116483019818,0.0211144170468559,-0.0740535310095452
"lambdaluce",0.0282884909462313,-0.0740535310095452,1.54926560751769
"beta",0.0820298351653461,-0.049742124367652,0.107226531725438
"delta",-0.049742124367652,0.0938633286625611,-0.150185666347581
"lambdaluce",0.107226531725438,-0.150185666347581,1.77020590595535
"beta",0.0578452478060337,-0.022437044749115,0.0261698375291376
"delta",-0.022437044749115,0.0316990073061352,-0.088977333726637
"lambdaluce",0.0261698375291376,-0.088977333726637,2.1702193066299
"beta",0.0215609153317707,-0.0127577605556462,-0.0332151649570298
"delta",-0.0127577605556462,0.0761706137304123,-0.0941371227788354
"lambdaluce",-0.0332151649570298,-0.0941371227788354,0.906410615055993
"beta",0.0820356633391119,-0.015158862831302,0.0229519719938486
"delta",-0.015158862831302,0.0160068692157805,-0.0484696469914441
"lambdaluce",0.0229519719938486,-0.0484696469914441,2.00050551895993
"beta",0.0168942420705582,-0.00700223856931527,-0.0885212037599302
"delta",-0.00700223856931527,0.00966662421728661,-0.00756622854089688
"lambdaluce",-0.0885212037599302,-0.00756622854089688,1.86582782510671
"beta",0.0151398888123263,-0.00598931299996946,-0.0822164538934788
"delta",-0.00598931299996946,0.00431801319040121,-0.000773819062050744
"lambdaluce",-0.0822164538934788,-0.000773819062050744,1.63250991145893
"beta",0.00748482862095901,-0.00247399943992285,-0.0637634712251669
"delta",-0.00247399943992285,0.00255745902108112,0.0173828027616851
"lambdaluce",-0.0637634712251669,0.0173828027616851,0.701167732079943
"beta",0.0164787401055044,-0.00638544349262167,-0.0948946322789419
"delta",-0.00638544349262167,0.0140948156013704,-0.0111201053888537
"lambdaluce",-0.0948946322789419,-0.0111201053888537,1.64182584499771
"beta",0.00617717834461301,-0.00146591766042339,-0.0729569908047274
"delta",-0.00146591766042339,0.00299770105121507,0.0114843388862643
"lambdaluce",-0.0729569908047274,0.0114843388862643,1.42068486346824
"beta",0.0713882983014967,-0.0338347630413232,0.0644616106935682
"delta",-0.0338347630413232,0.0650940756248633,-0.127186148217398
"lambdaluce",0.0644616106935682,-0.127186148217398,1.7396492430898
"beta",0.00590640292017876,-0.00124929075459542,-0.0800606133647881
"delta",-0.00124929075459542,0.00373943598515267,0.0135912043670467
"lambdaluce",-0.0800606133647881,0.0135912043670467,1.57390861447389
"beta",0.00144271009468738,-0.000195589583159167,-0.00511200384952963
"delta",-0.000195589583159167,0.00104364233655052,-0.00105026065756791
"lambdaluce",-0.00511200384952963,-0.00105026065756791,0.285365186076452
"beta",0.00792026715529383,-0.00250681597752814,-0.0713568342797824
"delta",-0.00250681597752814,0.00467553693151686,0.0183959867434082
"lambdaluce",-0.0713568342797824,0.0183959867434082,0.837322032802976
"beta",0.0405373891306442,-0.013812022660371,-0.0740220454660516
"delta",-0.013812022660371,0.0105985650066088,-0.0328774299833389
"lambdaluce",-0.0740220454660516,-0.0328774299833389,1.87796188876481
"beta",0.00215067096753782,-0.00036782058159759,-0.0104700734875244
"delta",-0.00036782058159759,0.000293071138359961,-0.000822842849084092
"lambdaluce",-0.0104700734875244,-0.000822842849084092,0.511579765421708
"beta",0.0061698714976103,-0.00254992673961441,-0.0896188864198184
"delta",-0.00254992673961441,0.00487879194855016,0.0338746475529494
"lambdaluce",-0.0896188864198184,0.0338746475529494,1.80308040927004
"beta",0.00533302737726924,-0.00187181824596776,-0.0311580974427852
"delta",-0.00187181824596776,0.00130254733367991,0.00833971349006068
"lambdaluce",-0.0311580974427852,0.00833971349006068,0.320567288159995
"beta",0.0659056571364006,-0.0208297863657973,0.0179251825055641
"delta",-0.0208297863657973,0.0251332309503394,-0.0761816975666683
"lambdaluce",0.0179251825055641,-0.0761816975666683,1.91997599294765
"beta",0.00386160570909602,-0.00154282148511776,-0.0170707255208377
"delta",-0.00154282148511776,0.00133354709310915,-0.00179170622018178
"lambdaluce",-0.0170707255208377,-0.00179170622018178,0.424371749450933
"beta",0.0493046644865919,-0.0337895308428624,0.0272209566913814
"delta",-0.0337895308428624,0.0820037821600206,-0.0938721118532543
"lambdaluce",0.0272209566913814,-0.0938721118532543,1.14025706572074
"beta",0.00169973897727656,-0.000534259426182802,-0.0219014447359848
"delta",-0.000534259426182802,0.000304339647519299,0.0038195280477969
"lambdaluce",-0.0219014447359848,0.0038195280477969,1.35456471357646
"beta",0.0640656578660244,-0.0164987699547845,-0.0361838222433676
"delta",-0.0164987699547845,0.00760592593516839,-0.0265625788669233
"lambdaluce",-0.0361838222433676,-0.0265625788669233,1.82498185732985
"beta",0.0312392864321562,-0.0140534006799858,-0.0935088561350061
"delta",-0.0140534006799858,0.014844355411945,-0.0035713065466853
"lambdaluce",-0.0935088561350061,-0.0035713065466853,1.88506964303107
"beta",0.00289265291732702,-0.00121873777806065,-0.0194749951590236
"delta",-0.00121873777806065,0.00100730649492156,-0.000753310693599547
"lambdaluce",-0.0194749951590236,-0.000753310693599547,1.1175299860679
"beta",0.00484489596945766,-0.00124235376052273,-0.0775166991420087
"delta",-0.00124235376052273,0.0124366832990201,0.0259778215370914
"lambdaluce",-0.0775166991420087,0.0259778215370914,2.04840176639952
"beta",0.00438664457236283,-0.00153009335968401,-0.0212188332655695
"delta",-0.00153009335968401,0.00121692169944098,0.0030627750654116
"lambdaluce",-0.0212188332655695,0.0030627750654116,0.263453376829863
"beta",0.00376171598170484,-0.00114091110385854,-0.037220759343973
"delta",-0.00114091110385854,0.00223670131912363,0.0123921845466373
"lambdaluce",-0.037220759343973,0.0123921845466373,1.51362030729009
"beta",0.0177656184234994,-0.00650776959486484,-0.0572568536872767
"delta",-0.00650776959486484,0.00422798362489245,-0.0161814150036355
"lambdaluce",-0.0572568536872767,-0.0161814150036355,1.63842440325408
"beta",0.0055692946599796,-0.00125000052967732,-0.05032530340747
"delta",-0.00125000052967732,0.00257655816989611,0.00989710502856989
"lambdaluce",-0.05032530340747,0.00989710502856989,0.810070990310224
"beta",0.077272774390352,-0.023796504941658,0.0697539233464833
"delta",-0.023796504941658,0.0407768453040434,-0.115252233441654
"lambdaluce",0.0697539233464833,-0.115252233441654,2.21258598338942
"beta",0.0467062262480116,-0.0338215180096111,0.0606107087405715
"delta",-0.0338215180096111,0.107457588256462,-0.189818870990784
"lambdaluce",0.0606107087405715,-0.189818870990784,1.53382711170736
