"","alpha","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"alphaTemp",0.652467797980555,0.084723792053629,0.485245516068457,0.595284675512437,0.653905721709663,0.710012277222054,0.815090457458009
"alphaTemp",0.671976132877616,0.0875328393565833,0.497798111802646,0.612057408834643,0.673485771848134,0.730929087159853,0.836472925556808
"alphaTemp",0.524431465203808,0.207626420716897,0.117963610467215,0.392388300421487,0.509827226271616,0.657009876206118,0.937280840029189
"alphaTemp",0.297160185518282,0.248302283339264,0.0103395672616127,0.103010584820894,0.222163111139272,0.43037230018989,0.894983123997078
"alphaTemp",0.556374555254633,0.0983382936580492,0.35635268462762,0.502255541086679,0.561567126361223,0.618977815695369,0.732836722094004
"alphaTemp",0.585433425843387,0.149341593729548,0.188737133202069,0.509656660605923,0.601956507048987,0.683453669604673,0.825814417750943
"alphaTemp",0.303696597583637,0.179215894870646,0.0237783306082222,0.178430040587373,0.287925465831077,0.401099666733941,0.760668797943785
"alphaTemp",0.508382215251155,0.206224854666795,0.0780869321447294,0.377943279331988,0.503220694672095,0.63935312543908,0.963274542677848
"alphaTemp",0.367248374588829,0.202433750185581,0.0391644088739068,0.222548212705413,0.349010578661089,0.481182600264101,0.899579218075874
"alphaTemp",0.312234118574829,0.241968520748475,0.00964594826474694,0.125366968149475,0.258569499851504,0.434604303447179,0.90713333871273
"alphaTemp",0.914873751255199,0.06376548217768,0.760364189436313,0.88123499987098,0.927366869689784,0.965060922807002,0.995706191543031
"alphaTemp",0.293985058545837,0.221467287586032,0.0133750707757182,0.122494679201285,0.247360504418774,0.40438148244544,0.867329380325496
"alphaTemp",0.80005721518173,0.0902587556904795,0.603758130997276,0.744037600832546,0.807557396943559,0.863017140079795,0.963987560033913
"alphaTemp",0.753385792531074,0.0735816868425486,0.59497050066031,0.706229217904438,0.7602888534966,0.804652296987292,0.881573188137704
"alphaTemp",0.27807090120686,0.241358696106943,0.0063780637068352,0.087929109438094,0.202470912806583,0.411195727770747,0.869766663201187
"alphaTemp",0.349400474948922,0.193051396031185,0.0243033680199318,0.214460463876932,0.341742174817958,0.447077185389813,0.87820652846308
"alphaTemp",0.707622402415958,0.108418134395584,0.50159953434727,0.633095171270824,0.70931266457098,0.782238547972557,0.925824618733181
"alphaTemp",0.423396836309155,0.154071088728578,0.0641242698559445,0.330831197653918,0.431383504182693,0.525974760368322,0.718755912118377
"alphaTemp",0.508002001203112,0.234097388636433,0.0589394375931893,0.340318036844026,0.500891027631469,0.670725804284977,0.963508567147002
"alphaTemp",0.266634481372506,0.21907462525464,0.0121039633540841,0.104634799891004,0.206967829811841,0.356116318198601,0.844602575944313
"alphaTemp",0.748886160822302,0.0924117614016817,0.564587380984806,0.68820308993977,0.754656352958386,0.811613628258574,0.920814433929011
"alphaTemp",0.832348050770014,0.0682993325149243,0.68129636786159,0.79254126364115,0.83878612275806,0.879438940965818,0.95011579011086
"alphaTemp",0.511779724865137,0.113913653845279,0.25342331621144,0.45065815068963,0.521743950081804,0.589373709534756,0.700526932336744
"alphaTemp",0.445964175731813,0.189132865994325,0.0509679728377451,0.336964935720029,0.45209476564671,0.556193726532921,0.868612709421491
"alphaTemp",0.860942815637041,0.0968204145357612,0.634798009822815,0.801106058882223,0.874775662410135,0.937461642063464,0.992931673043048
"alphaTemp",0.296896170760288,0.222935446260511,0.0158713343376957,0.132938562697518,0.245774423146974,0.397242306719428,0.86628248961965
"alphaTemp",0.370608114861704,0.229087621382848,0.023491959602282,0.19995556716294,0.337808369699211,0.494715432803935,0.915169219478713
"alphaTemp",0.412912735503588,0.26258332925007,0.0266880813907223,0.197728604455941,0.369163010340703,0.614952271612822,0.959686781393515
"alphaTemp",0.336952430699823,0.236067212633563,0.0124823987393312,0.154357575400623,0.28969610684848,0.474884147053105,0.888003459616273
"alphaTemp",0.334559882493993,0.198329804045647,0.0259811912247379,0.189819277206181,0.316511611564962,0.440241013086402,0.844551991494464
"alphaTemp",0.313598078587187,0.233179243696349,0.0152205378667187,0.130581813151095,0.264808950677725,0.438019652830724,0.879760397299123
"alphaTemp",0.595008019532314,0.177375025007784,0.241680605751023,0.480341736764964,0.586722606175534,0.715622634673827,0.946140227915331
"alphaTemp",0.313556009884876,0.246121014918457,0.0147823906949564,0.129616068600771,0.256610046185616,0.415687960629212,0.957306530643136
"alphaTemp",0.27860090777185,0.242586709340437,0.00773435592599928,0.0884049563502896,0.202027579922638,0.399659574890291,0.88997126340619
"alphaTemp",0.297067446086311,0.186836174021192,0.0212453485621964,0.163860623278189,0.271231876308035,0.394186426615047,0.778434480119932
"alphaTemp",0.508749304616695,0.183114473145742,0.123466945674218,0.398321594670711,0.506573933703651,0.627257119016749,0.879072695605617
"alphaTemp",0.37762352099008,0.167571565897357,0.0520162191703177,0.273402845831197,0.378616950914111,0.474496276037011,0.766735855710213
"alphaTemp",0.876207153711751,0.0857379866353582,0.678221110376454,0.822937367768244,0.891569772623686,0.943216809334614,0.993923936040151
"alphaTemp",0.768423203671062,0.0957994525784269,0.579503938064701,0.703494288028344,0.769824040877328,0.835033830722991,0.947814727915057
"alphaTemp",0.301093236992728,0.237952700222695,0.0121324652651667,0.114149419519558,0.237014610801213,0.429341405684789,0.866190379471672
"alphaTemp",0.264909451962284,0.238939695288322,0.00687887708025816,0.0857844563141562,0.187176852297816,0.3727874292068,0.901711819382771
"alphaTemp",0.58112254786913,0.195247526740783,0.21288710220416,0.446904428341568,0.561843483472892,0.712605574073223,0.972020521277081
"alphaTemp",0.432096405982563,0.156191149214583,0.0923596318585097,0.341201919147768,0.444855668058289,0.528165982456452,0.754492803454058
"alphaTemp",0.584599096099413,0.10030520411037,0.38559581573009,0.531734881699752,0.589589873731688,0.647367922484302,0.754364615125098
"alphaTemp",0.498794768975603,0.176395627482905,0.151851305933039,0.396313703077417,0.48586572665317,0.592748264766131,0.883308435704704
"alphaTemp",0.329024996368402,0.221895917888308,0.0185036363665113,0.162412391249218,0.295933573921846,0.442422875596556,0.905670828528717
"alphaTemp",0.918751695469952,0.0629682752395957,0.75650059051038,0.88671156810317,0.93105377709491,0.966558632082257,0.995966027877313
"alphaTemp",0.319920822719911,0.213028591288027,0.0128416721207778,0.168885020556812,0.292189131247478,0.411019252689955,0.896442982238075
"alphaTemp",0.682647709697721,0.155207531833485,0.390069975703222,0.569202927785407,0.680459595569147,0.797246954614099,0.971805445732845
"alphaTemp",0.357999423677933,0.202145360792215,0.0307596154416707,0.21417102458087,0.341649281813026,0.4642765343,0.849385191768782
"alphaTemp",0.281366204152826,0.196388330131414,0.0192547284598383,0.137122611377854,0.246901207619502,0.367201940458117,0.8135614232974
"alphaTemp",0.294742123433057,0.237701670461248,0.0105330211453404,0.106734976231058,0.232823355154201,0.415767490899965,0.879984406054662
"alphaTemp",0.78373969015295,0.103278517317635,0.563398794750288,0.716998720703981,0.791207055788929,0.860527608811346,0.963672878956389
"alphaTemp",0.772042305341505,0.0903454724430538,0.595627191002166,0.711125186284202,0.771096737292815,0.832565422165565,0.948312527305006
"alphaTemp",0.855105804877871,0.0962850189080356,0.637766304369979,0.796660592062514,0.870313688866122,0.931199445654878,0.991973857067494
"alphaTemp",0.296153658885931,0.255817307211972,0.010397117574265,0.106402460518071,0.209230440337762,0.423211051504972,0.929598598590685
"alphaTemp",0.4246277253555,0.272510488873673,0.0170551752817634,0.203346224680052,0.389223428137935,0.617631452747946,0.960043973201683
"alphaTemp",0.335194634481408,0.236984015271775,0.0176464500630858,0.167791462209006,0.290470842705447,0.43060259578308,0.927636685732031
"alphaTemp",0.283204500543521,0.232725146512109,0.0100601259259528,0.100646376105258,0.217274826673904,0.403561956621003,0.862917808971239
"alphaTemp",0.329145927589953,0.179695405906514,0.0223535844786241,0.205284352380434,0.327800268464652,0.439199040747598,0.756511638309952
"alphaTemp",0.32543914955068,0.242104304565342,0.0116110961351832,0.127461890105463,0.274721932224848,0.472377442714335,0.907320477690614
