"","alpha","gamma","luce"
"",0,0,0
"alpha",0.00717812093994657,-0.00131130520958132,-0.0116361616401162
"gamma",-0.00131130520958132,0.0275793951569374,0.00389260135550601
"luce",-0.0116361616401162,0.00389260135550601,0.0783301445441992
"alpha",0.00766199796582543,-0.00298594322472159,-0.0117607582071937
"gamma",-0.00298594322472159,0.0210424039829122,0.00389288472501071
"luce",-0.0117607582071937,0.00389288472501071,0.0768112410805464
"alpha",0.0431087305797099,-0.0238982664529407,-0.010942971444132
"gamma",-0.0238982664529407,0.0465056419127658,-0.0022253589526329
"luce",-0.010942971444132,-0.0022253589526329,0.0815309815366959
"alpha",0.0616540239114924,-0.035840281092577,-0.00225698934838286
"gamma",-0.035840281092577,0.0835929303509553,-0.00719828784148098
"luce",-0.00225698934838286,-0.00719828784148098,0.0870247200754122
"alpha",0.00967041999957673,0.000844239727677191,-0.0116259902716954
"gamma",0.000844239727677191,0.0403209163717132,-0.000728481758762616
"luce",-0.0116259902716954,-0.000728481758762616,0.0775752964600735
"alpha",0.0223029116176814,0.00787159275320122,-0.0215154604625917
"gamma",0.00787159275320122,0.0342482999976339,-0.00651274878428313
"luce",-0.0215154604625917,-0.00651274878428313,0.0722854344737585
"alpha",0.0321183369742864,-0.0145361643575727,-0.00570674915064812
"gamma",-0.0145361643575727,0.0725114054014133,-0.00213535420808921
"luce",-0.00570674915064812,-0.00213535420808921,0.0804877289814392
"alpha",0.0425286906823407,-0.0199604136969267,-0.00912894767657983
"gamma",-0.0199604136969267,0.0277916264811598,-0.00142756888484233
"luce",-0.00912894767657983,-0.00142756888484233,0.077376254129942
"alpha",0.0409794232141983,-0.0195265386443738,-0.0118331691504803
"gamma",-0.0195265386443738,0.0456728658243615,-0.000629247837338839
"luce",-0.0118331691504803,-0.000629247837338839,0.0841631718887239
"alpha",0.0585487650332053,-0.0316132346766702,-0.00720607479716338
"gamma",-0.0316132346766702,0.0727640997933394,-0.00567877653073605
"luce",-0.00720607479716338,-0.00567877653073605,0.0856250843625302
"alpha",0.00406603671735203,-0.000916416545161603,-0.00341324526070537
"gamma",-0.000916416545161603,0.0101428689707833,0.00110421576373388
"luce",-0.00341324526070537,0.00110421576373388,0.0693380542405022
"alpha",0.049047759470714,-0.0281173061941779,-0.00395600218406369
"gamma",-0.0281173061941779,0.068421384232122,-0.00241022653156843
"luce",-0.00395600218406369,-0.00241022653156843,0.0817046736976127
"alpha",0.00814664297879366,-0.00382567148075013,-0.00936043234135659
"gamma",-0.00382567148075013,0.0146087046088644,0.00148814550443004
"luce",-0.00936043234135659,0.00148814550443004,0.0712286903857486
"alpha",0.00541426463859489,0.000629349752163087,-0.00619517000511915
"gamma",0.000629349752163087,0.0134978787133177,0.00103713046090966
"luce",-0.00619517000511915,0.00103713046090966,0.0621626292537994
"alpha",0.0582540201864437,-0.0393492557311233,0.00280033795086783
"gamma",-0.0393492557311233,0.0928410454809549,-0.00674414189498111
"luce",0.00280033795086783,-0.00674414189498111,0.0799383317365445
"alpha",0.0372688415095893,-0.0140592610767357,-0.00951602369299529
"gamma",-0.0140592610767357,0.0836354390014784,0.00166049706482514
"luce",-0.00951602369299529,0.00166049706482514,0.0824910725060748
"alpha",0.011754491865819,-0.00757413544709867,-0.0146581688005923
"gamma",-0.00757413544709867,0.0320300608150283,-0.00162514202149215
"luce",-0.0146581688005923,-0.00162514202149215,0.0791204023897813
"alpha",0.0237379003820093,-0.00638795642432609,-0.0138593259681184
"gamma",-0.00638795642432609,0.0648781127146958,-0.000421383335733255
"luce",-0.0138593259681184,-0.000421383335733255,0.0888556197906198
"alpha",0.0548015873663972,-0.0256419346637019,-0.00769619440034674
"gamma",-0.0256419346637019,0.0336417159631705,-0.00365569518409958
"luce",-0.00769619440034674,-0.00365569518409958,0.0808902255784876
"alpha",0.0479936914304611,-0.0338338607352245,-0.00199425342800051
"gamma",-0.0338338607352245,0.10046897541345,-0.0050822270371768
"luce",-0.00199425342800051,-0.0050822270371768,0.0811609371582022
"alpha",0.00853993364536135,0.00134780251920228,-0.0111950137587949
"gamma",0.00134780251920228,0.00835510530135011,0.00193125567980086
"luce",-0.0111950137587949,0.00193125567980086,0.0770466982558853
"alpha",0.0046647988219842,0.000759062658300291,-0.00401558965348913
"gamma",0.000759062658300291,0.00840463233473762,0.00310277029990133
"luce",-0.00401558965348913,0.00310277029990133,0.0620094823384272
"alpha",0.012976320532382,0.000246205218092623,-0.0130719687176814
"gamma",0.000246205218092623,0.0333830872009774,0.00171004060163991
"luce",-0.0130719687176814,0.00171004060163991,0.077480037119529
"alpha",0.0357712409992274,-0.0138537159505222,-0.015322037153616
"gamma",-0.0138537159505222,0.0597978298212152,-0.00328155751762736
"luce",-0.015322037153616,-0.00328155751762736,0.0819128235166408
"alpha",0.00937419267087663,-0.00302094838302752,-0.00470303562872434
"gamma",-0.00302094838302752,0.00322833572778584,-0.0018093228812587
"luce",-0.00470303562872434,-0.0018093228812587,0.0610755349060804
"alpha",0.049700213199373,-0.0307905722948888,-0.00373680724445863
"gamma",-0.0307905722948888,0.0713950358494724,-0.0017710421249433
"luce",-0.00373680724445863,-0.0017710421249433,0.0817766575300381
"alpha",0.0524811382708509,-0.0265300361715638,-0.00391084911405418
"gamma",-0.0265300361715638,0.101262780626241,-0.00914529749147574
"luce",-0.00391084911405418,-0.00914529749147574,0.0820434727988124
"alpha",0.0689500048000507,-0.0313478877611772,-0.00895167449948406
"gamma",-0.0313478877611772,0.0497680897096318,-0.00350606726192304
"luce",-0.00895167449948406,-0.00350606726192304,0.0884619656620564
"alpha",0.0557277288805801,-0.0290253217409829,-0.00371341082338035
"gamma",-0.0290253217409829,0.0741593746092175,-0.00684390056381966
"luce",-0.00371341082338035,-0.00684390056381966,0.0815151402694706
"alpha",0.0393347111727847,-0.0162073054643228,-0.00483792052762465
"gamma",-0.0162073054643228,0.0911421657709984,-0.00517805284391926
"luce",-0.00483792052762465,-0.00517805284391926,0.0819158689304817
"alpha",0.0543725596908013,-0.0304128576246948,-0.00682278420690721
"gamma",-0.0304128576246948,0.0668699200205168,-0.00314628622272456
"luce",-0.00682278420690721,-0.00314628622272456,0.0834155326920159
"alpha",0.0314618994965121,-0.0151456716038175,-0.0110788224075292
"gamma",-0.0151456716038175,0.0173908774289466,-0.000782528032016305
"luce",-0.0110788224075292,-0.000782528032016305,0.0751597536082839
"alpha",0.0605755539844914,-0.0322344011571256,-0.00394958844646668
"gamma",-0.0322344011571256,0.0804502168443725,-0.00380998367937554
"luce",-0.00394958844646668,-0.00380998367937554,0.0844164563072165
"alpha",0.0588483115486218,-0.041274445510606,0.00194335655986351
"gamma",-0.041274445510606,0.101879640844204,-0.00760072967221356
"luce",0.00194335655986351,-0.00760072967221356,0.0850405396154703
"alpha",0.0349077559228772,-0.0179027501655584,-0.00629966556502083
"gamma",-0.0179027501655584,0.0874583133992531,-0.00334968243792301
"luce",-0.00629966556502083,-0.00334968243792301,0.0867057754596212
"alpha",0.0335309102754426,-0.0175489923072377,-0.0127369772399932
"gamma",-0.0175489923072377,0.0323215019739117,-0.00139141754907821
"luce",-0.0127369772399932,-0.00139141754907821,0.0805692965802712
"alpha",0.0280802296972921,-0.0113267702390623,-0.0108190372511071
"gamma",-0.0113267702390623,0.0541006386058906,0.00237719025543375
"luce",-0.0108190372511071,0.00237719025543375,0.0819538117323584
