"","alpha","beta","gamma","delta","lambda","luce"
"",0,0,0,0,0,0
"alpha",0.0548124923627949,0.00190384519678283,0.00388954141320735,0.000214428046620353,0.0300952363270225,-0.0187762805152883
"beta",0.00190384519678283,0.00890385213517983,0.000268965325668535,-0.000681153443874249,-0.0105521373717951,-0.00181069321216661
"gamma",0.00388954141320735,0.000268965325668535,0.0283808728913581,0.000295996756515807,-0.00117166882724869,0.00174506264632013
"delta",0.000214428046620353,-0.000681153443874249,0.000295996756515807,0.00668517520710344,0.00430488566742897,0.00136563227800753
"lambda",0.0300952363270225,-0.0105521373717951,-0.00117166882724869,0.00430488566742897,0.774900051774848,-0.10275430512717
"luce",-0.0187762805152883,-0.00181069321216661,0.00174506264632013,0.00136563227800753,-0.10275430512717,0.0605065819077147
"alpha",0.0659573829639991,0.00436680013866734,-0.0015244496655078,-0.00065096925365539,0.0520520589312977,-0.0251514682167631
"beta",0.00436680013866734,0.0434859636059042,-0.000326153925569218,-0.00630502770772947,-0.0911133986472787,-0.00960706927997403
"gamma",-0.0015244496655078,-0.000326153925569218,0.0270995436520289,8.47357047440817e-05,0.00116149100980905,0.000778469527075979
"delta",-0.00065096925365539,-0.00630502770772947,8.47357047440817e-05,0.0174058551006173,0.011128761642095,0.00182971199458862
"lambda",0.0520520589312977,-0.0911133986472787,0.00116149100980905,0.011128761642095,1.01612088954892,-0.135322601134112
"luce",-0.0251514682167631,-0.00960706927997403,0.000778469527075979,0.00182971199458862,-0.135322601134112,0.0638280335989242
"alpha",0.0646937667650465,0.00405153324973297,0.00108566957836196,0.000195348038288443,0.0377915086203176,-0.0213569887129912
"beta",0.00405153324973297,0.0229982412783361,-0.000332146956784352,-0.00286860763110739,-0.0516456572542941,-0.00722249813922594
"gamma",0.00108566957836196,-0.000332146956784352,0.044566104386598,-0.000623872926196551,-0.00655302456418254,0.00379245056296161
"delta",0.000195348038288443,-0.00286860763110739,-0.000623872926196551,0.0100117307374671,0.00741469608596068,0.00311216638840714
"lambda",0.0377915086203176,-0.0516456572542941,-0.00655302456418254,0.00741469608596068,0.929603424132424,-0.133889343560468
"luce",-0.0213569887129912,-0.00722249813922594,0.00379245056296161,0.00311216638840714,-0.133889343560468,0.0654594579619885
"alpha",0.0544821827526867,0.000160220741243305,0.0064661863935179,-0.00102041934721725,-0.000591210833400547,-0.00747892550922219
"beta",0.000160220741243305,0.04660496518338,-0.000434605032391789,0.000440294786697943,-0.0498974420259786,-0.00404704097912003
"gamma",0.0064661863935179,-0.000434605032391789,0.0406329492060726,0.00169445432774686,-0.00347406849944019,0.00135849474658567
"delta",-0.00102041934721725,0.000440294786697943,0.00169445432774686,0.0289255929858224,0.0142488550263532,-0.000343647257270606
"lambda",-0.000591210833400547,-0.0498974420259786,-0.00347406849944019,0.0142488550263532,0.417208452802634,-0.0220632557336395
"luce",-0.00747892550922219,-0.00404704097912003,0.00135849474658567,-0.000343647257270606,-0.0220632557336395,0.0152530285220972
"alpha",0.0425811125126219,0.0010238371513451,-0.00750012181577658,-0.00168366782615445,0.00597022543196947,-0.00547436715212594
"beta",0.0010238371513451,0.0361099286842021,0.000773358117533728,-0.00184143001250141,-0.0863669777733723,-0.0100434321511798
"gamma",-0.00750012181577658,0.000773358117533728,0.0188364587930757,0.000190012070541677,0.0104227527271581,0.000167007290610823
"delta",-0.00168366782615445,-0.00184143001250141,0.000190012070541677,0.0121048249440017,0.0225315388893825,0.00226832201773633
"lambda",0.00597022543196947,-0.0863669777733723,0.0104227527271581,0.0225315388893825,0.806447572329918,-0.0290406666124992
"luce",-0.00547436715212594,-0.0100434321511798,0.000167007290610823,0.00226832201773633,-0.0290406666124992,0.0384398762077861
"alpha",0.0542886674300854,0.00125981202813499,0.0017148588639094,-0.000599669139308729,-0.00108846142133716,-0.00796402860741991
"beta",0.00125981202813499,0.044195605001006,-0.00243713692484011,-0.00169985932462575,-0.0341785557584532,-0.0070164810254221
