"","alpha","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"alphaTemp",0.604645364069222,0.135048470117826,0.226572268666981,0.549208163098298,0.633174066373623,0.694210741106056,0.783405996132515
"alphaTemp",0.634121875076829,0.0737503986296183,0.474084665322507,0.586750232504085,0.63721298119796,0.687888331664715,0.764202170770623
"alphaTemp",0.447304906078781,0.250179013155026,0.0299966865720396,0.245359521990493,0.440677026777706,0.623407327739007,0.944361813695524
"alphaTemp",0.29421770991016,0.210743609728175,0.0170320182420542,0.140163787250272,0.256043047886161,0.378875317768491,0.87122556124517
"alphaTemp",0.370820387579033,0.127253930287112,0.0815215345632232,0.30076390625718,0.381648479498103,0.445703938014915,0.631212422291566
"alphaTemp",0.527420195590504,0.0921406036008664,0.342046096202809,0.461795437502426,0.533873198060774,0.598302361027332,0.682440912844994
"alphaTemp",0.39630156265526,0.163747448735819,0.139261328197177,0.287654757690827,0.361939535728692,0.477468336387078,0.800243614862589
"alphaTemp",0.23972197149556,0.239171602249583,0.00562511163263262,0.0648452857687676,0.149408518001767,0.332278426648972,0.869686968953528
"alphaTemp",0.323883653744641,0.273560258321858,0.00969358391826994,0.0907700043546054,0.236262771159611,0.526429562201642,0.912836026107803
"alphaTemp",0.321678887121573,0.266146373163973,0.00936002957141138,0.100100056400372,0.246070606222556,0.498706848002082,0.925304153444007
"alphaTemp",0.919732392687231,0.0475989505055214,0.81530433449123,0.887873935604669,0.925608500363336,0.956353304296775,0.994200223596019
"alphaTemp",0.302365690173431,0.265601753479192,0.00796896381657785,0.0892552410176013,0.209685199156458,0.463887360143707,0.914668300673907
"alphaTemp",0.808253514790708,0.0461124343848864,0.722260989137105,0.775802061024324,0.805840685075654,0.837540930180273,0.904906851534158
"alphaTemp",0.820257465667063,0.0506427099375568,0.728221744533155,0.784686671601704,0.81481973728652,0.854381962716235,0.928467626290793
"alphaTemp",0.351493627320442,0.21671897894702,0.0195963803815426,0.176851990633704,0.34018000692704,0.490017736397197,0.852171814076696
"alphaTemp",0.370776986553312,0.0718695837643115,0.234783947513021,0.322057589920845,0.366627219939503,0.418636375719366,0.517196786387037
"alphaTemp",0.761709882771336,0.049921348908098,0.653246449056045,0.731581338030324,0.765297434175963,0.797181121292347,0.848617114509202
"alphaTemp",0.401798704927867,0.225065897245355,0.0273025395326536,0.226148085911887,0.396901617418516,0.555639538468782,0.870933750799476
"alphaTemp",0.549310630370435,0.174323757666885,0.194446325918755,0.438154252650535,0.536503654221505,0.662538632017425,0.910832632536932
"alphaTemp",0.297353858944775,0.169989830677685,0.032334556482671,0.185702306282182,0.281990314211681,0.377482760390106,0.766624802602136
"alphaTemp",0.955955327934788,0.0357477997606445,0.864995365761354,0.936048452698187,0.964752435559474,0.983839433378346,0.998053551513596
"alphaTemp",0.919629015761431,0.0495736476530649,0.810841211348281,0.887396532830897,0.926230609039505,0.958993456144067,0.992512217862402
