"","beta","delta","lambdaluce"
"",0,0,0
"beta",0.010430054171504,-6.56328982334792e-06,-0.0105435165535464
"delta",-6.56328982334792e-06,0.0069584209272354,0.0198856400333469
"lambdaluce",-0.0105435165535464,0.0198856400333469,1.59512204724432
"beta",0.0370966759236823,-0.00966161304622258,-0.128227631139186
"delta",-0.00966161304622258,0.0195662418712099,0.0507303527406993
"lambdaluce",-0.128227631139186,0.0507303527406993,1.83489362732304
"beta",0.0463607985496935,-0.000406553221092845,-0.109448810834136
"delta",-0.000406553221092845,0.0156824287355787,0.016861443119376
"lambdaluce",-0.109448810834136,0.016861443119376,1.0286709089611
"beta",0.0580573946091376,-0.0012546114847015,-0.0495429728781763
"delta",-0.0012546114847015,0.0276625960805382,0.0139148720595458
"lambdaluce",-0.0495429728781763,0.0139148720595458,0.202888293415149
"beta",0.0570508002568585,-0.0116096866657452,-0.161623656379135
"delta",-0.0116096866657452,0.0191907668517333,0.0443655370061
"lambdaluce",-0.161623656379135,0.0443655370061,1.60919310688295
"beta",0.0419034161914572,0.00049777627699657,-0.0363005446502586
"delta",0.00049777627699657,0.0385717345353459,0.00509041291418213
"lambdaluce",-0.0363005446502586,0.00509041291418213,0.206557651475485
"beta",0.0451006756100676,-0.00437713743218651,-0.0350354287016963
"delta",-0.00437713743218651,0.0441022445787801,0.0117984299160465
"lambdaluce",-0.0350354287016963,0.0117984299160465,0.177485784860758
"beta",0.0500786407005198,-0.0029572023626011,-0.0470737826592479
"delta",-0.0029572023626011,0.0346571041922192,0.0125363356397131
"lambdaluce",-0.0470737826592479,0.0125363356397131,0.261559388947484
"beta",0.0770196386632166,0.000341451890999334,-0.0993950902983637
"delta",0.000341451890999334,0.00990623635168841,0.00592576435069802
"lambdaluce",-0.0993950902983637,0.00592576435069802,0.430255420312608
"beta",0.0678393834380308,0.00168261301245223,-0.0981406027599741
"delta",0.00168261301245223,0.00980222555458961,0.0508502784685046
"lambdaluce",-0.0981406027599741,0.0508502784685046,1.36074707333256
"beta",0.0734527756320589,-0.00323010402000454,-0.10535263201555
"delta",-0.00323010402000454,0.00556267150241965,-0.00517326758441365
"lambdaluce",-0.10535263201555,-0.00517326758441365,1.57019766667795
"beta",0.07006827359435,-0.00159057455380255,-0.125933389027463
"delta",-0.00159057455380255,0.0140350322931302,0.0453101231467321
"lambdaluce",-0.125933389027463,0.0453101231467321,0.824636534036204
"beta",0.052214358969413,-0.01484061993639,-0.147683841359028
"delta",-0.01484061993639,0.0225654124755766,0.0513047444550255
"lambdaluce",-0.147683841359028,0.0513047444550255,1.4289325121896
"beta",0.0512273804564902,-0.00519890926286102,-0.134953596980118
"delta",-0.00519890926286102,0.0280557610733466,0.0511622841190067
"lambdaluce",-0.134953596980118,0.0511622841190067,1.40078793987381
"beta",0.0522642753991179,-0.00177315730791081,-0.134339317037136
"delta",-0.00177315730791081,0.0122609683988851,0.0271469714338617
"lambdaluce",-0.134339317037136,0.0271469714338617,1.86198343138522
"beta",0.0490498169590794,-0.00832503581854107,-0.152668897841422
"delta",-0.00832503581854107,0.0121081957994271,0.0387796558492799
"lambdaluce",-0.152668897841422,0.0387796558492799,1.87543319858008
"beta",0.018733828517353,-0.000359082470217731,-0.0214733319953296
"delta",-0.000359082470217731,0.0092504448003159,0.0161691828771323
"lambdaluce",-0.0214733319953296,0.0161691828771323,1.2630326186484
"beta",0.0697801658234042,-0.000953633872118841,-0.0499195432783673
"delta",-0.000953633872118841,0.031298998552658,0.0161213153333727
"lambdaluce",-0.0499195432783673,0.0161213153333727,0.306461009930807
"beta",0.0499498295656022,-0.00388873542593661,-0.137172443754886
"delta",-0.00388873542593661,0.0267213404083443,0.0282201994257674
"lambdaluce",-0.137172443754886,0.0282201994257674,1.33381593674561
"beta",0.0755317266689775,-0.00260366128075583,-0.106805396377003
"delta",-0.00260366128075583,0.00753534323214765,-0.000402041651918825
"lambdaluce",-0.106805396377003,-0.000402041651918825,1.67425328435411
"beta",0.0487565112594756,-0.0115595907237625,-0.113476199237848
"delta",-0.0115595907237625,0.0110346265668325,0.0409541306683157
"lambdaluce",-0.113476199237848,0.0409541306683157,1.59892762907314
"beta",0.0463730593600669,-0.00413132011938798,-0.117806360776548
"delta",-0.00413132011938798,0.0260279432265948,0.0402697473218704
"lambdaluce",-0.117806360776548,0.0402697473218704,1.16973217803941
"beta",0.0314987026228416,-0.00438245277593159,-0.047244682473129
"delta",-0.00438245277593159,0.00724984930900248,0.0269855099879216
"lambdaluce",-0.047244682473129,0.0269855099879216,1.62461426854323
"beta",0.0701495403212876,-0.0024057432164527,-0.0925863416755822
"delta",-0.0024057432164527,0.00897464500170252,0.00262697911695587
"lambdaluce",-0.0925863416755822,0.00262697911695587,1.82851289160249
"beta",0.0659097725590328,-0.00278145190566453,-0.0877356178609747
"delta",-0.00278145190566453,0.00653111172772835,-0.0190238597169539
"lambdaluce",-0.0877356178609747,-0.0190238597169539,1.60730830000973
"beta",0.0619201376855119,0.00468948809072373,-0.0628936960483164
"delta",0.00468948809072373,0.0215812832834746,0.0238458696256224
"lambdaluce",-0.0628936960483164,0.0238458696256224,0.291373436737882
"beta",0.0338959546213728,-0.00318701552000913,-0.0320430720415079
"delta",-0.00318701552000913,0.00536227849890381,0.0203594961899574
"lambdaluce",-0.0320430720415079,0.0203594961899574,1.69109307898134
"beta",0.0691901100523661,-0.000351123077894339,-0.0660314830635447
"delta",-0.000351123077894339,0.0158073253990064,0.00947619006100452
"lambdaluce",-0.0660314830635447,0.00947619006100452,0.249981310329429
"beta",0.0627959124724254,-0.000628995456384022,-0.0859439499465142
"delta",-0.000628995456384022,0.00785337682832604,0.00648938519975103
"lambdaluce",-0.0859439499465142,0.00648938519975103,0.317032753567518
"beta",0.0738357358134282,-0.00282189058769308,-0.0901891012358638
"delta",-0.00282189058769308,0.00717103879672371,-0.0132180417884883
"lambdaluce",-0.0901891012358638,-0.0132180417884883,1.77627136500054
"beta",0.0417250498841326,-0.00378825811582405,-0.0949993611421626
"delta",-0.00378825811582405,0.0239234507100654,0.0194644341000751
"lambdaluce",-0.0949993611421626,0.0194644341000751,0.844588185735552
"beta",0.0723069730175385,0.000183533910228203,-0.106418094915325
"delta",0.000183533910228203,0.0115081313406066,0.0344532381113725
"lambdaluce",-0.106418094915325,0.0344532381113725,0.686111406925633
"beta",0.0530231354513878,-0.000141565399550036,-0.14440600867312
"delta",-0.000141565399550036,0.0114267497890587,0.0213610615848868
"lambdaluce",-0.14440600867312,0.0213610615848868,1.66961901662827
"beta",0.0669321818227656,-0.00512211008950635,-0.145032923835443
"delta",-0.00512211008950635,0.0074244716616846,0.0550728727365142
"lambdaluce",-0.145032923835443,0.0550728727365142,1.75244063997464
"beta",0.0679693554083625,0.0015733269767055,-0.115585541385563
"delta",0.0015733269767055,0.0105973098795169,0.00998855778242436
"lambdaluce",-0.115585541385563,0.00998855778242436,0.727977120810681
"beta",0.0477676668867621,-0.0108015179577016,-0.16063477640499
"delta",-0.0108015179577016,0.0168947389426097,0.05250881470352
"lambdaluce",-0.16063477640499,0.05250881470352,2.05026233887175
"beta",0.0410830166474196,-0.00145305677459005,-0.0607695406618856
"delta",-0.00145305677459005,0.00956544526966749,0.00938324138832836
"lambdaluce",-0.0607695406618856,0.00938324138832836,0.331287049478963
"beta",0.0449796034536798,-0.011481148535415,-0.120773417162442
"delta",-0.011481148535415,0.0109107266804105,0.0373172684333119
"lambdaluce",-0.120773417162442,0.0373172684333119,1.79375244070074
"beta",0.0715240955463861,-0.00207944205693313,-0.0726597145962722
"delta",-0.00207944205693313,0.00461360718247711,-0.00624860078276005
"lambdaluce",-0.0726597145962722,-0.00624860078276005,1.72170807328514
"beta",0.0256285863467447,-0.00608788106782783,-0.0792687034492752
"delta",-0.00608788106782783,0.011852631011128,0.0292198156602691
"lambdaluce",-0.0792687034492752,0.0292198156602691,1.68030207147337
"beta",0.0243557646398562,0.000923985629274139,-0.0432732604417368
"delta",0.000923985629274139,0.00709065295443171,0.0158549201845877
"lambdaluce",-0.0432732604417368,0.0158549201845877,0.905010677217322
"beta",0.0314271597314127,-0.00287279326149056,-0.0697970658639581
"delta",-0.00287279326149056,0.0197488245306796,0.0482759014207289
"lambdaluce",-0.0697970658639581,0.0482759014207289,0.76290016886096
"beta",0.0361577129834929,-0.0019954898550114,-0.0259930335100695
"delta",-0.0019954898550114,0.0457464203351181,0.00596894828559021
"lambdaluce",-0.0259930335100695,0.00596894828559021,0.160086239932566
"beta",0.0558106654133519,-0.00128725792116077,-0.0930871318148945
"delta",-0.00128725792116077,0.0270508753532085,0.0219476153171219
"lambdaluce",-0.0930871318148945,0.0219476153171219,0.629701508158203
"beta",0.0726163204240708,-0.00135480165742357,-0.0829686025688318
"delta",-0.00135480165742357,0.00730724980357473,-0.00379130578132484
"lambdaluce",-0.0829686025688318,-0.00379130578132484,1.78507954123527
"beta",0.0519234328021475,-0.00251188771970912,-0.162764039828122
"delta",-0.00251188771970912,0.020526655304937,0.0313290948029276
"lambdaluce",-0.162764039828122,0.0313290948029276,1.67088426455281
"beta",0.0664594136660265,-0.00275008286962521,-0.0752966450227311
"delta",-0.00275008286962521,0.00579290358669966,0.0157093890567947
"lambdaluce",-0.0752966450227311,0.0157093890567947,1.62571133383483
"beta",0.0366448940886725,-0.00311077981698969,-0.0893906153045983
"delta",-0.00311077981698969,0.0242175846858998,0.0287449482841929
"lambdaluce",-0.0893906153045983,0.0287449482841929,0.877152921912075
"beta",0.0614215100904147,-0.00209633239354774,-0.0634803342402562
"delta",-0.00209633239354774,0.00689657893313181,0.026216890198084
"lambdaluce",-0.0634803342402562,0.026216890198084,1.64533181111297
"beta",0.0375669594733975,-0.00383003870899593,-0.0638598184548859
"delta",-0.00383003870899593,0.00943261194658138,0.0175039140705157
"lambdaluce",-0.0638598184548859,0.0175039140705157,1.18791428915498
"beta",0.0488309168934314,-0.00627174808478417,-0.0773771790511124
"delta",-0.00627174808478417,0.0256725208222518,0.0317379850134576
"lambdaluce",-0.0773771790511124,0.0317379850134576,0.563553563628474
"beta",0.0763870728836711,-0.00346753143757496,-0.141745619964647
"delta",-0.00346753143757496,0.00753572037661002,-0.00301006014771423
"lambdaluce",-0.141745619964647,-0.00301006014771423,1.87527855346975
"beta",0.0497673634651053,-0.00575800562003645,-0.0462482467496311
"delta",-0.00575800562003645,0.0042482173087006,0.028477816044675
"lambdaluce",-0.0462482467496311,0.028477816044675,1.822124440645
"beta",0.0657877628858533,0.00400432551285733,-0.0499115755041678
"delta",0.00400432551285733,0.0457800778101,0.00917761623827123
"lambdaluce",-0.0499115755041678,0.00917761623827123,0.21666938962332
"beta",0.0727918111036397,-0.00358885659659089,-0.082112285623772
"delta",-0.00358885659659089,0.00820834495091135,0.0014582575849308
"lambdaluce",-0.082112285623772,0.0014582575849308,1.75636607831073
"beta",0.0700116934823368,-0.00136831931801798,-0.0850056357894588
"delta",-0.00136831931801798,0.00463409319407548,-0.0106694971185803
"lambdaluce",-0.0850056357894588,-0.0106694971185803,1.77863903908966
"beta",0.0564515932533113,-0.00380153992748394,-0.130504472760235
"delta",-0.00380153992748394,0.0145444372435976,0.031024333806955
"lambdaluce",-0.130504472760235,0.031024333806955,1.033913889365
