"","alpha","gamma","luce"
"",0,0,0
"alpha",0.0216829625977031,-0.00193204327372101,-0.0271553733969419
"gamma",-0.00193204327372101,0.00904273858196127,0.0013573039654574
"luce",-0.0271553733969419,0.0013573039654574,0.0493726839444655
"alpha",0.0388914554865261,-0.00201479208689403,-0.0393856276544929
"gamma",-0.00201479208689403,0.00991184736325732,0.00118838296738197
"luce",-0.0393856276544929,0.00118838296738197,0.0576976958501528
"alpha",0.0336231544494314,-0.00192258032454406,-0.0347812840224784
"gamma",-0.00192258032454406,0.0023388149952385,0.00339393341910183
"luce",-0.0347812840224784,0.00339393341910183,0.0541963470005478
"alpha",0.0103114853994193,2.70762473563472e-05,-0.00212389209422633
"gamma",2.70762473563472e-05,0.015230955605542,0.000256067898639802
"luce",-0.00212389209422633,0.000256067898639802,0.00649217967443311
"alpha",0.02654634364939,-0.00226969113162529,-0.0301147913427658
"gamma",-0.00226969113162529,0.00177908924035404,0.00326563217000815
"luce",-0.0301147913427658,0.00326563217000815,0.0477052916968915
"alpha",0.0285621192117487,-0.000894175821120389,-0.0134015804545568
"gamma",-0.000894175821120389,0.00886288963899217,0.000687693887202338
"luce",-0.0134015804545568,0.000687693887202338,0.0160522423741787
"alpha",0.0305168977453849,-0.00257886178046512,-0.0298412726346533
"gamma",-0.00257886178046512,0.00953952823230451,0.001225308614216
"luce",-0.0298412726346533,0.001225308614216,0.0410242565960499
"alpha",0.0230411093859605,-0.000185918072613441,-0.0207892950058639
"gamma",-0.000185918072613441,0.00474293208570881,0.00352798004666015
"luce",-0.0207892950058639,0.00352798004666015,0.0266969743828808
"alpha",0.0395344164341316,0.000245266834497174,-0.0371049261431107
"gamma",0.000245266834497174,0.00485969070514313,0.00306042852159517
"luce",-0.0371049261431107,0.00306042852159517,0.0471532859009907
"alpha",0.0268170866698997,0.00103088753500375,-0.0277022665652377
"gamma",0.00103088753500375,0.00465608544870734,0.00227623464387711
"luce",-0.0277022665652377,0.00227623464387711,0.0408333608193514
"alpha",0.00348327744985903,-0.000248592490679388,-0.0039180153770748
"gamma",-0.000248592490679388,0.000661873998279542,0.000541892543284172
"luce",-0.0039180153770748,0.000541892543284172,0.0137097829888676
"alpha",0.0505270793444775,0.000297045732442545,-0.0486510687883368
"gamma",0.000297045732442545,0.0040835188580307,0.00212372249072003
"luce",-0.0486510687883368,0.00212372249072003,0.0559426697448721
"alpha",0.00804897563603693,-0.000656578109623955,-0.0101027186988282
"gamma",-0.000656578109623955,0.000672966447073245,0.00130081543578706
"luce",-0.0101027186988282,0.00130081543578706,0.0226266702691882
"alpha",0.00807054775412397,-0.00112766721686128,-0.00987207718334761
"gamma",-0.00112766721686128,0.00543482191678998,0.00101982759655993
"luce",-0.00987207718334761,0.00101982759655993,0.0226341085141871
"alpha",0.00867699405604149,-0.000691461679530137,-0.00176963061232114
"gamma",-0.000691461679530137,0.0168508311443479,0.000257755524060065
"luce",-0.00176963061232114,0.000257755524060065,0.00554636562614347
"alpha",0.0291985770811082,-0.00371860186712912,-0.0289553632100769
"gamma",-0.00371860186712912,0.015680426888506,0.00250846459518142
"luce",-0.0289553632100769,0.00250846459518142,0.0501421047155451
"alpha",0.00563003039163098,-0.000436632640574053,-0.00524137694633618
"gamma",-0.000436632640574053,0.000609322182676821,0.000734399659115641
"luce",-0.00524137694633618,0.000734399659115641,0.0118903473293679
"alpha",0.0142050146652667,0.00309616283084815,-0.00259896129321068
"gamma",0.00309616283084815,0.00819062891662987,0.00211238347994648
"luce",-0.00259896129321068,0.00211238347994648,0.00697008603470316
"alpha",0.0228989421900539,-0.000282515705829463,-0.0249710841071668
"gamma",-0.000282515705829463,0.00338614961194868,0.00222576221891114
"luce",-0.0249710841071668,0.00222576221891114,0.0361068594201189
"alpha",0.0263082680639801,-0.00334575319403548,-0.0179635111826623
"gamma",-0.00334575319403548,0.0157745547226055,0.00206202750594086
"luce",-0.0179635111826623,0.00206202750594086,0.0305291073605625
"alpha",0.00436500806622594,-0.000365443219083725,-0.00661242434781745
"gamma",-0.000365443219083725,0.00407472363676427,-0.000126614499573926
"luce",-0.00661242434781745,-0.000126614499573926,0.0208589960972643
"alpha",0.0081255888978201,-0.00196552339976499,-0.0106468511752336
"gamma",-0.00196552339976499,0.00730874752329394,0.00143832771164405
"luce",-0.0106468511752336,0.00143832771164405,0.0253634339626068
"alpha",0.0133290331615187,-0.00289813168067109,-0.0137728316381701
"gamma",-0.00289813168067109,0.00955441592022424,0.00208561198611862
"luce",-0.0137728316381701,0.00208561198611862,0.0274793411543224
"alpha",0.040621117895513,0.000222562443999227,-0.0425729851438147
"gamma",0.000222562443999227,0.00453505661839456,0.00288104947684713
"luce",-0.0425729851438147,0.00288104947684713,0.0546622227698693
"alpha",0.0188351390735297,-0.000339272534981282,-0.0180759502818365
"gamma",-0.000339272534981282,0.00140511550995545,0.00243778894581331
"luce",-0.0180759502818365,0.00243778894581331,0.0266712919832158
"alpha",0.020476080277053,0.00427952208869455,-0.00428982766870171
"gamma",0.00427952208869455,0.00911505784425401,0.00269433139396912
"luce",-0.00428982766870171,0.00269433139396912,0.00947949742340155
"alpha",0.0167517297177237,8.66775528767868e-05,-0.0164387442783606
"gamma",8.66775528767868e-05,0.00270141080763145,0.000931297185931803
"luce",-0.0164387442783606,0.000931297185931803,0.0239711780486577
"alpha",0.0334420626998883,-0.000980317098072076,-0.0350135922176235
"gamma",-0.000980317098072076,0.00178046664781664,0.00415323904415914
"luce",-0.0350135922176235,0.00415323904415914,0.0540133942954756
"alpha",0.0420749007442466,-0.000213359404667727,-0.033990689246382
"gamma",-0.000213359404667727,0.00564383298491729,0.00488562554697671
