"","gamma","sd","2.5%","25%","50%","75%","97.5%"
"",0,0,0,0,0,0,0
"gammaTemp",0.714919358813465,0.108747856888563,0.538024562400877,0.635140477466071,0.697529181724725,0.780779147859075,0.96240953807162
"gammaTemp",0.736244775633076,0.103486185739518,0.577980317657305,0.657366960381555,0.71668398693851,0.799134420607299,0.965826516937996
"gammaTemp",0.406644030785788,0.0623434940080688,0.302603920886103,0.366628606009559,0.400388258829933,0.440127645738654,0.542603515300658
"gammaTemp",0.770024770890566,0.158731640455714,0.436958131454048,0.667079673457495,0.789927670341858,0.902402544921335,0.987195927491059
"gammaTemp",0.530478125332152,0.0780148179865576,0.41135194985235,0.479186492803986,0.520135670565355,0.569277840690615,0.734161278679071
"gammaTemp",0.885784232451732,0.0880774852898476,0.678568962388685,0.83239316222088,0.906207904697428,0.956311750263013,0.995666581501997
"gammaTemp",0.614903060975682,0.127249930295652,0.419719329630079,0.523283675359565,0.595599897309377,0.684732747109843,0.929176442810941
"gammaTemp",0.122272532768009,0.0666541116618494,0.00643844160705865,0.0699644308876403,0.126260361462347,0.169269418117532,0.247846695165019
"gammaTemp",0.355110784585053,0.151355632665164,0.032878658340995,0.266736530300244,0.366660733874598,0.443699245538567,0.654715031926885
"gammaTemp",0.157067767836376,0.0884450064256995,0.00869214493601418,0.0851909911685686,0.158198072603273,0.222894039557531,0.323054309611432
"gammaTemp",0.58404578196638,0.0719285230975402,0.498834702196755,0.54123032580425,0.56720817588325,0.603426288988123,0.792688878005567
"gammaTemp",0.0724484457119911,0.044256204878829,0.00489128031867256,0.0367375119925795,0.0686558551430413,0.102348642753876,0.16531327156214
"gammaTemp",0.495484178420927,0.0878759506090775,0.396625748939903,0.431955805939322,0.474721674750334,0.531409208629367,0.723877948701803
"gammaTemp",0.797427156734825,0.100532241517636,0.629783359028505,0.715872924618671,0.790187011371382,0.874893580626272,0.983514976720372
"gammaTemp",0.691149137669353,0.181604052383852,0.333312841634132,0.554986847325612,0.699689987609616,0.841385563159385,0.981583613305723
