,alpha,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
alphaTemp,0.607552161,0.133145686,0.267250146,0.549388944,0.632896948,0.695884444,0.796340469
alphaTemp,0.636277483,0.074906478,0.477887423,0.586917034,0.63806109,0.692411673,0.769606886
alphaTemp,0.442940996,0.24270618,0.030007298,0.25882468,0.436463508,0.605079348,0.940565465
alphaTemp,0.307018109,0.225152372,0.013810803,0.13721969,0.266607415,0.403530419,0.889257847
alphaTemp,0.367158604,0.110025725,0.114319223,0.306287802,0.376953559,0.4389956,0.556183089
alphaTemp,0.522644908,0.092358981,0.341511618,0.455663023,0.52284462,0.593287325,0.682613552
alphaTemp,0.392393291,0.178633021,0.093492326,0.27935186,0.356432647,0.473821988,0.833135774
alphaTemp,0.238505606,0.235134027,0.006963439,0.067314246,0.15229834,0.323000149,0.871379626
alphaTemp,0.330464111,0.277549993,0.006215101,0.096216164,0.244235437,0.526981995,0.936959802
alphaTemp,0.328732718,0.271315695,0.008087128,0.100518096,0.249846362,0.507326977,0.92994932
alphaTemp,0.921480465,0.048690103,0.816036805,0.889713264,0.925570743,0.961821735,0.994740602
alphaTemp,0.303465764,0.264451526,0.008662419,0.086262827,0.217000854,0.466468627,0.91940824
alphaTemp,0.804820302,0.044943333,0.725775585,0.773614633,0.801890924,0.832965455,0.901571101
alphaTemp,0.821659862,0.051245843,0.729443655,0.786295664,0.81722163,0.853522511,0.93150749
alphaTemp,0.356660225,0.213279475,0.018407335,0.189495205,0.349228421,0.493165925,0.868602522
alphaTemp,0.368903559,0.071158689,0.239774432,0.320994475,0.364620297,0.41311119,0.514871736
alphaTemp,0.765677614,0.052734176,0.649880939,0.734318741,0.769009935,0.803248831,0.855601702
alphaTemp,0.384536273,0.223111567,0.023333602,0.208416532,0.376190399,0.542151859,0.891341264
alphaTemp,0.570133966,0.184311681,0.221229476,0.451587991,0.560014031,0.685522884,0.967687994
alphaTemp,0.289034064,0.188984219,0.014913848,0.15836001,0.274453623,0.374046849,0.837401101
alphaTemp,0.955098022,0.036966042,0.861788985,0.935068427,0.964020719,0.983953275,0.998149369
alphaTemp,0.918157679,0.049579737,0.802517946,0.887534753,0.925796,0.956210475,0.991581721
alphaTemp,0.623064444,0.095445597,0.444187157,0.561815318,0.622517,0.682420633,0.819586398
alphaTemp,0.328087951,0.248597463,0.016781147,0.128970298,0.269459949,0.46632181,0.915167609
alphaTemp,0.816120489,0.072370756,0.688703266,0.761641152,0.811417736,0.866769273,0.961792117
alphaTemp,0.278261851,0.259626091,0.004941788,0.074531973,0.182643397,0.41722789,0.910888635
alphaTemp,0.324388614,0.267201411,0.010781456,0.107586539,0.242404717,0.502073503,0.929108734
alphaTemp,0.53607514,0.245551303,0.045420323,0.365747076,0.540371726,0.719270387,0.962814894
alphaTemp,0.344147627,0.27902138,0.008566546,0.101776412,0.271549103,0.544626998,0.938595938
alphaTemp,0.330140069,0.262114112,0.013595963,0.114239265,0.262586097,0.485795418,0.927439475
alphaTemp,0.27998425,0.207243613,0.0143654,0.125122095,0.241306178,0.378522822,0.818429113
alphaTemp,0.470735788,0.24869081,0.040958604,0.283730788,0.46212368,0.644894358,0.970167322
alphaTemp,0.344679654,0.215057249,0.016616476,0.173503592,0.32768402,0.479335548,0.85402056
alphaTemp,0.316684512,0.204927156,0.023134781,0.168333313,0.281819639,0.412570687,0.809080549
alphaTemp,0.373155279,0.226632742,0.030242308,0.199252354,0.347916739,0.509511986,0.881181403
alphaTemp,0.336505874,0.196804774,0.032169883,0.202590724,0.31735506,0.423118589,0.892130964
alphaTemp,0.50756992,0.063533403,0.387414968,0.463362958,0.509738497,0.552029938,0.627451727
