,beta,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
betaTemp,0.823497942,0.037882739,0.745700894,0.798292661,0.824225398,0.849026164,0.895951779
betaTemp,0.650113696,0.03639997,0.582305715,0.625333435,0.649563683,0.673489361,0.722953887
betaTemp,0.947460492,0.034825479,0.867405182,0.924265291,0.952340756,0.974992492,0.996664451
betaTemp,0.102452252,0.080828672,0.003243354,0.038588736,0.083469309,0.150127467,0.302686784
betaTemp,0.320611717,0.049278722,0.227640783,0.28481421,0.320494542,0.353613872,0.417637198
betaTemp,0.523301432,0.177889122,0.143346544,0.420963922,0.525323219,0.623167707,0.909818004
betaTemp,0.283634808,0.274876115,0.00457709,0.058399362,0.177296555,0.462950229,0.91899149
betaTemp,0.399433465,0.212164745,0.051367906,0.248176879,0.373400008,0.516003209,0.912041581
betaTemp,0.392245912,0.267441376,0.023854488,0.16989304,0.338880004,0.588821827,0.94037145
betaTemp,0.439936127,0.273797258,0.022638845,0.205084868,0.414188829,0.653568206,0.962669248
betaTemp,0.312187699,0.22666893,0.016313637,0.144621711,0.262893384,0.424722923,0.895624565
betaTemp,0.619308836,0.081681046,0.469778445,0.563554662,0.61408284,0.672359923,0.789094835
betaTemp,0.563121623,0.057543177,0.449226519,0.522153493,0.565316138,0.604280056,0.672251879
betaTemp,0.364475171,0.252781856,0.015789821,0.161309406,0.318660951,0.539514263,0.920214843
betaTemp,0.756885016,0.038997957,0.685845758,0.729451786,0.7545427,0.78141194,0.843105532
betaTemp,0.277714588,0.190350601,0.021164098,0.138814093,0.238816662,0.367304525,0.761245912
betaTemp,0.64789124,0.034262035,0.582635282,0.625393855,0.646535717,0.668071121,0.719129149
betaTemp,0.956034356,0.028811377,0.893813853,0.93689313,0.959658825,0.979528029,0.997548989
betaTemp,0.408204006,0.060981797,0.290843899,0.368356718,0.40745548,0.447862009,0.534064929
betaTemp,0.429460895,0.269921937,0.028126537,0.201802961,0.394476762,0.635019814,0.954664057
betaTemp,0.951542037,0.037724372,0.859904278,0.929441062,0.960285543,0.982121756,0.998296789
betaTemp,0.29876305,0.133079678,0.040637777,0.211113591,0.305261453,0.385893179,0.544285897
betaTemp,0.790683107,0.063796235,0.672038452,0.746751906,0.78797641,0.834705741,0.923374868
