,alpha,beta,gamma,delta,lambda,luce
,0,0,0,0,0,0
alpha,0.017727774,0.000638189,0.002580117,0.000742862,0.041935718,-0.002639382
beta,0.000638189,0.001435102,0.00403185,0.000640391,-0.009712021,-0.000421738
gamma,0.002580117,0.00403185,0.043772934,0.000201788,0.001029163,0.00065901
delta,0.000742862,0.000640391,0.000201788,0.001846909,-0.001911861,-0.001094806
lambda,0.041935718,-0.009712021,0.001029163,-0.001911861,0.84145247,-0.091636577
luce,-0.002639382,-0.000421738,0.00065901,-0.001094806,-0.091636577,0.062236696
alpha,0.00561098,0.000486771,-0.000876918,0.001215226,0.045807251,-0.011355051
beta,0.000486771,0.001324958,0.000840128,0.00048346,-0.018056646,0.000537838
gamma,-0.000876918,0.000840128,0.011106947,-0.002516858,-0.005862756,-6.23E-05
delta,0.001215226,0.00048346,-0.002516858,0.00322814,-0.000957592,-0.002726003
lambda,0.045807251,-0.018056646,-0.005862756,-0.000957592,0.992408382,-0.174909748
luce,-0.011355051,0.000537838,-6.23E-05,-0.002726003,-0.174909748,0.064803591
alpha,0.05890629,-0.000255242,-0.022235305,-0.002569502,0.014671889,-0.00504073
beta,-0.000255242,0.001212814,0.000958039,0.000709288,-0.0084501,-0.000623082
gamma,-0.022235305,0.000958039,0.064335454,-0.002056626,0.005557721,-0.005348875
delta,-0.002569502,0.000709288,-0.002056626,0.002136624,4.50E-06,-0.000868326
lambda,0.014671889,-0.0084501,0.005557721,4.50E-06,0.982558744,-0.161965837
luce,-0.00504073,-0.000623082,-0.005348875,-0.000868326,-0.161965837,0.072434377
alpha,0.050693591,0.001166242,-0.030537601,0.003496406,0.014771448,0.003091269
beta,0.001166242,0.006533274,0.002457661,-6.66E-05,-0.025534639,-0.003178621
gamma,-0.030537601,0.002457661,0.10955695,-0.01237217,-0.041620291,-0.023389915
delta,0.003496406,-6.66E-05,-0.01237217,0.038709065,-0.016968373,-0.003131994
lambda,0.014771448,-0.025534639,-0.041620291,-0.016968373,0.812163025,-0.049861439
luce,0.003091269,-0.003178621,-0.023389915,-0.003131994,-0.049861439,0.053622209
alpha,0.01210566,0.002312974,-0.002115435,0.000594029,0.007559862,-0.006800225
beta,0.002312974,0.002428392,0.003707983,0.000150093,-0.018293193,-0.002657757
gamma,-0.002115435,0.003707983,0.046161117,-0.001258646,-0.031587468,-0.006696366
delta,0.000594029,0.000150093,-0.001258646,0.00373767,-0.001833538,-0.000941062
lambda,0.007559862,-0.018293193,-0.031587468,-0.001833538,0.624993267,-0.069898425
luce,-0.006800225,-0.002657757,-0.006696366,-0.000941062,-0.069898425,0.041413219
alpha,0.008530181,0.000173705,-0.000218436,0.011412018,-0.029545393,-0.017912267
beta,0.000173705,0.03164454,0.005885243,-0.007895184,-0.02858067,0.002594431
gamma,-0.000218436,0.005885243,0.018842848,-0.001767335,-0.009279462,-0.005613481
delta,0.011412018,-0.007895184,-0.001767335,0.028633367,-0.077685373,-0.023406267
lambda,-0.029545393,-0.02858067,-0.009279462,-0.077685373,1.00701273,0.046567366
luce,-0.017912267,0.002594431,-0.005613481,-0.023406267,0.046567366,0.064112769
alpha,0.031909756,-0.018353387,-0.028768061,0.035407756,0.018992766,-0.020364079
beta,-0.018353387,0.075556879,0.024184189,-0.048789589,-0.005489088,0.016398981
gamma,-0.028768061,0.024184189,0.050620001,-0.04059553,-0.015556135,0.008701107
delta,0.035407756,-0.048789589,-0.04059553,0.090287636,-0.041638893,-0.033732887
lambda,0.018992766,-0.005489088,-0.015556135,-0.041638893,1.316860322,-0.035012243
luce,-0.020364079,0.016398981,0.008701107,-0.033732887,-0.035012243,0.079209891
alpha,0.055288011,-0.007659518,-0.040010758,0.004535032,-0.004397411,-0.003617741
beta,-0.007659518,0.045013879,0.017932982,-0.012081853,-0.034082448,-0.00139228
gamma,-0.040010758,0.017932982,0.086352178,-0.010025478,0.019057827,-0.001769287
delta,0.004535032,-0.012081853,-0.010025478,0.01177374,-0.030033799,-0.006154444
lambda,-0.004397411,-0.034082448,0.019057827,-0.030033799,1.29187639,-0.0265659
luce,-0.003617741,-0.00139228,-0.001769287,-0.006154444,-0.0265659,0.078536084
alpha,0.077033999,-0.00301948,-0.03979281,0.001293263,0.001903,0.007484698
beta,-0.00301948,0.07152489,0.004785084,-0.012800477,-0.032117115,-0.005823481
gamma,-0.03979281,0.004785084,0.073469992,-0.000880522,0.003284257,-0.017137011
delta,0.001293263,-0.012800477,-0.000880522,0.008807441,-0.008016636,-0.001299715
lambda,0.001903,-0.032117115,0.003284257,-0.008016636,1.321065581,-0.027526633
luce,0.007484698,-0.005823481,-0.017137011,-0.001299715,-0.027526633,0.081575135
alpha,0.073612206,0.004199905,-0.030445638,-0.000266096,-0.013584321,0.005422263
beta,0.004199905,0.074964938,-0.003310524,-0.00741781,-0.034425314,-0.001619212
gamma,-0.030445638,-0.003310524,0.046399412,0.00045136,0.007177383,-0.014757543
delta,-0.000266096,-0.00741781,0.00045136,0.004557327,-0.01153958,-0.001966696
lambda,-0.013584321,-0.034425314,0.007177383,-0.01153958,1.264641953,-0.013161019
luce,0.005422263,-0.001619212,-0.014757543,-0.001966696,-0.013161019,0.082570269
alpha,0.002370726,-0.002036784,-0.000295215,0.003778797,0.001366443,-0.005183587
beta,-0.002036784,0.051378804,0.000650631,-0.025997067,-0.009994461,0.008333448
gamma,-0.000295215,0.000650631,0.002278441,-0.001741014,-0.00394183,-0.002064478
delta,0.003778797,-0.025997067,-0.001741014,0.052454656,-0.054615611,-0.01417699
lambda,0.001366443,-0.009994461,-0.00394183,-0.054615611,1.329772983,-0.008031248
luce,-0.005183587,0.008333448,-0.002064478,-0.01417699,-0.008031248,0.054199321
alpha,0.069934609,-0.003132182,-0.043398812,0.001216783,0.00593897,0.00279462
beta,-0.003132182,0.006671793,0.008307597,-0.000624603,-0.047412436,-0.007178409
gamma,-0.043398812,0.008307597,0.087111174,-0.002353135,-0.001147628,-0.015119423
delta,0.001216783,-0.000624603,-0.002353135,0.00097527,-0.007663587,-0.001118825
lambda,0.00593897,-0.047412436,-0.001147628,-0.007663587,1.185641582,-0.092544203
luce,0.00279462,-0.007178409,-0.015119423,-0.001118825,-0.092544203,0.077949025
alpha,0.002019903,-0.000365709,-0.000642218,0.000521654,0.02401158,-0.006038615
beta,-0.000365709,0.003311217,0.001253193,0.002252142,-0.034832248,0.000867903
gamma,-0.000642218,0.001253193,0.0018768,-6.41E-06,-0.010839731,-0.000239284
delta,0.000521654,0.002252142,-6.41E-06,0.005863803,-0.028802245,-0.000259921
lambda,0.02401158,-0.034832248,-0.010839731,-0.028802245,0.696164515,-0.085801459
luce,-0.006038615,0.000867903,-0.000239284,-0.000259921,-0.085801459,0.042689855
alpha,0.002626136,-0.001587596,0.000432353,0.004552574,-0.003583444,-0.009926468
beta,-0.001587596,0.063898667,0.000858565,-0.022256552,0.00846485,0.004126283
gamma,0.000432353,0.000858565,0.002006019,-0.000462516,-0.00116467,-0.000381063
delta,0.004552574,-0.022256552,-0.000462516,0.040136502,-0.057820264,-0.017602332
lambda,-0.003583444,0.00846485,-0.00116467,-0.057820264,1.272729601,0.00906082
luce,-0.009926468,0.004126283,-0.000381063,-0.017602332,0.00906082,0.064085221
alpha,0.045488134,0.000383193,-0.012123965,0.00049798,0.012119108,-0.006059018
beta,0.000383193,0.001520841,0.004837993,0.000792868,-0.012518032,-0.001286211
gamma,-0.012123965,0.004837993,0.093579526,0.00017498,-0.009218001,-0.014639669
delta,0.00049798,0.000792868,0.00017498,0.00273959,-0.009532456,-0.001096139
lambda,0.012119108,-0.012518032,-0.009218001,-0.009532456,0.97169048,-0.178841528
luce,-0.006059018,-0.001286211,-0.014639669,-0.001096139,-0.178841528,0.070903932
alpha,0.005063559,-0.000405663,-0.00052424,0.004157792,-0.000939098,-0.012970259
beta,-0.000405663,0.036233351,0.004233086,-0.014389024,-0.032130105,0.004877036
gamma,-0.00052424,0.004233086,0.014967386,-0.003079172,-0.008384457,-0.001453967
delta,0.004157792,-0.014389024,-0.003079172,0.020982793,-0.02940018,-0.016919721
lambda,-0.000939098,-0.032130105,-0.008384457,-0.02940018,1.307458008,-0.023394969
luce,-0.012970259,0.004877036,-0.001453967,-0.016919721,-0.023394969,0.07287341
alpha,0.002780893,-0.000299178,-0.001706734,0.001627565,0.031783665,-0.002663191
beta,-0.000299178,0.001173887,0.001033934,0.000248919,-0.018888224,-0.000188408
gamma,-0.001706734,0.001033934,0.007363159,-0.002302777,-0.011168555,-0.000443503
delta,0.001627565,0.000248919,-0.002302777,0.003429956,0.002965968,-0.0001941
lambda,0.031783665,-0.018888224,-0.011168555,0.002965968,0.767465936,-0.049030836
luce,-0.002663191,-0.000188408,-0.000443503,-0.0001941,-0.049030836,0.032719267
alpha,0.049778771,0.001048001,-0.011297868,-0.000872065,0.031507608,-0.00523549
beta,0.001048001,0.000830095,0.002148333,5.51E-05,-0.006257053,2.77E-05
gamma,-0.011297868,0.002148333,0.085098136,-0.002264913,0.029829298,-0.001575441
delta,-0.000872065,5.51E-05,-0.002264913,0.001017099,-0.00543504,-0.000644977
lambda,0.031507608,-0.006257053,0.029829298,-0.00543504,0.98390192,-0.169640058
luce,-0.00523549,2.77E-05,-0.001575441,-0.000644977,-0.169640058,0.07377905
alpha,0.033970796,-0.001850378,-0.018452377,0.003474804,0.064718781,-0.006031512
beta,-0.001850378,0.00371878,0.00363233,0.000728799,-0.031078393,-0.003263002
gamma,-0.018452377,0.00363233,0.02077318,-0.001513464,-0.032304685,-0.00654525
delta,0.003474804,0.000728799,-0.001513464,0.006353295,-0.016395198,-0.004279853
lambda,0.064718781,-0.031078393,-0.032304685,-0.016395198,0.996354854,-0.136053264
luce,-0.006031512,-0.003263002,-0.00654525,-0.004279853,-0.136053264,0.073718055
alpha,0.035715035,-0.00522495,-0.019376914,0.00257721,0.014602082,-0.001848238
beta,-0.00522495,0.072857852,0.026572903,-0.010589409,-0.04596145,-0.008657034
