,delta,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
deltaTemp,0.936255534,0.042975684,0.843615682,0.906936005,0.942389324,0.97223884,0.997140297
deltaTemp,0.81851279,0.056816721,0.721186923,0.776298637,0.814091592,0.85470603,0.941082709
deltaTemp,0.772028626,0.046223634,0.678566993,0.739944957,0.773618762,0.804325525,0.860831418
deltaTemp,0.522552004,0.196746194,0.109052128,0.391200316,0.507921374,0.645671696,0.932467209
deltaTemp,0.912978094,0.061136488,0.771980417,0.873244597,0.920927781,0.962765416,0.996078092
deltaTemp,0.339703832,0.169213969,0.076456548,0.201950968,0.328366314,0.452610025,0.709044692
deltaTemp,0.291239148,0.300479011,0.007280055,0.055399347,0.122965733,0.538514204,0.939552009
deltaTemp,0.23919173,0.108506867,0.050145017,0.160664417,0.229564814,0.305169563,0.476913844
deltaTemp,0.116361504,0.093847965,0.006143059,0.047218465,0.09235599,0.162100467,0.352430778
deltaTemp,0.085762155,0.067507974,0.004100654,0.036038676,0.074197459,0.115429631,0.263364503
deltaTemp,0.309399875,0.229029815,0.012250422,0.130076915,0.252639396,0.44789537,0.880740386
deltaTemp,0.269557828,0.031229318,0.209713054,0.248446554,0.269339743,0.289493282,0.334765952
deltaTemp,0.766611161,0.076575473,0.627796655,0.711815123,0.762680083,0.818073812,0.920644359
deltaTemp,0.229382494,0.200340964,0.00848554,0.089485405,0.167086788,0.305217163,0.806546781
deltaTemp,0.890994949,0.052341091,0.79411901,0.851967549,0.888020333,0.928777699,0.98866216
deltaTemp,0.269958794,0.144854385,0.022857893,0.171128823,0.258695035,0.345835379,0.60036904
deltaTemp,0.838456329,0.058565829,0.726736122,0.798675171,0.838358694,0.879301525,0.957470995
deltaTemp,0.650313473,0.031891991,0.599805587,0.626394828,0.646585937,0.670877789,0.720163705
deltaTemp,0.600441588,0.079707556,0.459023537,0.545339335,0.596913724,0.64888923,0.771562319
deltaTemp,0.150108392,0.075655039,0.016662029,0.101868283,0.142599347,0.196065588,0.309907291
deltaTemp,0.583758358,0.039585258,0.512289018,0.555960012,0.582752935,0.609060928,0.665065561
deltaTemp,0.737914419,0.207237168,0.159342309,0.639256961,0.782028747,0.891217923,0.990632049
deltaTemp,0.384691654,0.027257293,0.33626069,0.365130501,0.382601254,0.40293035,0.441215011
deltaTemp,0.089207988,0.07150313,0.004140234,0.03943181,0.074750281,0.119893797,0.289166605
deltaTemp,0.212561134,0.023555552,0.169791489,0.194925741,0.212060756,0.229295158,0.258746213
deltaTemp,0.220706171,0.075488512,0.085021878,0.16994436,0.216759503,0.26570786,0.377569606
deltaTemp,0.393820142,0.025597637,0.34768107,0.37543158,0.392864671,0.411783681,0.444300764
deltaTemp,0.114700533,0.069313113,0.007342591,0.064326912,0.111606566,0.153861368,0.271087432
deltaTemp,0.209241182,0.09061142,0.022481202,0.148269441,0.211520036,0.270447734,0.384874743
deltaTemp,0.295280092,0.01077232,0.275851586,0.287862384,0.2947439,0.301812257,0.318775167
deltaTemp,0.769773757,0.110126425,0.568436178,0.689544243,0.763010586,0.852811468,0.97481386
deltaTemp,0.338043043,0.02177867,0.301224485,0.322910765,0.335970698,0.350503692,0.38534203
deltaTemp,0.846228492,0.045007503,0.778071561,0.814186431,0.839785527,0.869525867,0.955058966
deltaTemp,0.275830453,0.041344713,0.200243724,0.247032283,0.273491661,0.303212686,0.360173568
deltaTemp,0.784188791,0.050028786,0.691084959,0.750559737,0.783063975,0.81731189,0.884750751
deltaTemp,0.594378036,0.14366346,0.365083657,0.489328762,0.570929597,0.678079772,0.925478195
deltaTemp,0.113764931,0.111062919,0.004099265,0.043986843,0.084006214,0.141394214,0.44138312
deltaTemp,0.630011459,0.036928803,0.554626756,0.60477706,0.631162609,0.655881357,0.700809254
deltaTemp,0.265835839,0.230543272,0.010197327,0.093660431,0.189552349,0.381001409,0.863261067
deltaTemp,0.71686496,0.023789317,0.67190746,0.701763562,0.715969723,0.732249939,0.765335318
deltaTemp,0.924964333,0.049471461,0.820376856,0.890320887,0.931353697,0.966079451,0.995353468
deltaTemp,0.382689255,0.182868668,0.015649612,0.282933791,0.408422113,0.497347823,0.730953362
deltaTemp,0.625589967,0.121402227,0.426618989,0.543309043,0.609090547,0.697733961,0.912798386
deltaTemp,0.720721328,0.0910256,0.561358245,0.654802246,0.715819943,0.781083009,0.907601242
deltaTemp,0.203938894,0.027648231,0.151545061,0.184721646,0.203457194,0.22318436,0.257331658
deltaTemp,0.830898749,0.093937757,0.641336555,0.763158037,0.834510442,0.906519421,0.985113304
deltaTemp,0.33078365,0.040317596,0.250839283,0.303134371,0.333107774,0.356981916,0.411576803
deltaTemp,0.877197454,0.0953331,0.64463374,0.82262151,0.898996592,0.953123966,0.994698481
deltaTemp,0.31952092,0.017352091,0.288665226,0.307368881,0.31861973,0.331507809,0.354971277
deltaTemp,0.515978931,0.024026929,0.471569564,0.498645098,0.515474505,0.532130711,0.565394945
deltaTemp,0.297565061,0.12432212,0.033559474,0.224442348,0.307114566,0.376712288,0.52742079
deltaTemp,0.170048909,0.083026553,0.017445966,0.117452533,0.169260989,0.22114601,0.327379598
deltaTemp,0.636700033,0.035341168,0.564364169,0.612859327,0.637635827,0.662138424,0.699654239
deltaTemp,0.198126854,0.191094487,0.008109637,0.060044754,0.127747759,0.278654027,0.729974383
deltaTemp,0.19349881,0.110591792,0.033531325,0.128388901,0.167590578,0.233660889,0.464145674
deltaTemp,0.174366398,0.142512995,0.004742766,0.067139721,0.135601151,0.256350253,0.520796038
deltaTemp,0.34354674,0.033571001,0.284779909,0.320087627,0.340845826,0.364756517,0.415938227
deltaTemp,0.839571909,0.09878011,0.638144597,0.767150786,0.850412945,0.922359085,0.989239841
deltaTemp,0.498318547,0.039104003,0.427149587,0.471645154,0.496583475,0.523508955,0.578970399
deltaTemp,0.812408779,0.044587908,0.735360067,0.780712019,0.810010741,0.840478287,0.907644538
deltaTemp,0.940683086,0.043251462,0.842686725,0.912018335,0.948088832,0.977123125,0.998380912
deltaTemp,0.379556854,0.02103368,0.341305044,0.364777912,0.378985351,0.393611583,0.421901151
deltaTemp,0.233030868,0.024733888,0.183186066,0.216089723,0.234081882,0.250467783,0.278494201
deltaTemp,0.530673176,0.023970285,0.481438522,0.515944904,0.53199642,0.547223894,0.574360285
deltaTemp,0.372237393,0.059483939,0.267409867,0.330474594,0.369521566,0.40881,0.502724301
deltaTemp,0.865447703,0.100189756,0.631214591,0.806535516,0.887702387,0.945282533,0.994178656
deltaTemp,0.26432593,0.166938782,0.022450324,0.140316606,0.243857386,0.3572408,0.677175
deltaTemp,0.837918338,0.053340145,0.748592055,0.799699284,0.831074336,0.871747645,0.948643131
deltaTemp,0.462820861,0.070005733,0.340866164,0.414023423,0.458634005,0.506184721,0.610283262
deltaTemp,0.684824553,0.027729944,0.633153024,0.666337141,0.68343508,0.702412821,0.743117493
deltaTemp,0.211721758,0.092207879,0.031407492,0.148874024,0.204408011,0.271113402,0.405119349
deltaTemp,0.370128574,0.289904066,0.007379364,0.098668799,0.329594089,0.605655267,0.937650851
deltaTemp,0.129659414,0.089861462,0.008996004,0.062557805,0.112258345,0.179115656,0.347061361
deltaTemp,0.319176643,0.246879615,0.022454459,0.126917422,0.240590372,0.474221813,0.915253865
deltaTemp,0.109571748,0.071432938,0.006395014,0.058449158,0.104137453,0.145045304,0.277498592
deltaTemp,0.370474907,0.2162001,0.030636406,0.20599853,0.339508812,0.497590568,0.883477985
deltaTemp,0.417425673,0.175261629,0.043581682,0.311884993,0.428097529,0.532123535,0.745119627
deltaTemp,0.782261415,0.104037249,0.590316471,0.707867766,0.778969553,0.857770385,0.982897112
deltaTemp,0.878110378,0.084755813,0.69185798,0.822517081,0.892402982,0.947829549,0.995199382
deltaTemp,0.101893614,0.077358638,0.005615887,0.047807041,0.084907474,0.134219495,0.307189142
deltaTemp,0.25136087,0.164039926,0.031307882,0.147437372,0.211314604,0.309608439,0.733626619
deltaTemp,0.372974614,0.047550257,0.28195817,0.339961961,0.373144966,0.403792865,0.468295879
deltaTemp,0.125424146,0.112009264,0.004536306,0.048895146,0.096306795,0.164966838,0.433419511
deltaTemp,0.161370649,0.169339379,0.006519635,0.055586694,0.103932801,0.201832445,0.687527203
