,gamma,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
gammaTemp,0.717817489,0.209219823,0.20191719,0.604348052,0.761685978,0.875601714,0.985067577
gammaTemp,0.856326168,0.1053895,0.622407376,0.790713703,0.875053852,0.94272437,0.995222584
gammaTemp,0.41143676,0.253644346,0.026305829,0.211882791,0.358288829,0.586676719,0.952332525
gammaTemp,0.423872271,0.330993883,0.013038505,0.105252318,0.359894079,0.744460547,0.977900135
gammaTemp,0.697736808,0.214851384,0.181989586,0.574244249,0.734892949,0.868605359,0.986261816
gammaTemp,0.719434724,0.137269255,0.461612918,0.618670109,0.716152518,0.82227977,0.972313641
gammaTemp,0.56051379,0.22498889,0.166573444,0.385244239,0.574110969,0.725792642,0.964909251
gammaTemp,0.375958775,0.29385741,0.009899081,0.101306786,0.333763321,0.610825133,0.943043638
gammaTemp,0.240250221,0.271053486,0.006950817,0.057019578,0.115815513,0.314770175,0.930081833
gammaTemp,0.225154485,0.215405228,0.011030013,0.077000501,0.14880595,0.298472989,0.864755563
gammaTemp,0.548570466,0.047733017,0.459237261,0.516271267,0.548907865,0.579874135,0.64463614
gammaTemp,0.29576316,0.295146022,0.007216325,0.06749004,0.152811424,0.507962288,0.950995411
gammaTemp,0.459757911,0.043322051,0.374395883,0.431249898,0.460424954,0.489058248,0.545485367
gammaTemp,0.943235337,0.044788605,0.83466897,0.916430076,0.953140574,0.978311249,0.998166467
gammaTemp,0.491610424,0.305907708,0.022007481,0.196581653,0.500476916,0.765176359,0.97855198
gammaTemp,0.819174141,0.12234127,0.552018292,0.742035852,0.834604476,0.91608047,0.992029926
gammaTemp,0.570758248,0.085808851,0.425968375,0.515966629,0.564285395,0.616859203,0.75429818
gammaTemp,0.49444294,0.291715848,0.027985968,0.228772513,0.486875273,0.755719305,0.971441455
gammaTemp,0.33469363,0.144129039,0.147231669,0.229320795,0.308014198,0.410536105,0.691922686
gammaTemp,0.612116153,0.327275825,0.017480739,0.30334635,0.735035325,0.887283475,0.989526697
gammaTemp,0.619253248,0.064832104,0.511634179,0.573775693,0.613506079,0.656544007,0.764811054
gammaTemp,0.951439158,0.037288998,0.861024588,0.929683018,0.95844088,0.981795115,0.998757249
gammaTemp,0.50239996,0.152885526,0.225644529,0.398286541,0.49169296,0.597775797,0.841235893
gammaTemp,0.245385953,0.193719575,0.013656134,0.10442207,0.197169873,0.334316519,0.783335198
gammaTemp,0.344846637,0.058575532,0.235803276,0.301548365,0.342847577,0.388390112,0.458317744
gammaTemp,0.387131336,0.3543066,0.007217381,0.071932206,0.196487848,0.761363734,0.981345306
gammaTemp,0.31344444,0.30068717,0.006996586,0.074291004,0.166115878,0.547668515,0.954751754
gammaTemp,0.226934289,0.128736836,0.025408787,0.149658193,0.198898898,0.276414618,0.555052402
gammaTemp,0.226101369,0.234677393,0.008155377,0.067804301,0.131871148,0.290384566,0.873533086
gammaTemp,0.273310479,0.275911957,0.009031056,0.071651246,0.146782983,0.414129771,0.93916278
gammaTemp,0.426448003,0.270011215,0.016071913,0.192285697,0.40252493,0.627563012,0.947155539
gammaTemp,0.342427878,0.213309156,0.04365108,0.183887044,0.281641856,0.447498634,0.887199645
gammaTemp,0.467231432,0.286740594,0.023867535,0.209714142,0.459902192,0.715794015,0.968016057
gammaTemp,0.459645421,0.259216601,0.048544059,0.224761223,0.447039282,0.668093264,0.951461158
gammaTemp,0.392771175,0.268137621,0.024024247,0.170034806,0.335430839,0.585440849,0.94398914
gammaTemp,0.52615651,0.263745078,0.051880227,0.306992813,0.55388926,0.74112856,0.955262542
gammaTemp,0.714111251,0.125564766,0.486243021,0.624141581,0.706513516,0.80419503,0.961087009
gammaTemp,0.533788124,0.074795761,0.403916308,0.47964517,0.527744427,0.58032333,0.697622814
gammaTemp,0.589649304,0.063816709,0.471159496,0.546094551,0.58686198,0.632753689,0.722402202
gammaTemp,0.239681516,0.280402042,0.006862439,0.058140838,0.111421572,0.293517292,0.948306435
gammaTemp,0.389926168,0.255326954,0.016950252,0.187846174,0.338731156,0.561219583,0.94433837
gammaTemp,0.390960681,0.20618137,0.095998687,0.227322209,0.354257569,0.515283555,0.883077454
gammaTemp,0.466611729,0.254766342,0.038674128,0.241347048,0.474408528,0.659988858,0.925182851
gammaTemp,0.641893566,0.069894111,0.513955522,0.594668011,0.638943465,0.687413756,0.784514265
gammaTemp,0.435603811,0.251427077,0.024101313,0.224242468,0.434858823,0.620372686,0.930669022
gammaTemp,0.584130315,0.252838007,0.074634175,0.399457088,0.599500623,0.794363583,0.978285731
gammaTemp,0.775504139,0.051517516,0.682926281,0.740569418,0.772228396,0.80779696,0.887515633
gammaTemp,0.76684818,0.142965665,0.447742098,0.67426086,0.775065278,0.879807526,0.983331122
gammaTemp,0.353869627,0.083468165,0.214047712,0.294017385,0.348451112,0.40388653,0.54334635
gammaTemp,0.352426706,0.293107525,0.0090154,0.098582752,0.2556491,0.582671443,0.960437431
gammaTemp,0.441732456,0.174204102,0.152158919,0.315857721,0.427570141,0.550924644,0.835541292
gammaTemp,0.170524441,0.210754628,0.004827516,0.044963426,0.093879801,0.17605105,0.809796465
gammaTemp,0.725201165,0.175531692,0.351112306,0.604203828,0.739749179,0.869982861,0.987027725
gammaTemp,0.432208654,0.059655957,0.319795345,0.393826431,0.429873446,0.471469879,0.553118107
gammaTemp,0.402803531,0.033700007,0.336950333,0.381345706,0.401168296,0.423346952,0.474128013
gammaTemp,0.526274172,0.281602777,0.031379117,0.281823698,0.559002426,0.76349394,0.971450056
gammaTemp,0.348971335,0.245143153,0.017998853,0.155307255,0.291626411,0.498321084,0.900920444
gammaTemp,0.695498127,0.196684096,0.21053663,0.578663512,0.715402559,0.843323903,0.985518663
gammaTemp,0.393672649,0.270154958,0.02057262,0.161688434,0.343401282,0.590010773,0.945191852
gammaTemp,0.366190862,0.277288371,0.015010011,0.128881247,0.295863985,0.577462754,0.941439891
gammaTemp,0.491592378,0.325358353,0.018608731,0.157538511,0.512831125,0.799705168,0.978438446
gammaTemp,0.834097818,0.123032527,0.544827954,0.762315829,0.858191654,0.932355789,0.9940241
gammaTemp,0.53410669,0.079119613,0.378965951,0.480875666,0.533721871,0.584362984,0.698994457
gammaTemp,0.734788483,0.165185816,0.383503859,0.623105664,0.745592518,0.872057864,0.98354672
gammaTemp,0.377748415,0.288476002,0.014333999,0.115807986,0.309593248,0.611115272,0.943238727
gammaTemp,0.329695494,0.308070471,0.010657579,0.082157627,0.180556274,0.584977965,0.96071991
gammaTemp,0.721313677,0.1574178,0.385818805,0.61948991,0.731574888,0.842262763,0.979545217
gammaTemp,0.525385342,0.262401674,0.05953071,0.310612182,0.529421765,0.7372721,0.970666824
gammaTemp,0.406614348,0.128953121,0.189153408,0.31748171,0.395772477,0.480410145,0.711298048
gammaTemp,0.494689865,0.202922576,0.173739174,0.341697628,0.475320091,0.627610917,0.952099086
gammaTemp,0.506842101,0.300874709,0.017796441,0.206577266,0.562802587,0.758515816,0.964882454
gammaTemp,0.586400703,0.076162158,0.446835189,0.533209111,0.583471908,0.634688778,0.752854704
gammaTemp,0.206526199,0.210627433,0.0080345,0.06949147,0.128485239,0.259796475,0.828945029
gammaTemp,0.622306807,0.056237909,0.512571775,0.585181698,0.622327401,0.657972879,0.733327496
gammaTemp,0.323202521,0.165920287,0.047075381,0.208095221,0.294270284,0.40659279,0.731572693
gammaTemp,0.942066955,0.043333648,0.839975999,0.916973401,0.951491887,0.976884056,0.997638584
gammaTemp,0.246745761,0.065088785,0.156508934,0.200572142,0.233930373,0.280500294,0.412023025
gammaTemp,0.462457593,0.075478153,0.322259318,0.41274282,0.460456873,0.510673893,0.619295904
gammaTemp,0.298785276,0.28859237,0.007461357,0.077413587,0.168690879,0.488375259,0.94961612
gammaTemp,0.305147284,0.223249893,0.017163714,0.122092813,0.258198214,0.448609033,0.815073036
gammaTemp,0.701814231,0.059926394,0.598547797,0.660391498,0.697699964,0.73881853,0.82706009
gammaTemp,0.762861642,0.099507392,0.575378204,0.694611694,0.757859243,0.831628438,0.96045557
gammaTemp,0.390819101,0.140902425,0.165406665,0.297157272,0.373293922,0.466320767,0.736144135
gammaTemp,0.635670487,0.305863656,0.031509434,0.428437548,0.737650646,0.885462496,0.99136315
gammaTemp,0.158249081,0.212169326,0.005742192,0.047574139,0.087660609,0.146085969,0.89093851
gammaTemp,0.700154878,0.133916899,0.442465896,0.607288413,0.695304413,0.793248205,0.96065192
gammaTemp,0.342187249,0.30206375,0.011770676,0.089503643,0.216155387,0.587696158,0.958523529
gammaTemp,0.416598118,0.298788387,0.016399901,0.14008038,0.363365248,0.681030458,0.959136266
gammaTemp,0.244807194,0.239445817,0.010588305,0.073764362,0.143763614,0.357994941,0.88106302
gammaTemp,0.38228258,0.260010547,0.029425876,0.172787562,0.319588645,0.568559769,0.94341327
gammaTemp,0.609289472,0.09561314,0.430532635,0.545758832,0.605572995,0.668740584,0.809046431
gammaTemp,0.750984425,0.093282033,0.572852473,0.685446815,0.747656483,0.809848626,0.943692863
gammaTemp,0.376829269,0.308669305,0.012205882,0.104232334,0.280651135,0.650090345,0.954175497
gammaTemp,0.556294692,0.094131489,0.388397668,0.496116366,0.546833452,0.604600432,0.768906494
gammaTemp,0.314768053,0.103616558,0.155910184,0.24315951,0.300946544,0.366642322,0.57061215
gammaTemp,0.746631051,0.112435024,0.535993255,0.669128632,0.7443776,0.821846505,0.969972
gammaTemp,0.569591303,0.053295208,0.474561007,0.531880014,0.568109823,0.604024808,0.682987787
gammaTemp,0.598569969,0.064987354,0.484079138,0.552529518,0.593843618,0.640562659,0.739693694
gammaTemp,0.463567087,0.262540587,0.036878802,0.248738682,0.430863492,0.667230605,0.957886638
gammaTemp,0.341156624,0.304212808,0.01158624,0.088007462,0.212800577,0.592148511,0.970673995
gammaTemp,0.588623416,0.252913411,0.093317036,0.394891789,0.610952375,0.798910633,0.981933502
gammaTemp,0.433514391,0.294849787,0.015011679,0.158928347,0.4047179,0.687833824,0.953727071
gammaTemp,0.193747743,0.222540764,0.007258779,0.060040222,0.111424865,0.211214977,0.877882981
gammaTemp,0.252074481,0.267857035,0.00939598,0.059661556,0.125884871,0.377995955,0.919567132
gammaTemp,0.607068032,0.299390794,0.025303034,0.403478064,0.684950034,0.859663992,0.984570618
gammaTemp,0.514726035,0.269729362,0.045209163,0.292925918,0.512221573,0.744517769,0.97035906
gammaTemp,0.248024149,0.217191305,0.009952856,0.086446724,0.177961246,0.348658072,0.840071352
gammaTemp,0.262790968,0.250977401,0.009131546,0.076585402,0.162990943,0.382468752,0.895030366
gammaTemp,0.333086907,0.262193235,0.022975779,0.130618014,0.229049561,0.513747175,0.926150023
gammaTemp,0.285231022,0.281906904,0.008023771,0.073249609,0.151352806,0.461810634,0.933992864
gammaTemp,0.511156235,0.059118552,0.40825708,0.469483178,0.506344375,0.548496109,0.63759401
gammaTemp,0.47971144,0.068215468,0.356796765,0.432419418,0.476665948,0.522278196,0.629596996
gammaTemp,0.346356264,0.194759441,0.126497263,0.201783956,0.286638405,0.447538063,0.8746937
gammaTemp,0.40669418,0.30147177,0.010983274,0.129500574,0.353183358,0.666297156,0.962078997
gammaTemp,0.395409672,0.2936161,0.011586335,0.12807618,0.336282678,0.642863589,0.955362421
gammaTemp,0.63916993,0.173673072,0.28854663,0.522224441,0.633623785,0.758284298,0.968202496
gammaTemp,0.357055784,0.214381918,0.05187737,0.200967066,0.300878439,0.46777666,0.906883071
gammaTemp,0.577652758,0.090762093,0.40565707,0.516658582,0.574875749,0.635068904,0.7649443
gammaTemp,0.368660864,0.278917892,0.015237494,0.135358566,0.287166692,0.580343237,0.951469094
gammaTemp,0.295732865,0.287816316,0.008419026,0.073653405,0.163792005,0.489608041,0.942492195
gammaTemp,0.263946528,0.192718359,0.014198813,0.126727828,0.217796872,0.356765243,0.772955937
gammaTemp,0.598500204,0.317789184,0.015749166,0.314913263,0.699441581,0.872403259,0.986689087
gammaTemp,0.724178538,0.198800783,0.172692467,0.622805698,0.760494962,0.874226941,0.988924818
gammaTemp,0.44732273,0.294312212,0.020060533,0.175684729,0.415050051,0.702149074,0.963117319
gammaTemp,0.796614981,0.114066792,0.566847743,0.719668423,0.803215189,0.884088424,0.986673589
gammaTemp,0.444761885,0.087692574,0.275561572,0.386800697,0.444200742,0.500582843,0.617855576
gammaTemp,0.672551552,0.2146226,0.201526887,0.532796418,0.702934833,0.842196297,0.985310329
gammaTemp,0.346847605,0.042837583,0.269047531,0.317461617,0.345997196,0.374462789,0.437165258
gammaTemp,0.509792157,0.237361737,0.074851665,0.324773682,0.499125702,0.692527162,0.953288382
gammaTemp,0.412664277,0.316596865,0.013951288,0.126193509,0.33581926,0.692922438,0.978309067
gammaTemp,0.500153959,0.308153208,0.016511079,0.19106144,0.530701832,0.776038577,0.973569442
gammaTemp,0.535378761,0.284739794,0.022435784,0.300565214,0.562213535,0.777062978,0.978188253
gammaTemp,0.329866785,0.182563453,0.064799762,0.188484092,0.295625323,0.433059557,0.78824472
gammaTemp,0.818640989,0.074122235,0.676443738,0.766192364,0.818678627,0.870369249,0.962599948
gammaTemp,0.431905389,0.312829491,0.015543064,0.127491305,0.403531697,0.709202788,0.972991989
gammaTemp,0.864857134,0.092059202,0.656854552,0.803477975,0.877991431,0.938889027,0.993554576
gammaTemp,0.794487802,0.122874261,0.549954239,0.706485528,0.801315547,0.894424691,0.989244832
gammaTemp,0.283144211,0.27162345,0.009516177,0.077379865,0.166299584,0.441500255,0.943334636
gammaTemp,0.541757064,0.290775156,0.030571061,0.285806018,0.578836224,0.795102371,0.975737795
gammaTemp,0.486744214,0.040070494,0.411895799,0.459071411,0.486427463,0.512243925,0.564093213
gammaTemp,0.317588774,0.307153166,0.009027151,0.083597465,0.164385203,0.562059032,0.958706971
gammaTemp,0.239394416,0.130616668,0.029496163,0.150273233,0.219147936,0.310321334,0.549357806
gammaTemp,0.38261096,0.2730184,0.013435809,0.150455598,0.323903766,0.593886795,0.93648305
gammaTemp,0.643305101,0.04269775,0.561909102,0.61355033,0.642519612,0.671028604,0.728941071
gammaTemp,0.455056303,0.176742475,0.181380914,0.323449632,0.432120065,0.561672062,0.889594939
gammaTemp,0.307504859,0.291951478,0.008835311,0.082278863,0.171119382,0.504685531,0.949879018
gammaTemp,0.453997593,0.045368126,0.363819504,0.423478585,0.456563588,0.484632938,0.542058973
gammaTemp,0.758066463,0.20188308,0.223027755,0.666657765,0.808435283,0.910134767,0.991195584
gammaTemp,0.584110121,0.052691668,0.486043244,0.546454592,0.583906543,0.619472641,0.689315883
gammaTemp,0.44863011,0.272315646,0.034418973,0.216390591,0.411000483,0.66931466,0.955922372
gammaTemp,0.257192802,0.029211959,0.210090531,0.235435096,0.254337579,0.274400694,0.321641796
gammaTemp,0.34148207,0.108635571,0.17405838,0.262097402,0.327850271,0.405120692,0.596079068
gammaTemp,0.162132738,0.219522704,0.005322799,0.047707795,0.093167572,0.151162781,0.932642211
gammaTemp,0.550724109,0.081759875,0.395191825,0.494667882,0.549576592,0.601823774,0.714866133
gammaTemp,0.508189998,0.04466823,0.418732486,0.478373299,0.508606756,0.53866819,0.592350123
gammaTemp,0.452865051,0.234821954,0.076649203,0.260063528,0.423625015,0.615768037,0.938175372
gammaTemp,0.671133445,0.101158543,0.487491408,0.599623874,0.666793033,0.736933735,0.886593775
gammaTemp,0.920684437,0.063202761,0.768693007,0.884488778,0.935913468,0.971036304,0.997054788
gammaTemp,0.793849386,0.086465179,0.6324659,0.731222975,0.790961327,0.855285028,0.96244601
gammaTemp,0.269321168,0.231356063,0.010279046,0.08543104,0.195246385,0.410646531,0.855867756
gammaTemp,0.243518804,0.207514347,0.012858745,0.091709012,0.180453385,0.333013394,0.812722346
gammaTemp,0.778588916,0.052128002,0.692429001,0.740581808,0.77354215,0.811242651,0.893463176
gammaTemp,0.649351714,0.064682487,0.532416514,0.604517704,0.646456624,0.690283733,0.784753407
gammaTemp,0.870230475,0.079297444,0.695192734,0.817598656,0.878678821,0.93245928,0.99045881
gammaTemp,0.895185754,0.061989266,0.761883279,0.85509348,0.900609887,0.944809109,0.990592179
gammaTemp,0.580090232,0.265005208,0.061677704,0.365606581,0.599770857,0.815772446,0.975701033
