,lambda,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
lambdaTemp,3.515864033,0.917307184,1.692426946,2.805410736,3.584804343,4.281024454,4.924208801
lambdaTemp,3.266440237,0.996196959,1.458088221,2.485219663,3.267944918,4.103375419,4.929364053
lambdaTemp,3.020405947,0.991241012,1.341451062,2.235288909,2.975885694,3.777623324,4.877842238
lambdaTemp,2.016380622,0.90120088,1.027786796,1.31158819,1.745339489,2.498123133,4.410465
lambdaTemp,3.820883603,0.790565157,2.137496082,3.263191931,3.927888269,4.468132388,4.960468723
lambdaTemp,2.027482232,1.003500239,1.022945458,1.260951013,1.659002224,2.506027215,4.619677176
lambdaTemp,2.855773205,1.147545346,1.079084721,1.840431702,2.789127997,3.821521235,4.856954835
lambdaTemp,2.78154316,1.136607404,1.092704415,1.796371787,2.651654826,3.706226665,4.814656298
lambdaTemp,2.961417096,1.14937617,1.062535232,1.985322808,2.936874535,3.926796545,4.898504722
lambdaTemp,2.904063469,1.124563005,1.080899616,1.933955352,2.862253847,3.84990562,4.840747873
lambdaTemp,2.716060976,1.153157831,1.064319124,1.701019108,2.580823368,3.660489475,4.831491852
lambdaTemp,3.086908067,1.088871701,1.155876703,2.231019355,3.084599306,4.00335656,4.908489336
lambdaTemp,2.197237277,0.834364737,1.086683594,1.565892789,2.030696473,2.612962352,4.377050285
lambdaTemp,2.733783949,1.128153181,1.066834451,1.761040399,2.587440422,3.663871228,4.823785849
lambdaTemp,3.028280764,0.985743618,1.380934534,2.2395224,2.949046681,3.794794835,4.864991869
lambdaTemp,2.917185168,1.143441301,1.076311155,1.912531771,2.877354722,3.8556539,4.892016104
lambdaTemp,3.636394207,0.876051332,1.801762972,3.01896551,3.734641784,4.341394527,4.940359784
lambdaTemp,2.707711617,0.991918303,1.148612412,1.894962608,2.605805956,3.43007007,4.744960084
lambdaTemp,2.792813731,0.998175763,1.16766761,2.009989724,2.692218206,3.518099618,4.841164446
lambdaTemp,3.114492032,1.155632021,1.128337106,2.125379334,3.143770682,4.139257039,4.918455934
lambdaTemp,2.147155915,0.540366135,1.242676967,1.780384869,2.081141042,2.443988478,3.482890546
lambdaTemp,2.887386022,1.075289054,1.106489115,2.005279482,2.810575955,3.744361435,4.84930132
lambdaTemp,2.818622702,1.058942904,1.141699341,1.93103504,2.713327896,3.653876322,4.802265662
lambdaTemp,2.924074321,1.160016492,1.075874855,1.922101728,2.908685687,3.929591437,4.896707526
lambdaTemp,3.514533212,0.889305854,1.804155567,2.832723278,3.552319271,4.258090254,4.933760682
lambdaTemp,3.275716576,1.125519445,1.167616149,2.340569876,3.416923733,4.261965739,4.914798907
lambdaTemp,3.700664,0.892410967,1.727665493,3.122433053,3.82827671,4.464103275,4.946021584
lambdaTemp,2.963553387,1.191471978,1.085702816,1.896996844,2.94094334,4.032493212,4.909161862
lambdaTemp,3.046565292,1.143558181,1.121110811,2.069571915,3.068798163,4.029109362,4.894665104
lambdaTemp,3.290401498,0.987702916,1.442919299,2.522314729,3.313361895,4.106245234,4.909278066
lambdaTemp,2.970211824,1.03960516,1.204766674,2.123418231,2.910107151,3.808484542,4.835961984
lambdaTemp,3.130109524,1.043960221,1.237005525,2.296097312,3.136826719,4.004952207,4.87313131
lambdaTemp,3.901094095,0.785250348,2.175416525,3.363683252,4.035113249,4.569050224,4.964111918
lambdaTemp,3.675980693,0.948162957,1.491016269,3.051933393,3.865741302,4.449117241,4.950809772
lambdaTemp,1.482237678,0.413603489,1.012832915,1.163351756,1.378225376,1.679275643,2.546829398
lambdaTemp,2.958804817,1.089924297,1.116052546,2.030338681,2.961909308,3.849491511,4.864007443
lambdaTemp,2.894007183,1.171479873,1.093539051,1.833407772,2.841201194,3.902274662,4.872596304
lambdaTemp,3.732374257,0.853823217,1.886543773,3.131016274,3.867509998,4.440744512,4.945440261
lambdaTemp,2.755233291,1.1666723,1.070521178,1.723391999,2.609213192,3.76038447,4.855698763
lambdaTemp,3.454831198,0.917834223,1.698411184,2.730332439,3.47198482,4.215431306,4.931193583
lambdaTemp,2.039052042,0.793880312,1.046668485,1.399942068,1.867680208,2.49746538,4.11572853
lambdaTemp,2.835049039,1.109737452,1.070407138,1.936919858,2.772602359,3.735324727,4.848482028
lambdaTemp,1.753641782,0.709725199,1.016743604,1.225619565,1.527966704,2.068900618,3.665133412
lambdaTemp,3.282978224,0.934929929,1.545297125,2.559703934,3.29167121,4.024235168,4.905918346
lambdaTemp,3.266076636,1.034620448,1.298867326,2.46412188,3.330210217,4.141012848,4.895812604
lambdaTemp,4.350017052,0.524051696,3.025680202,4.072952697,4.472478881,4.76275603,4.976200831
lambdaTemp,3.133484895,0.898035327,1.56883022,2.446925234,3.048478575,3.810694369,4.878943778
lambdaTemp,3.282259827,0.999867087,1.383365905,2.474658758,3.333910329,4.113550698,4.912343525
lambdaTemp,2.936486164,0.988645706,1.292715616,2.146768404,2.864915643,3.657385867,4.819396828
lambdaTemp,3.465519367,0.91637903,1.696945824,2.744872543,3.5247397,4.257073062,4.907190865
lambdaTemp,3.050563182,1.130650144,1.111348919,2.121360533,3.047103881,4.034839855,4.883555525
lambdaTemp,3.129885989,1.141547256,1.091749949,2.157297425,3.191424411,4.10550653,4.906157801
lambdaTemp,3.970287,0.721532765,2.332286073,3.480929357,4.080448306,4.570903552,4.962450305
lambdaTemp,2.76692581,1.154528228,1.060525396,1.735629012,2.667496629,3.715461561,4.858320488
lambdaTemp,2.853353834,1.163793294,1.093673811,1.808756159,2.775163821,3.831734937,4.886104615
lambdaTemp,2.918834959,1.139046031,1.112157998,1.942050886,2.862633972,3.867853324,4.875705441
lambdaTemp,2.040519424,0.901941117,1.02062663,1.324164095,1.774343426,2.519540106,4.294237073
lambdaTemp,3.802786638,0.793146044,2.084613652,3.227387935,3.930537966,4.459805785,4.932546156
lambdaTemp,3.208731314,0.996392613,1.352763637,2.453024462,3.190357789,3.991395169,4.913500541
lambdaTemp,2.891628544,1.03432853,1.159986114,2.058823482,2.800319535,3.689775108,4.864882917
lambdaTemp,2.728819009,0.979771767,1.191096143,1.928871464,2.629266294,3.441953405,4.677549952
lambdaTemp,4.409475682,0.485745444,3.207408375,4.128536676,4.543142773,4.780414591,4.982807354
lambdaTemp,3.531356942,0.895259576,1.770612748,2.880236896,3.600475819,4.286135112,4.909138912
lambdaTemp,3.147430028,0.982676092,1.39660771,2.368736498,3.149610244,3.913604183,4.876896992
lambdaTemp,1.970979064,0.847795007,1.027290868,1.318923141,1.709160623,2.405852791,4.216895416
lambdaTemp,2.889914376,1.043393327,1.141503879,2.050634092,2.837415425,3.691201716,4.814124853
lambdaTemp,2.708651372,1.149996376,1.061693637,1.703121293,2.539916306,3.641139538,4.84586094
lambdaTemp,4.521140023,0.403022644,3.46822341,4.340365315,4.614018787,4.825709937,4.983974538
lambdaTemp,1.968205556,0.832041413,1.044333863,1.322544641,1.725377612,2.391005582,4.180443641
