,luce,sd,2.5%,25%,50%,75%,97.5%
,0,0,0,0,0,0,0
luceTemp,1.079787188,0.249472836,0.590024965,0.883932923,1.101052769,1.285895711,1.471546547
luceTemp,0.934428121,0.254565494,0.538999802,0.732996773,0.899144322,1.119567839,1.45725766
luceTemp,0.926424145,0.269136355,0.521797453,0.700893109,0.893598539,1.138179175,1.443084814
luceTemp,0.750297531,0.231564697,0.505621252,0.571178863,0.676477331,0.865214418,1.356408953
luceTemp,1.180165985,0.20350238,0.768929346,1.028611394,1.197991596,1.350584238,1.484847492
luceTemp,0.779036113,0.253204994,0.505811051,0.57503333,0.697217267,0.926173908,1.424436578
luceTemp,1.005159665,0.281442519,0.535040766,0.767646006,1.002618839,1.249124212,1.469247821
luceTemp,0.905321865,0.280242901,0.51336561,0.654270645,0.866840185,1.125839007,1.455618219
luceTemp,0.919737826,0.285613611,0.515307636,0.66699954,0.87571217,1.158468218,1.457362459
luceTemp,0.949862476,0.287350429,0.519473948,0.695951566,0.927071647,1.193640436,1.471780843
luceTemp,1.10528917,0.232807477,0.644461042,0.925605688,1.114461245,1.301156066,1.470250246
luceTemp,0.951416906,0.279193525,0.524209986,0.708747573,0.92470977,1.181976268,1.462360284
luceTemp,1.225159822,0.206615233,0.743458857,1.096345756,1.267595939,1.393731319,1.488425825
luceTemp,1.059890176,0.253150589,0.561807037,0.875352727,1.067786853,1.267420283,1.471854615
luceTemp,0.881414012,0.266277923,0.514542478,0.65982409,0.825435549,1.072369099,1.436229355
luceTemp,1.072731913,0.269950755,0.552542446,0.861307019,1.103118769,1.302414262,1.479777043
luceTemp,1.249033005,0.18088468,0.842235541,1.13432081,1.28165586,1.397251176,1.489316408
luceTemp,0.90314277,0.271622993,0.515510614,0.674086782,0.864052836,1.101380366,1.442774613
luceTemp,0.968430405,0.271510691,0.528787611,0.736302111,0.956389289,1.187417767,1.462781948
luceTemp,0.858552005,0.263731554,0.512774536,0.634724344,0.801767053,1.040193212,1.435526704
luceTemp,1.21780958,0.207297026,0.749954904,1.070841353,1.257839434,1.396392483,1.486980668
luceTemp,0.905601187,0.224881058,0.558795651,0.729022369,0.8744086,1.055814166,1.391349035
luceTemp,0.899914349,0.270221074,0.514653766,0.672565025,0.864484833,1.091818776,1.443760912
luceTemp,0.947548318,0.294363223,0.514887682,0.679278979,0.921574658,1.197479408,1.461323173
luceTemp,1.097273731,0.262600123,0.567053856,0.901622496,1.117301458,1.329877427,1.480238247
luceTemp,0.990541077,0.281333038,0.522526462,0.757552402,0.982557026,1.231915506,1.469083001
luceTemp,1.073390905,0.262838983,0.567233255,0.867131834,1.090563104,1.294408349,1.480273057
luceTemp,0.908920448,0.288559272,0.512476436,0.651906168,0.867939613,1.137909114,1.458995307
luceTemp,0.947923943,0.286411721,0.518530218,0.692290191,0.928719742,1.189538308,1.462147194
luceTemp,0.963508157,0.272136425,0.531054793,0.73119816,0.943377438,1.177577611,1.461236548
luceTemp,0.938165407,0.26820853,0.528205795,0.710139088,0.913331363,1.152140188,1.451404019
